"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-02,19138,4.362526,9981,358,8799,52.152785,1.870624,0.27166907986258976,368,19678,2.7166907986258977,0.05081906708684666
2020-09-01,18338,3.827426,9721,348,8269,53.010143,1.897699,0.26031286375379725,384,20243,2.603128637537972,0.049399540073247594
2020-08-31,17662,3.256358,9421,326,7915,53.340505,1.845771,0.25071686114186753,399,21609,2.5071686114186753,0.04627658064332964
2020-08-30,17105,3.830278,9146,308,7651,53.469746,1.800643,0.24281009567612072,412,22872,2.428100956761207,0.043721432018851314
2020-08-29,16474,3.786304,8854,294,7326,53.745296,1.78463,0.2338528802203106,428,23961,2.338528802203106,0.04173409419981262
2020-08-28,15873,3.81295,8595,280,6998,54.148554,1.764002,0.22532152286858018,444,25159,2.253215228685802,0.03974675638077393
2020-08-27,15290,2.810651,8348,265,6677,54.597776,1.733159,0.2170456803792976,461,26583,2.170456803792976,0.03761746586037532
2020-08-26,14872,4.526286,8134,247,6491,54.693384,1.660839,0.2111120574624535,474,28521,2.111120574624535,0.035062317235897
2020-08-25,14228,4.602264,7883,231,6114,55.404836,1.623559,0.20197030349487552,495,30496,2.019703034948755,0.032791074014138485
2020-08-24,13602,2.788483,7649,219,5734,56.234377,1.610057,0.19308406438974535,518,32167,1.9308406438974532,0.031087641597819606
2020-08-23,13233,1.9963,7417,205,5611,56.049271,1.549157,0.18784600970956478,532,34364,1.8784600970956475,0.02910030377878091
2020-08-22,12974,3.493937,7197,192,5585,55.472483,1.479883,0.1841694347443432,543,36691,1.8416943474434317,0.02725491866110212
2020-08-21,12536,6.084455,7007,182,5347,55.895022,1.451819,0.17795190642477926,562,38707,1.7795190642477925,0.02583539164750305
2020-08-20,11817,6.143897,6783,170,4864,57.400355,1.438605,0.16774550719700196,596,41439,1.6774550719700194,0.024131959231184167
2020-08-19,11133,4.968886,6582,165,4386,59.121531,1.48208,0.15803594242398433,633,42695,1.580359424239843,0.023422195724384635
2020-08-18,10606,4.647262,6402,161,4043,60.362059,1.518009,0.15055503506231724,664,43755,1.5055503506231722,0.022854384918945005
2020-08-17,10135,3.513431,6210,145,3780,61.272817,1.430686,0.14386906282826561,695,48583,1.4386906282826561,0.020583141697186495
2020-08-16,9791,4.370536,6034,138,3619,61.628026,1.409458,0.13898588990148483,719,51048,1.3898588990148482,0.019589472787667147
2020-08-15,9381,3.979162,5841,127,3413,62.264151,1.3538,0.13316582914572864,751,55469,1.3316582914572863,0.018027993072708172
2020-08-14,9022,7.545595,5657,108,3257,62.702283,1.197074,0.12806972716690798,781,65228,1.2806972716690799,0.015330891746869942
2020-08-13,8389,4.627089,5516,97,2776,65.752771,1.156276,0.11908412117082588,840,72625,1.1908412117082587,0.013769412031910967
2020-08-12,8018,6.636521,5384,93,2541,67.148915,1.15989,0.11381767595037333,879,75748,1.1381767595037333,0.013201601226471339
2020-08-11,7519,3.939729,5326,86,2107,70.833887,1.143769,0.10673423615251398,937,81914,1.0673423615251398,0.01220793231695199
2020-08-10,7234,4.734327,5276,82,1876,72.93337,1.133536,0.10268858416375663,974,85910,1.0268858416375664,0.011640121511512364
2020-08-09,6907,3.012677,5222,75,1610,75.604459,1.085855,0.09804673082928768,1020,93928,0.9804673082928768,0.010646452601993015
2020-08-08,6705,3.027044,5181,72,1452,77.270694,1.073826,0.09517928626181756,1051,97842,0.9517928626181755,0.010220594497913295
2020-08-07,6508,2.086275,5123,69,1316,78.7185,1.060234,0.09238281804502739,1082,102096,0.9238281804502739,0.009794736393833573
2020-08-06,6375,5.19802,4974,66,1335,78.023529,1.035294,0.09049484711694064,1105,106736,0.9049484711694064,0.009368878289753853
2020-08-05,6060,3.55434,4839,61,1160,79.851485,1.006601,0.08602333702410357,1162,115485,0.8602333702410356,0.008659114782954318
2020-08-04,5852,2.236198,4645,59,1148,79.374573,1.008202,0.0830707208358175,1204,119400,0.830707208358175,0.008375209380234505
2020-08-03,5724,1.417434,4249,55,1420,74.231307,0.960867,0.0812537262584107,1231,128084,0.812537262584107,0.007807398574794878
2020-08-02,5644,2.898815,3966,52,1626,70.269313,0.921332,0.08011810464753144,1248,135473,0.8011810464753144,0.007381540470715158
2020-08-01,5485,2.75384,3786,52,1647,69.024613,0.94804,0.07786105669590893,1284,135473,0.7786105669590891,0.007381540470715158
2020-07-31,5338,2.515844,3548,49,1741,66.466842,0.917947,0.0757743519859183,1320,143767,0.7577435198591829,0.006955682366635437
2020-07-30,5207,7.007809,3250,47,1910,62.415978,0.902631,0.07391477159810352,1353,149885,0.7391477159810351,0.006671776963915623
2020-07-29,4866,4.107831,3169,46,1651,65.12536,0.945335,0.0690741844817307,1448,153143,0.6907418448173068,0.006529824262555716
2020-07-28,4674,2.770449,3039,45,1590,65.019255,0.962773,0.06634869261562047,1507,156547,0.6634869261562047,0.006387871561195809
2020-07-27,4548,2.340234,2905,43,1600,63.87423,0.945471,0.06456008857848565,1549,163828,0.6456008857848564,0.006103966158475995
2020-07-26,4444,2.680222,2794,41,1609,62.871287,0.922592,0.06308378048434261,1585,171820,0.6308378048434261,0.005820060755756182
2020-07-25,4328,2.462121,2679,40,1609,61.899261,0.924214,0.0614371291485677,1628,176115,0.6143712914856769,0.005678108054396275
2020-07-24,4224,2.69876,2596,38,1590,61.458333,0.899621,0.059960821054424664,1668,185384,0.5996082105442466,0.005394202651676461
2020-07-23,4113,2.825,2487,36,1590,60.466813,0.875274,0.0583851460693297,1713,195683,0.583851460693297,0.005110297248956648
2020-07-22,4000,4.794341,2391,36,1573,59.775,0.9,0.056781080543962754,1761,195683,0.5678108054396275,0.005110297248956648
2020-07-21,3817,1.840982,2307,35,1475,60.440136,0.91695,0.054183346109076456,1846,201274,0.5418334610907646,0.004968344547596741
2020-07-20,3748,0.725611,2171,33,1544,57.924226,0.88047,0.053203872469693096,1880,213473,0.5320387246969309,0.004684439144876927
2020-07-19,3721,2.535134,1918,31,1772,51.545284,0.833109,0.05282060017602135,1893,227245,0.5282060017602135,0.004400533742157113
2020-07-18,3629,4.975412,1643,29,1957,45.27418,0.799118,0.05151463532351021,1941,242917,0.515146353235102,0.004116628339437299
2020-07-17,3457,3.441053,1481,28,1948,42.840613,0.809951,0.04907304886011981,2038,251593,0.49073048860119806,0.003974675638077393
2020-07-16,3342,4.502814,1379,27,1936,41.262717,0.807899,0.04744059279448088,2108,260911,0.4744059279448088,0.0038327229367174855
2020-07-15,3198,4.033832,1338,25,1835,41.838649,0.781739,0.04539647389489822,2203,281784,0.45396473894898215,0.0035488175339976717
2020-07-14,3074,3.154362,1308,25,1741,42.550423,0.813273,0.04363626039803537,2292,281784,0.4363626039803537,0.0035488175339976717
2020-07-13,2980,1.085482,1293,25,1662,43.389262,0.838926,0.04230190500525225,2364,281784,0.4230190500525225,0.0035488175339976717
2020-07-12,2948,4.539007,1275,22,1651,43.249661,0.746269,0.04184765636090055,2390,320209,0.4184765636090055,0.0031229594299179513
2020-07-11,2820,3.070175,1261,21,1538,44.716312,0.744681,0.04003066178349374,2498,335457,0.4003066178349374,0.002981006728558044
2020-07-10,2736,3.714936,1256,20,1460,45.906433,0.730994,0.038838259092070525,2575,352230,0.3883825909207052,0.0028390540271981375
2020-07-09,2638,3.288958,1229,20,1389,46.588324,0.75815,0.03744712261874344,2670,352230,0.37447122618743434,0.0028390540271981375
2020-07-08,2554,2.078337,1212,20,1322,47.454973,0.783085,0.03625471992732022,2758,352230,0.36254719927320217,0.0028390540271981375
2020-07-07,2502,1.872964,1193,20,1289,47.681855,0.799361,0.0355165658802487,2816,352230,0.355165658802487,0.0028390540271981375
2020-07-06,2456,1.194891,1180,20,1256,48.045603,0.814332,0.03486358345399313,2868,352230,0.3486358345399313,0.0028390540271981375
2020-07-05,2427,1.761006,1166,20,1241,48.042851,0.824063,0.0344519206200494,2903,352230,0.344519206200494,0.0028390540271981375
2020-07-04,2385,1.532567,1134,20,1231,47.54717,0.838574,0.03385571927433779,2954,352230,0.33855719274337787,0.0028390540271981375
2020-07-03,2349,1.997395,1113,19,1217,47.381865,0.808855,0.03334468954944213,2999,370768,0.33344689549442125,0.0026971013258382305
2020-07-02,2303,1.902655,1108,19,1176,48.111159,0.825011,0.03269170712318655,3059,370768,0.32691707123186553,0.0026971013258382305
2020-07-01,2260,1.755966,1102,19,1139,48.761062,0.840708,0.03208131050733896,3117,370768,0.3208131050733895,0.0026971013258382305
2020-06-30,2221,1.369238,1089,17,1115,49.031968,0.765421,0.031527694972035315,3172,414388,0.31527694972035314,0.0024131959231184167
2020-06-29,2191,3.008933,1080,16,1095,49.29256,0.73026,0.031101836867955597,3215,440288,0.31101836867955596,0.00227124322175851
2020-06-28,2127,9.526262,1065,15,1047,50.070522,0.705219,0.030193339579252194,3312,469640,0.30193339579252193,0.002129290520398603
2020-06-27,1942,13.500877,1045,15,882,53.810505,0.7724,0.027567214604093917,3627,469640,0.27567214604093915,0.002129290520398603
2020-06-26,1711,9.050351,1013,13,685,59.205143,0.75979,0.024288107202680067,4117,541892,0.24288107202680065,0.0018453851176787894
2020-06-25,1569,2.683246,976,13,580,62.205226,0.828553,0.02227237884336939,4490,541892,0.2227237884336939,0.0018453851176787894
2020-06-24,1528,7.45429,944,13,571,61.780105,0.850785,0.021690372767793772,4610,541892,0.2169037276779377,0.0018453851176787894
2020-06-23,1422,2.155172,926,13,483,65.11955,0.914205,0.020185674133378757,4954,541892,0.20185674133378756,0.0018453851176787894
2020-06-22,1392,0.942712,903,13,476,64.87069,0.933908,0.01975981602929904,5061,541892,0.19759816029299038,0.0018453851176787894
2020-06-21,1379,1.248164,871,13,495,63.161711,0.942712,0.01957527751753116,5108,541892,0.1957527751753116,0.0018453851176787894
2020-06-20,1362,1.946108,791,13,558,58.076358,0.954479,0.019333957925219317,5172,541892,0.19333957925219317,0.0018453851176787894
2020-06-19,1336,0.451128,741,13,582,55.464072,0.973054,0.018964880901683558,5273,541892,0.1896488090168356,0.0018453851176787894
2020-06-18,1330,1.681957,717,13,600,53.909774,0.977444,0.018879709280867615,5297,541892,0.18879709280867613,0.0018453851176787894
2020-06-17,1308,0.38373,711,13,584,54.357798,0.993884,0.01856741333787582,5386,541892,0.18567413337875818,0.0018453851176787894
2020-06-16,1303,0.540123,699,13,591,53.645434,0.997698,0.018496436987195865,5406,541892,0.18496436987195866,0.0018453851176787894
2020-06-15,1296,0.543057,673,12,611,51.929012,0.925926,0.01839707009624393,5436,587050,0.1839707009624393,0.0017034324163188825
