"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,1832,14.214464,131,4,1697,7.150655,0.218341,0.0646869813919,1546,708025
2020-04-05,1604,21.056604,123,4,1477,7.668329,0.249377,0.05663641820557184,1766,708025
2020-04-04,1325,23.255814,109,3,1213,8.226415,0.226415,0.04678507114861764,2137,944033
2020-04-03,1075,13.277134,93,3,979,8.651163,0.27907,0.037957699233784115,2635,944033
2020-04-02,949,13.652695,72,3,874,7.586934,0.316122,0.03350870378870802,2984,944033
2020-04-01,835,6.914213,71,2,762,8.502994,0.239521,0.029483422195543944,3392,1416050
2020-03-31,781,12.698413,62,2,717,7.93854,0.256082,0.027576709861939903,3626,1416050
2020-03-30,693,9.305994,51,1,641,7.359307,0.1443,0.024469474947918506,4087,2832100
2020-03-29,634,7.457627,48,1,585,7.570978,0.157729,0.022386215176017795,4467,2832100
2020-03-28,590,4.982206,45,1,544,7.627119,0.169492,0.020832597719007098,4800,2832100
2020-03-27,562,2.367942,43,0,519,7.651246,0,0.019843932064545742,5039,
2020-03-26,549,2.234637,43,0,506,7.832423,0,0.0193849087249744,5159,
2020-03-25,537,2.091255,41,0,496,7.635009,0,0.01896119487306239,5274,
2020-03-24,526,4.99002,41,0,485,7.794677,0,0.01857279050880972,5384,
2020-03-23,501,1.417004,33,0,468,6.586826,0,0.017690053317326367,5653,
2020-03-22,494,2.702703,33,0,461,6.680162,0,0.017442886903711027,5733,
2020-03-21,481,2.340426,27,0,454,5.613306,0,0.016983863564139685,5888,
2020-03-20,470,2.173913,10,0,460,2.12766,0,0.01659545919988701,6026,
2020-03-19,460,1.769912,4,0,456,0.869565,0,0.01624236432329367,6157,
2020-03-18,452,2.961276,4,0,448,0.884956,0,0.015959888422018998,6266,
2020-03-17,439,0,4,0,435,0.911162,0,0.015500865082447654,6451,
2020-03-16,439,9.476309,4,0,435,0.911162,0,0.015500865082447654,6451,
2020-03-15,401,18.991098,4,0,397,0.997506,0,0.01415910455139296,7063,
2020-03-14,337,5.3125,4,0,333,1.186944,0,0.011899297341195578,8404,
2020-03-13,320,22.137405,0,0,320,0,0,0.0112990360509869,8850,
2020-03-12,262,0,0,0,262,0,0,0.009251085766745524,10810,
2020-03-11,262,991.666667,0,0,262,0,0,0.009251085766745524,10810,
2020-03-10,24,33.333333,0,0,24,0,0,0.0008474277038240175,118004,
2020-03-09,18,20,0,0,18,0,0,0.0006355707778680132,157339,
2020-03-08,15,87.5,0,0,15,0,0,0.000529642314890011,188807,
2020-03-07,8,0,0,0,8,0,0,0.0002824759012746725,354013,
2020-03-06,8,0,0,0,8,0,0,0.0002824759012746725,354013,
2020-03-05,8,0,0,0,8,0,0,0.0002824759012746725,354013,
2020-03-04,8,14.285714,0,0,8,0,0,0.0002824759012746725,354013,
2020-03-03,7,133.333333,0,0,7,0,0,0.00024716641361533843,404586,
2020-03-02,3,0,0,0,3,0,0,0.00010592846297800219,944033,
2020-03-01,3,200,0,0,3,0,0,0.00010592846297800219,944033,
2020-02-29,1,,0,0,1,0,0,3.530948765933406e-05,2832100,

