"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-24,42394,2.711084,25349,2150,14895,59.793839,5.071472,0.21892525536287866,457,9007,2.1892525536287866,0.11102733854559352
2020-07-23,41275,2.768717,24862,2126,14287,60.235009,5.150818,0.21314666969624985,469,9108,2.131466696962499,0.10978796360368921
2020-07-22,40163,2.63205,24663,2101,13399,61.407265,5.231183,0.2074042324654266,482,9217,2.074042324654266,0.10849694803920557
2020-07-21,39133,2.606256,24454,2074,12605,62.489459,5.299875,0.202085248339754,495,9337,2.02085248339754,0.10710265122956324
2020-07-20,38139,1.818036,22747,2038,13354,59.642361,5.343612,0.196952170455367,508,9502,1.9695217045536701,0.10524358881670678
2020-07-19,37458,2.090431,22617,2026,12815,60.379625,5.408724,0.19343544405771357,517,9558,1.9343544405771358,0.10462390134575464
2020-07-18,36691,2.483102,22488,2009,12194,61.290235,5.475457,0.18947460830587773,528,9639,1.8947460830587775,0.10374601076190575
2020-07-17,35802,2.282661,22312,1988,11502,62.320541,5.552762,0.1848837569585739,541,9741,1.848837569585739,0.10266155768773949
2020-07-16,35003,2.270204,22189,1971,10843,63.391709,5.630946,0.18075767121448416,553,9825,1.8075767121448418,0.10178366710389061
2020-07-15,34226,1.90859,22049,1952,10225,64.421785,5.703267,0.17674519484006898,566,9920,1.76745194840069,0.10080249527488304
2020-07-14,33585,1.93335,21803,1931,9851,64.918863,5.749591,0.17343503093273294,577,10028,1.7343503093273294,0.09971804220071678
2020-07-13,32948,1.269402,21692,1901,9355,65.837077,5.769698,0.17014552327442858,588,10187,1.701455232744286,0.0981688235233364
2020-07-12,32535,1.421491,21545,1884,9106,66.220993,5.790687,0.16801276556190162,595,10278,1.6801276556190163,0.09729093293948753
2020-07-11,32079,2.224276,21414,1871,8794,66.753951,5.832476,0.16565795317228343,604,10350,1.6565795317228347,0.09661960484595603
2020-07-10,31381,1.922765,21129,1847,8405,67.33055,5.885727,0.1620534377162451,617,10484,1.6205343771624512,0.09538022990405173
2020-07-09,30789,2.034797,20969,1834,7986,68.105492,5.956673,0.15899631285954782,629,10559,1.5899631285954785,0.09470890181052023
2020-07-08,30175,1.873734,20799,1817,7559,68.92792,6.021541,0.155825578633176,642,10657,1.55825578633176,0.09383101122667135
2020-07-07,29620,1.358519,20534,1799,7287,69.324781,6.073599,0.1529595240800223,654,10764,1.5295952408002231,0.09290148002024314
2020-07-06,29223,0.862872,20213,1768,7242,69.168121,6.050029,0.15090939136362228,663,10953,1.509093913636223,0.09130062072028342
2020-07-05,28973,1.367994,20026,1750,7197,69.119525,6.040106,0.14961837579913864,668,11065,1.4961837579913864,0.09037108951385518
2020-07-04,28582,1.476958,19854,1731,6997,69.463299,6.056259,0.1475992274562862,678,11187,1.4759922745628622,0.08938991768484761
2020-07-03,28166,1.513732,19545,1708,6913,69.392175,6.064049,0.14545097755698544,688,11338,1.4545097755698544,0.08820218336552266
2020-07-02,27746,1.648593,19363,1687,6696,69.786636,6.080156,0.1432820714086529,698,11479,1.4328207140865292,0.0871177302913564
2020-07-01,27296,1.20875,19314,1667,6315,70.75762,6.107122,0.14095824339258234,709,11616,1.4095824339258236,0.08608491783976949
2020-06-30,26970,1.459634,19050,1651,6269,70.634038,6.121617,0.13927475909649567,718,11729,1.3927475909649567,0.08525866787849995
2020-06-29,26582,1.022308,18912,1634,6036,71.145888,6.147017,0.13727110294041706,728,11851,1.3727110294041707,0.08438077729465107
2020-06-28,26313,1.118285,18814,1612,5887,71.500779,6.126249,0.13588197019303264,736,12013,1.3588197019303265,0.08324468359790546
2020-06-27,26022,1.264739,18530,1589,5903,71.208977,6.106372,0.1343792280759737,744,12187,1.343792280759737,0.08205694927858051
2020-06-26,25697,1.625405,18181,1579,5937,70.75145,6.144686,0.13270090784214494,754,12264,1.3270090784214494,0.08154054305278705
2020-06-25,25286,1.852896,17906,1565,5815,70.813889,6.189196,0.13057847825413382,766,12374,1.3057847825413385,0.0808175743366762
2020-06-24,24826,1.309937,17391,1555,5880,70.051559,6.263595,0.12820300961548392,780,12453,1.2820300961548394,0.08030116811088275
2020-06-23,24505,0.880985,17187,1539,5779,70.136707,6.280351,0.12654534563068692,790,12583,1.2654534563068693,0.07947491814961322
2020-06-22,24291,1.023082,17031,1523,5737,70.112387,6.269812,0.12544023630748893,797,12715,1.2544023630748893,0.07864866818834368
2020-06-21,24045,1.327434,16911,1512,5622,70.33063,6.28821,0.12416987699203702,805,12807,1.2416987699203703,0.07808062133997087
2020-06-20,23730,1.410256,16735,1500,5495,70.522545,6.321113,0.12254319738078762,816,12910,1.2254319738078763,0.07746093386901873
2020-06-19,23400,1.386482,16555,1484,5361,70.747863,6.34188,0.12083905683566921,828,13049,1.2083905683566922,0.0766346839077492
2020-06-18,23080,1.405975,16308,1473,5299,70.658579,6.382149,0.11918655691313014,839,13146,1.1918655691313016,0.0760666370593764
2020-06-17,22760,1.539148,16117,1451,5192,70.81283,6.37522,0.11753405699059108,851,13346,1.175340569905911,0.07493054336263079
2020-06-16,22415,1.127904,16071,1437,4907,71.697524,6.410886,0.11575245551160365,864,13476,1.1575245551160365,0.07420757464651995
2020-06-15,22165,0.75458,15817,1427,4921,71.360253,6.438078,0.11446143994712,874,13570,1.1446143994712001,0.07369116842072648
2020-06-14,21999,1.476083,15719,1410,4870,71.453248,6.409382,0.11360420561230286,880,13734,1.1360420561230287,0.0728132778368776
2020-06-13,21679,1.284807,15635,1394,4650,72.120485,6.430186,0.1119517056897638,893,13891,1.119517056897638,0.07198702787560807
2020-06-12,21404,1.04806,15445,1380,4579,72.159409,6.447393,0.11053158856883179,905,14032,1.1053158856883178,0.07126405915949723
2020-06-11,21182,1.131535,15283,1369,4530,72.150883,6.463035,0.1093851667475703,914,14145,1.093851667475703,0.07069601231112443
