"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,2200,15.303983,0,58,2142,0,2.636364,0.025079227559791157,3987,151245
2020-04-05,1908,17.487685,0,51,1857,0,2.672956,0.021750530083673423,4598,172004
2020-04-04,1624,10.0271,0,44,1580,0,2.70936,0.0185130297986822,5402,199368
2020-04-03,1476,26.046114,0,39,1437,0,2.642276,0.016825881762841704,5943,224928
2020-04-02,1171,10.471698,0,31,1140,0,2.64731,0.013348988851143384,7491,282974
2020-04-01,1060,17.777778,0,28,1032,0,2.641509,0.012083627824263013,8276,313293
2020-03-31,900,14.649682,0,16,884,0,1.777778,0.010259684001732747,9747,548263
2020-03-30,785,5.937922,0,16,769,0,2.038217,0.008948724379289117,11175,548263
2020-03-29,741,12.443096,0,13,728,0,1.754386,0.008447139828093295,11838,674785
2020-03-28,659,44.201313,0,10,649,0,1.517451,0.007512368619046533,13311,877220
2020-03-27,457,19.010417,0,1,456,0,0.218818,0.005209639543102072,19195,8772200
2020-03-26,384,0,0,1,383,0,0.260417,0.004377465174072639,22844,8772200
2020-03-25,384,26.732673,15,4,365,3.90625,1.041667,0.004377465174072639,22844,2193050
2020-03-24,303,21.686747,15,3,285,4.950495,0.990099,0.0034540936139166914,28951,2924067
2020-03-23,249,12.162162,3,3,243,1.204819,1.204819,0.0028385125738127266,35230,2924067
2020-03-22,222,29.824561,2,2,218,0.900901,0.900901,0.002530722053760744,39514,4386100
2020-03-21,171,26.666667,1,1,169,0.584795,0.584795,0.0019493399603292218,51299,8772200
2020-03-20,135,31.067961,1,1,133,0.740741,0.740741,0.001538952600259912,64979,8772200
2020-03-19,103,24.096386,1,0,102,0.970874,0,0.0011741638357538587,85167,
2020-03-18,83,27.692308,1,0,82,1.204819,0,0.0009461708579375756,105689,
2020-03-17,65,18.181818,1,0,64,1.538462,0,0.0007409771779029206,134957,
2020-03-16,55,14.583333,1,0,54,1.818182,0,0.0006269806889947789,159495,
2020-03-15,48,4.347826,0,0,48,0,0,0.0005471831467590798,182754,
2020-03-14,46,31.428571,0,0,46,0,0,0.0005243838489774515,190700,
2020-03-13,35,84.210526,0,0,35,0,0,0.0003989877111784957,250634,
2020-03-12,19,58.333333,0,0,19,0,0,0.0002165933289254691,461695,
2020-03-11,12,140,0,0,12,0,0,0.00013679578668976996,731017,
2020-03-10,5,400,0,0,5,0,0,5.6998244454070815e-05,1754440,
2020-03-09,1,0,0,0,1,0,0,1.1399648890814162e-05,8772200,
2020-03-08,1,0,0,0,1,0,0,1.1399648890814162e-05,8772200,
2020-03-07,1,0,0,0,1,0,0,1.1399648890814162e-05,8772200,
2020-03-06,1,,0,0,1,0,0,1.1399648890814162e-05,8772200,

