"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-17,31987,14.57893,2586,273,29128,8.084534,0.853472,0.02209153314970709,4527,530377,0.22091533149707088,0.0018854498858505127
2020-04-16,27917,14.06333,2300,232,25385,8.238708,0.831035,0.01928062434552702,5187,624108,0.1928062434552702,0.0016022870824810218
2020-04-15,24475,16.066771,1982,198,22295,8.098059,0.808989,0.016903438079190952,5916,731278,0.16903438079190952,0.0013674691479794927
2020-04-14,21087,15.103712,1690,170,19227,8.014416,0.806184,0.014563546425981599,6866,851724,0.14563546425981597,0.0011740896725076454
2020-04-13,18320,16.199416,1467,148,16705,8.007642,0.80786,0.012652542823729448,7904,978331,0.12652542823729448,0.0010221486560654794
2020-04-12,15766,15.858319,1288,130,14348,8.169479,0.824559,0.010888645751032669,9184,1113793,0.10888645751032668,0.0008978332789764346
2020-04-11,13608,14.199396,1047,107,12454,7.694004,0.786302,0.009398242507931788,10640,1353206,0.09398242507931787,0.0007389858526959885
2020-04-10,11916,17.503205,803,95,11018,6.738839,0.797247,0.008229677963294766,12151,1524137,0.08229677963294765,0.0006561089346366253
2020-04-09,10141,16.912612,710,79,9352,7.001282,0.779016,0.007003790217000019,14278,1832823,0.07003790217000018,0.000545606377224141
2020-04-08,8674,15.483957,597,74,8003,6.882638,0.853124,0.005990619893724304,16693,1956663,0.059906198937243034,0.0005110743280327397
2020-04-07,7511,18.320731,504,61,6946,6.710158,0.812142,0.005187404429532309,19277,2373656,0.05187404429532308,0.00042129100013509627
2020-04-06,6348,17.490283,428,51,5869,6.742281,0.803403,0.0043841889653403136,22809,2839079,0.04384188965340313,0.0003522269017522936
2020-04-05,5403,14.204185,394,47,4962,7.292245,0.869887,0.003731533235622828,26799,3080703,0.03731533235622828,0.00032460126239917253
2020-04-04,4731,14.192614,354,43,4334,7.482562,0.908899,0.0032674224944903942,30605,3367280,0.03267422494490394,0.00029697562304605143
2020-04-03,4143,16.934801,300,35,3808,7.24113,0.844798,0.0028613255959995146,34949,4136944,0.028613255959995143,0.00024172434433980932
2020-04-02,3543,27.813853,253,31,3259,7.140841,0.874965,0.0024469410057026985,40867,4670743,0.024469410057026984,0.00021409870498668827
2020-04-01,2772,18.816974,206,27,2539,7.431457,0.974026,0.00191445680717129,52234,5362705,0.0191445680717129,0.0001864730656335672
2020-03-31,2333,27.765608,141,20,2172,6.043721,0.857265,0.0016112654152707863,62063,7239651,0.01611265415270786,0.00013812819676560533
2020-03-30,1826,19.65924,74,16,1736,4.052574,0.876232,0.0012611104364699767,79295,9049564,0.012611104364699767,0.00011050255741248426
2020-03-29,1526,21.884984,67,9,1450,4.390564,0.589777,0.0010539181413215686,94884,16088114,0.010539181413215687,6.21576885445224e-05
2020-03-28,1252,20.966184,64,7,1181,5.111821,0.559105,0.0008646825117526895,115649,20684718,0.008646825117526893,4.834486886796187e-05
2020-03-27,1035,22.921615,47,4,984,4.541063,0.386473,0.0007148134182620076,139897,36198257,0.007148134182620076,2.7625639353121065e-05
2020-03-26,842,27.963526,39,2,801,4.631829,0.23753,0.0005815197083831985,171963,72396515,0.005815197083831984,1.3812819676560532e-05
2020-03-25,658,37.656904,36,2,620,5.471125,0.303951,0.00045444176735884154,220050,72396515,0.004544417673588415,1.3812819676560532e-05
2020-03-24,478,12.735849,23,0,455,4.811715,0,0.00033012639026979676,302914,,0.003301263902697967,0
2020-03-23,424,21.489971,19,0,405,4.481132,0,0.0002928317771430833,341493,,0.002928317771430833,0
2020-03-22,349,22.027972,17,0,332,4.87106,0,0.00024103370335598132,414880,,0.002410337033559813,0
2020-03-21,286,17.695473,17,0,269,5.944056,0,0.00019752332137481563,506269,,0.001975233213748156,0
2020-03-20,243,45.508982,9,0,234,3.703704,0,0.0001678257590702105,595856,,0.0016782575907021047,0
2020-03-19,167,27.480916,8,0,159,4.790419,0,0.00011533704429928045,867024,,0.0011533704429928045,0
2020-03-18,131,45.555556,5,0,126,3.816794,0,9.04739688814715e-05,1105290,,0.0009047396888147149,0
2020-03-17,90,7.142857,4,0,86,4.444444,0,6.21576885445224e-05,1608811,,0.000621576885445224,0
2020-03-16,84,,4,0,80,4.761905,0,5.8013842641554245e-05,1723727,,0.0005801384264155424,0

