"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-29,3813048,0.5070892,3255462,72185,485401,85.376895,1.8931049,2.6139630347913894,38,2021,26.139630347913897,0.49485063305370525
2021-01-28,3793810,0.5070109,3229258,71651,492901,85.1191283,1.8886291,2.6007747872625577,38,2036,26.00774787262558,0.49118989691668674
2021-01-27,3774672,0.47222054,3202483,71076,501113,84.8413584,1.882972,2.5876550928449062,39,2052,25.876550928449063,0.48724809302382976
2021-01-26,3756931,0.4878982,3174561,70482,511888,84.49878371,1.87605255,2.5754930853904408,39,2070,25.754930853904412,0.4831760382197306
2021-01-25,3738690,0.518632,3150763,69918,518009,84.2745186,1.8701203,2.562988312380075,39,2086,25.629883123800752,0.47930964274917176
2021-01-24,3719400,0.57126664,3131760,69462,518178,84.200678,1.867559,2.5497644172334297,39,2100,25.497644172334297,0.4761836208793582
2021-01-23,3698273,0.5689148,3109315,68971,519987,84.07478301,1.86495156,2.5352812014344055,39,2115,25.352812014344057,0.4728176631204143
2021-01-22,3677352,0.58845589,3081536,68412,527404,83.7976892,1.8603604,2.520939205044412,40,2132,25.209392050444123,0.46898554420544547
2021-01-21,3655839,0.6022919,3054218,67832,533789,83.54355867,1.855443,2.5061913742362325,40,2150,25.06191374236233,0.4650094637569985
2021-01-20,3633952,0.585474,3027316,67220,539416,83.3064388,1.8497768,2.4911871547922395,40,2170,24.9118715479224,0.46081401335277505
2021-01-19,3612800,0.60522419,3002026,66623,544151,83.094165,1.844082,2.47668680071542,40,2190,24.766868007154205,0.4567213926153218
2021-01-18,3591066,0.64057346,2978764,66037,546265,82.94929695,1.83892471,2.4617874675315328,41,2209,24.617874675315328,0.4527041803001667
2021-01-17,3568209,0.66540222,2960431,65566,542212,82.96686097,1.83750447,2.4461182829090924,41,2225,24.461182829090927,0.449475328763583
2021-01-16,3544623,0.68432859,2936991,65085,542547,82.857641,1.83616142,2.429949346106149,41,2241,24.29949346106149,0.44617792411581914
2021-01-15,3520531,0.706988,2909680,64495,546356,82.64889586,1.83196796,2.413433530560634,41,2262,24.134335305606346,0.442133290556192
2021-01-14,3495816,0.71341463,2882044,63940,549832,82.4426686,1.829044,2.396490629132467,42,2281,23.964906291324674,0.43832859288569526
2021-01-13,3471053,0.662664,2854088,63370,553595,82.22542266,1.82567077,2.379514822210934,42,2302,23.79514822210934,0.43442106554842835
2021-01-12,3448203,0.66955325,2825430,62804,559969,81.93920138,1.82135449,2.3638504363062762,42,2323,23.63850436306276,0.4305409594556335
2021-01-11,3425269,0.68534142,2800675,62273,562321,81.765111,1.81804699,2.348128465788227,43,2342,23.481284657882274,0.42690078925196906
2021-01-10,3401954,0.67624455,2778889,61837,561228,81.68508451,1.81769066,2.3321453079165817,43,2359,23.32145307916582,0.42391187360451577
2021-01-09,3379103,0.6945897,2754809,61381,562913,81.5248603,1.81648799,2.316480236480812,43,2377,23.164802364808125,0.42078585173470223
2021-01-08,3355794,0.7098137,2731129,60911,563754,81.38547837,1.8150995,2.300501191795838,43,2395,23.00501191795838,0.4175638555092365
2021-01-07,3332142,0.71150918,2709452,60457,562233,81.31262113,1.81435845,2.2842870099395154,44,2413,22.842870099395157,0.41445154426165903
2021-01-06,3308601,0.7373377,2685723,59951,562927,81.17397655,1.81197431,2.268148922036603,44,2433,22.681489220366036,0.4109827568359449
2021-01-05,3284384,0.74371085,2662668,59506,562210,81.0705447,1.8117857,2.251547415102113,44,2451,22.515474151021134,0.4079321433884295
2021-01-04,3260138,0.72142529,2640036,58988,561114,80.9792714,1.80937126,2.2349260277653813,45,2473,22.349260277653812,0.40438109222929924
2021-01-03,3236787,0.75171892,2618882,58506,559399,80.90992704,1.80753321,2.218918190773711,45,2493,22.18918190773711,0.40107683227041735
2021-01-02,3212637,0.8254308,2599035,58002,555600,80.90036316,1.80543273,2.202362614423712,45,2515,22.02362614423712,0.3976217554669393
2021-01-01,3186336,0.85585496,2580138,57555,548643,80.9750761,1.8063067,2.184332460652228,46,2534,21.84332460652228,0.39455743139718785
2020-12-31,3159297,0.886047,2554340,57019,547938,80.85153121,1.80480025,2.165796384920235,46,2558,21.657963849202353,0.39088298463793336
2020-12-30,3131550,0.85387066,2525418,56426,549706,80.644345,1.801855,2.1467749531610867,47,2585,21.46774953161087,0.38681778514495213
2020-12-29,3105037,0.877248,2496183,55827,553027,80.39140918,1.79794959,2.128599466793901,47,2613,21.285994667939015,0.3827114537852629
2020-12-28,3078035,0.9109751,2471309,55265,551461,80.2885282,1.7954637,2.1100887557130448,47,2640,21.100887557130452,0.3788587689369401
2020-12-27,3050248,0.9359476,2450829,54778,544641,80.3485159,1.795854,2.0910399027094244,48,2663,20.910399027094247,0.3755202324224682
