"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-28,14529,2.562474,9234,186,5109,63.555647,1.280198,0.11506296032311714,869,67887,1.1506296032311714,0.014730339748158707
2021-01-27,14166,2.023767,9042,183,4941,63.828886,1.291825,0.11218816821097648,891,69000,1.1218816821097648,0.014492753623188406
2021-01-26,13885,4.312223,8861,181,4843,63.817069,1.303565,0.10996277817375465,909,69762,1.0996277817375466,0.014334362873208205
2021-01-25,13311,2.589595,8681,177,4453,65.216738,1.329727,0.10541696364932288,949,71339,1.0541696364932287,0.014017581373247802
2021-01-24,12975,2.5935,8420,174,4381,64.894027,1.34104,0.1027559990496555,973,72569,1.027559990496555,0.0137799952482775
2021-01-23,12647,1.639476,8319,172,4156,65.778445,1.360006,0.1001583907499802,998,73413,1.001583907499802,0.0136216044982973
2021-01-22,12443,2.243221,8184,165,4094,65.77192,1.326047,0.09854280510018215,1015,76527,0.9854280510018215,0.013067236873366595
2021-01-21,12170,2.613828,7973,162,4035,65.513558,1.331142,0.09638077136295241,1038,77944,0.963807713629524,0.012829650748396294
2021-01-20,11860,2.701767,7812,153,3895,65.868465,1.290051,0.09392571473825928,1065,82529,0.9392571473825928,0.012116892373485389
2021-01-19,11548,2.566835,7580,148,3820,65.639072,1.281607,0.09145481903856814,1093,85318,0.9145481903856815,0.011720915498534885
2021-01-18,11259,2.05765,7412,146,3701,65.831779,1.29674,0.08916607270135424,1122,86486,0.8916607270135424,0.011562524748554685
2021-01-17,11032,1.677419,7363,142,3527,66.742204,1.287165,0.08736833768907895,1145,88923,0.8736833768907896,0.011245743248594281
2021-01-16,10850,2.619881,7193,140,3517,66.294931,1.290323,0.08592698186425912,1164,90193,0.8592698186425912,0.01108735249861408
2021-01-15,10573,2.491276,7028,138,3407,66.4712,1.305211,0.08373326997703334,1194,91500,0.8373326997703334,0.01092896174863388
2021-01-14,10316,1.916617,6974,133,3209,67.603722,1.289259,0.08169794883978776,1224,94940,0.8169794883978776,0.010532984873683376
2021-01-13,10122,1.728643,6974,128,3020,68.899427,1.264572,0.0801615585649798,1247,98648,0.8016155856497981,0.010137007998732874
2021-01-12,9950,1.696648,6974,125,2851,70.090452,1.256281,0.07879939811515008,1269,101016,0.7879939811515008,0.009899421873762573
2021-01-11,9784,1.599169,6974,124,2686,71.27964,1.267375,0.07748475489031441,1291,101831,0.774847548903144,0.00982022649877247
2021-01-10,9630,1.786281,6974,120,2536,72.419522,1.246106,0.07626514611546685,1311,105225,0.7626514611546685,0.00950344499881207
2021-01-09,9461,0.992741,6956,118,2387,73.522883,1.247225,0.07492674427813416,1335,107008,0.7492674427813416,0.009345054248831869
2021-01-08,9368,1.550136,6940,115,2313,74.081981,1.227583,0.07419022729072622,1348,109800,0.7419022729072622,0.009107468123861567
2021-01-07,9225,1.843674,6940,113,2172,75.230352,1.224932,0.07305773342836779,1369,111743,0.7305773342836779,0.008949077373881365
