"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,11,0,8,0,3,72.727273,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-07,11,0,8,0,3,72.727273,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-06,11,0,8,0,3,72.727273,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-05,11,0,8,0,3,72.727273,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-04,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-03,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-02,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-05-01,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-30,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-29,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-28,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-27,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-26,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-25,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-24,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-23,11,0,6,0,5,54.545455,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-22,11,0,5,0,6,45.454545,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-21,11,0,5,0,6,45.454545,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-20,11,0,5,0,6,45.454545,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-19,11,0,5,0,6,45.454545,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-18,11,0,5,0,6,45.454545,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-17,11,0,5,0,6,45.454545,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-16,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-15,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-14,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-13,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-12,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-11,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-10,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-09,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-08,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-07,11,0,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-06,11,10,0,0,11,0,0,0.011258955987717503,8882,,0.11258955987717502,0
2020-04-05,10,0,0,0,10,0,0,0.01023541453428864,9770,,0.10235414534288638,0
2020-04-04,10,0,0,0,10,0,0,0.01023541453428864,9770,,0.10235414534288638,0
2020-04-03,10,0,0,0,10,0,0,0.01023541453428864,9770,,0.10235414534288638,0
2020-04-02,10,0,0,0,10,0,0,0.01023541453428864,9770,,0.10235414534288638,0
2020-04-01,10,0,0,0,10,0,0,0.01023541453428864,9770,,0.10235414534288638,0
2020-03-31,10,25,0,0,10,0,0,0.01023541453428864,9770,,0.10235414534288638,0
2020-03-30,8,0,0,0,8,0,0,0.008188331627430911,12213,,0.0818833162743091,0
2020-03-29,8,0,0,0,8,0,0,0.008188331627430911,12213,,0.0818833162743091,0
2020-03-28,8,14.285714,0,0,8,0,0,0.008188331627430911,12213,,0.0818833162743091,0
2020-03-27,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-26,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-25,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-24,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-23,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-22,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-21,7,0,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-20,7,16.666667,0,0,7,0,0,0.007164790174002047,13957,,0.07164790174002048,0
2020-03-19,6,50,0,0,6,0,0,0.006141248720573183,16283,,0.06141248720573183,0
2020-03-18,4,0,0,0,4,0,0,0.0040941658137154556,24425,,0.04094165813715455,0
2020-03-17,4,33.333333,0,0,4,0,0,0.0040941658137154556,24425,,0.04094165813715455,0
2020-03-16,3,50,0,0,3,0,0,0.0030706243602865915,32567,,0.030706243602865915,0
2020-03-15,2,0,0,0,2,0,0,0.0020470829068577278,48850,,0.020470829068577275,0
2020-03-14,2,,0,0,2,0,0,0.0020470829068577278,48850,,0.020470829068577275,0

