"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,107,62.121212,8,12,87,7.476636,11.214953,0.0002499229209682995,400123,3567767,0.0024992292096829953,0.00028028738800183123
2020-04-19,66,0,6,10,50,9.090909,15.151515,0.00015415806340100718,648685,4281320,0.0015415806340100717,0.00023357282333485936
2020-04-18,66,100,6,10,50,9.090909,15.151515,0.00015415806340100718,648685,4281320,0.0015415806340100717,0.00023357282333485936
2020-04-17,33,3.125,4,6,23,12.121212,18.181818,7.707903170050359e-05,1297370,7135533,0.0007707903170050359,0.00014014369400091562
2020-04-16,32,0,4,5,23,12.5,15.625,7.4743303467155e-05,1337913,8562640,0.00074743303467155,0.00011678641166742968
2020-04-15,32,0,4,5,23,12.5,15.625,7.4743303467155e-05,1337913,8562640,0.00074743303467155,0.00011678641166742968
2020-04-14,32,10.344828,4,5,23,12.5,15.625,7.4743303467155e-05,1337913,8562640,0.00074743303467155,0.00011678641166742968
2020-04-13,29,52.631579,4,4,21,13.793103,13.793103,6.773611876710921e-05,1476317,10703300,0.0006773611876710921,9.342912933394374e-05
2020-04-12,19,0,2,2,15,10.526316,10.526316,4.437883643362327e-05,2253326,21406600,0.00044378836433623276,4.671456466697187e-05
2020-04-11,19,11.764706,2,2,15,10.526316,10.526316,4.437883643362327e-05,2253326,21406600,0.00044378836433623276,4.671456466697187e-05
2020-04-10,17,13.333333,2,2,13,11.764706,11.764706,3.970737996692609e-05,2518424,21406600,0.0003970737996692609,4.671456466697187e-05
2020-04-09,15,7.142857,2,2,11,13.333333,13.333333,3.5035923500228904e-05,2854213,21406600,0.000350359235002289,4.671456466697187e-05
2020-04-08,14,0,2,2,10,14.285714,14.285714,3.270019526688031e-05,3058086,21406600,0.0003270019526688031,4.671456466697187e-05
2020-04-07,14,16.666667,2,2,10,14.285714,14.285714,3.270019526688031e-05,3058086,21406600,0.0003270019526688031,4.671456466697187e-05
2020-04-06,12,0,2,2,8,16.666667,16.666667,2.802873880018312e-05,3567767,21406600,0.00028028738800183123,4.671456466697187e-05
2020-04-05,12,20,2,2,8,16.666667,16.666667,2.802873880018312e-05,3567767,21406600,0.00028028738800183123,4.671456466697187e-05
2020-04-04,10,0,2,2,6,20,20,2.3357282333485933e-05,4281320,21406600,0.00023357282333485936,4.671456466697187e-05
2020-04-03,10,25,2,2,6,20,20,2.3357282333485933e-05,4281320,21406600,0.00023357282333485936,4.671456466697187e-05
2020-04-02,8,14.285714,2,2,4,25,25,1.868582586678875e-05,5351650,21406600,0.0001868582586678875,4.671456466697187e-05
2020-04-01,7,0,2,2,3,28.571429,28.571429,1.6350097633440155e-05,6116171,21406600,0.00016350097633440155,4.671456466697187e-05
2020-03-31,7,16.666667,1,2,4,14.285714,28.571429,1.6350097633440155e-05,6116171,21406600,0.00016350097633440155,4.671456466697187e-05
2020-03-30,6,0,0,2,4,0,33.333333,1.401436940009156e-05,7135533,21406600,0.00014014369400091562,4.671456466697187e-05
2020-03-29,6,20,0,1,5,0,16.666667,1.401436940009156e-05,7135533,42813200,0.00014014369400091562,2.3357282333485936e-05
2020-03-28,5,66.666667,0,1,4,0,20,1.1678641166742966e-05,8562640,42813200,0.00011678641166742968,2.3357282333485936e-05
2020-03-27,3,0,0,1,2,0,33.333333,7.00718470004578e-06,14271067,42813200,7.007184700045781e-05,2.3357282333485936e-05
2020-03-26,3,0,0,1,2,0,33.333333,7.00718470004578e-06,14271067,42813200,7.007184700045781e-05,2.3357282333485936e-05
2020-03-25,3,0,0,1,2,0,33.333333,7.00718470004578e-06,14271067,42813200,7.007184700045781e-05,2.3357282333485936e-05
2020-03-24,3,50,0,1,2,0,33.333333,7.00718470004578e-06,14271067,42813200,7.007184700045781e-05,2.3357282333485936e-05
2020-03-23,2,0,0,1,1,0,50,4.671456466697187e-06,21406600,42813200,4.671456466697187e-05,2.3357282333485936e-05
2020-03-22,2,0,0,1,1,0,50,4.671456466697187e-06,21406600,42813200,4.671456466697187e-05,2.3357282333485936e-05
2020-03-21,2,0,0,1,1,0,50,4.671456466697187e-06,21406600,42813200,4.671456466697187e-05,2.3357282333485936e-05
2020-03-20,2,0,0,1,1,0,50,4.671456466697187e-06,21406600,42813200,4.671456466697187e-05,2.3357282333485936e-05
2020-03-19,2,0,0,1,1,0,50,4.671456466697187e-06,21406600,42813200,4.671456466697187e-05,2.3357282333485936e-05
2020-03-18,2,100,0,1,1,0,50,4.671456466697187e-06,21406600,42813200,4.671456466697187e-05,2.3357282333485936e-05
2020-03-17,1,0,0,1,0,0,100,2.3357282333485936e-06,42813200,42813200,2.3357282333485936e-05,2.3357282333485936e-05
2020-03-16,1,0,0,1,0,0,100,2.3357282333485936e-06,42813200,42813200,2.3357282333485936e-05,2.3357282333485936e-05
2020-03-15,1,0,0,1,0,0,100,2.3357282333485936e-06,42813200,42813200,2.3357282333485936e-05,2.3357282333485936e-05
2020-03-14,1,0,0,1,0,0,100,2.3357282333485936e-06,42813200,42813200,2.3357282333485936e-05,2.3357282333485936e-05
2020-03-13,1,,0,1,0,0,100,2.3357282333485936e-06,42813200,42813200,2.3357282333485936e-05,2.3357282333485936e-05

