"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,1450,0.069013,252,100,1098,17.37931,6.896552,0.0697551354211767,1434,20787,0.6975513542117671,0.048106989945639105
2020-05-07,1449,0.069061,247,99,1103,17.046239,6.832298,0.06970702843123106,1435,20997,0.6970702843123107,0.04762592004618271
2020-05-06,1448,0.207612,246,99,1103,16.98895,6.837017,0.06965892144128542,1436,20997,0.6965892144128543,0.04762592004618271
2020-05-05,1445,0.416956,244,98,1103,16.885813,6.782007,0.0695146004714485,1439,21211,0.6951460047144851,0.04714485014672632
2020-05-04,1439,0,241,97,1101,16.747741,6.740792,0.06922595853177467,1445,21430,0.6922595853177468,0.046663780247269936
2020-05-03,1439,0,241,96,1102,16.747741,6.6713,0.06922595853177467,1445,21653,0.6922595853177468,0.046182710347813544
2020-05-02,1439,0.348675,239,94,1106,16.608756,6.532314,0.06922595853177467,1445,22114,0.6922595853177468,0.04522057054890076
2020-05-01,1434,0.349895,233,92,1109,16.248257,6.415621,0.06898542358204647,1450,22595,0.6898542358204648,0.044258430749987976
2020-04-30,1429,0.77574,233,91,1105,16.305108,6.36809,0.06874488863231827,1455,22843,0.6874488863231828,0.043777360850531584
2020-04-29,1418,0.710227,230,89,1099,16.220028,6.276446,0.06821571174291624,1466,23356,0.6821571174291625,0.04281522105161881
2020-04-28,1408,0.42796,223,86,1099,15.838068,6.107955,0.06773464184345986,1476,24171,0.6773464184345986,0.04137201135324963
2020-04-27,1402,0.429799,221,83,1098,15.763195,5.920114,0.06744599990378602,1483,25045,0.6744599990378602,0.039928801654880455
2020-04-26,1396,0.576369,221,82,1093,15.830946,5.873926,0.06715735796411218,1489,25350,0.671573579641122,0.03944773175542406
2020-04-25,1388,1.092498,219,81,1088,15.778098,5.835735,0.06677250204454707,1498,25663,0.6677250204454708,0.03896666185596768
2020-04-24,1373,0.512445,211,80,1082,15.367808,5.826657,0.06605089719536249,1514,25984,0.6605089719536249,0.038485591956511286
2020-04-23,1366,0.960828,211,79,1076,15.446559,5.783309,0.06571414826574301,1522,26313,0.6571414826574302,0.038004522057054894
2020-04-22,1353,0.669643,205,79,1069,15.151515,5.838877,0.0650887573964497,1536,26313,0.6508875739644971,0.038004522057054894
2020-04-21,1344,0.674157,197,77,1070,14.657738,5.729167,0.06465579448693895,1547,26996,0.6465579448693896,0.03704238225814211
2020-04-20,1335,0.37594,193,77,1065,14.456929,5.76779,0.0642228315774282,1557,26996,0.6422283157742821,0.03704238225814211
2020-04-19,1330,0.987092,192,74,1064,14.43609,5.56391,0.06398229662770001,1563,28091,0.6398229662770001,0.035599172559772935
2020-04-18,1317,0.996933,190,70,1057,14.426727,5.31511,0.06335690575840669,1578,29696,0.633569057584067,0.033674892961947374
2020-04-17,1304,2.839117,174,66,1064,13.343558,5.06135,0.06273151488911338,1594,31495,0.6273151488911339,0.03175061336412181
2020-04-16,1268,1.602564,174,61,1033,13.722397,4.810726,0.06099966325107038,1639,34077,0.6099966325107039,0.029345263866839853
2020-04-15,1248,2.295082,165,61,1022,13.221154,4.887821,0.0600375234521576,1666,34077,0.600375234521576,0.029345263866839853
2020-04-14,1220,0.660066,152,56,1012,12.459016,4.590164,0.05869052773367971,1704,37120,0.5869052773367971,0.0269399143695579
2020-04-13,1212,0.580913,152,55,1005,12.541254,4.537954,0.05830567181411459,1715,37795,0.583056718141146,0.02645884447010151
2020-04-12,1205,1.430976,150,53,1002,12.448133,4.39834,0.057968922884495115,1725,39221,0.5796892288449512,0.025496704671188725
2020-04-11,1188,2.413793,148,50,990,12.457912,4.208754,0.057151104055419254,1750,41574,0.5715110405541926,0.024053494972819552
2020-04-10,1160,3.202847,137,45,978,11.810345,3.87931,0.055804108336941355,1792,46193,0.5580410833694136,0.021648145475537596
2020-04-09,1124,3.024748,128,43,953,11.3879,3.825623,0.05407225669889835,1849,48342,0.5407225669889836,0.020686005676624816
2020-04-08,1091,3.021719,120,40,931,10.999083,3.666361,0.05248472603069226,1905,51968,0.5248472603069226,0.019242795978255643
2020-04-07,1059,3.721841,102,36,921,9.631728,3.399433,0.05094530235243181,1963,57742,0.5094530235243181,0.01731851638043008
