"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,10,25,0,0,10,0,0,0.0001279885322275124,781320,,0.0012798853222751243,0
2020-04-11,8,0,0,0,8,0,0,0.00010239082578200994,976650,,0.0010239082578200993,0
2020-04-10,8,14.285714,0,0,8,0,0,0.00010239082578200994,976650,,0.0010239082578200993,0
2020-04-09,7,0,0,0,7,0,0,8.959197255925869e-05,1116171,,0.0008959197255925869,0
2020-04-08,7,16.666667,0,0,7,0,0,8.959197255925869e-05,1116171,,0.0008959197255925869,0
2020-04-07,6,0,0,0,6,0,0,7.679311933650745e-05,1302200,,0.0007679311933650745,0
2020-04-06,6,0,0,0,6,0,0,7.679311933650745e-05,1302200,,0.0007679311933650745,0
2020-04-05,6,50,0,0,6,0,0,7.679311933650745e-05,1302200,,0.0007679311933650745,0
2020-04-04,4,100,0,0,4,0,0,5.119541289100497e-05,1953300,,0.0005119541289100496,0
2020-04-03,2,0,0,0,2,0,0,2.5597706445502485e-05,3906600,,0.0002559770644550248,0
2020-04-02,2,0,0,0,2,0,0,2.5597706445502485e-05,3906600,,0.0002559770644550248,0
2020-04-01,2,100,0,0,2,0,0,2.5597706445502485e-05,3906600,,0.0002559770644550248,0
2020-03-31,1,,0,0,1,0,0,1.2798853222751242e-05,7813200,,0.0001279885322275124,0

