"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,1551,3.954424,611,13,927,39.393939,0.838169,0.009517439434476327,10507,1253569,0.09517439434476327,0.0007977221963132963
2020-05-07,1492,4.117237,562,13,917,37.66756,0.871314,0.009155396283841832,10923,1253569,0.09155396283841831,0.0007977221963132963
2020-05-06,1433,7.825433,493,12,928,34.40335,0.837404,0.008793353133207334,11372,1358033,0.08793353133207335,0.0007363589504430427
2020-05-05,1329,4.563336,470,11,848,35.364936,0.82769,0.008155175376156698,12262,1481491,0.08155175376156698,0.0006749957045727892
2020-05-04,1271,7.529611,415,10,846,32.651456,0.786782,0.007799268550109227,12822,1629640,0.07799268550109227,0.0006136324587025356
2020-05-03,1182,6.008969,372,9,801,31.472081,0.761421,0.007253135661863971,13787,1810711,0.07253135661863971,0.000552269212832282
2020-05-02,1115,8.886719,368,9,738,33.004484,0.807175,0.006842001914533272,14616,1810711,0.06842001914533272,0.000552269212832282
2020-05-01,1024,9.753483,356,9,659,34.765625,0.878906,0.006283596377113965,15914,1810711,0.06283596377113965,0.000552269212832282
2020-04-30,933,5.782313,334,9,590,35.798499,0.96463,0.005725190839694657,17467,1810711,0.05725190839694657,0.000552269212832282
2020-04-29,882,7.168894,315,9,558,35.714286,1.020408,0.005412238285756364,18477,1810711,0.05412238285756364,0.000552269212832282
2020-04-28,823,11.820652,296,9,518,35.965978,1.09356,0.005050195135121868,19801,1810711,0.05050195135121868,0.000552269212832282
2020-04-27,736,9.687034,284,9,443,38.586957,1.222826,0.004516334896050662,22142,1810711,0.04516334896050662,0.000552269212832282
2020-04-26,671,9.283388,283,9,379,42.175857,1.341282,0.004117473797894014,24287,1810711,0.04117473797894014,0.000552269212832282
2020-04-25,614,12.66055,276,7,331,44.95114,1.140065,0.0037677032964335685,26541,2328057,0.03767703296433569,0.00042954272109177493
2020-04-24,545,13.778706,262,7,276,48.073394,1.284404,0.003344296899928819,29902,2328057,0.03344296899928819,0.00042954272109177493
2020-04-23,479,8.371041,257,6,216,53.653445,1.25261,0.0029392994771851454,34022,2716067,0.029392994771851456,0.00036817947522152137
2020-04-22,442,7.281553,253,6,183,57.239819,1.357466,0.0027122554674652074,36870,2716067,0.027122554674652074,0.00036817947522152137
2020-04-21,412,9.28382,242,5,165,58.737864,1.213592,0.0025281657298544466,39554,3259280,0.025281657298544466,0.0003068162293512678
2020-04-20,377,2.724796,235,5,137,62.334218,1.32626,0.0023133943693085593,43227,3259280,0.023133943693085593,0.0003068162293512678
2020-04-19,367,4.857143,220,3,144,59.945504,0.817439,0.002252031123438306,44404,5432133,0.022520311234383056,0.00018408973761076068
2020-04-18,350,2.339181,211,3,136,60.285714,0.857143,0.0021477136054588748,46561,5432133,0.021477136054588748,0.00018408973761076068
2020-04-17,342,2.089552,198,2,142,57.894737,0.584795,0.0020986230087626716,47650,8148200,0.020986230087626716,0.00012272649174050712
2020-04-16,335,6.687898,194,2,139,57.910448,0.597015,0.0020556687366534944,48646,8148200,0.020556687366534942,0.00012272649174050712
2020-04-15,314,5.016722,190,2,122,60.509554,0.636943,0.0019268059203259617,51899,8148200,0.019268059203259618,0.00012272649174050712
2020-04-14,299,2.749141,183,2,114,61.204013,0.668896,0.0018347610515205815,54503,8148200,0.018347610515205816,0.00012272649174050712
2020-04-13,291,3.928571,178,2,111,61.168385,0.687285,0.0017856704548243785,56001,8148200,0.017856704548243785,0.00012272649174050712
2020-04-12,280,0.719424,171,2,107,61.071429,0.714286,0.0017181708843670997,58201,8148200,0.017181708843670998,0.00012272649174050712
2020-04-11,278,4.90566,152,2,124,54.676259,0.719424,0.001705898235193049,58620,8148200,0.01705898235193049,0.00012272649174050712
2020-04-10,265,6,137,2,126,51.698113,0.754717,0.0016261260155617193,61496,8148200,0.016261260155617192,0.00012272649174050712
2020-04-09,250,2.459016,123,2,125,49.2,0.8,0.001534081146756339,65186,8148200,0.01534081146756339,0.00012272649174050712
2020-04-08,244,2.953586,113,2,129,46.311475,0.819672,0.0014972631992341869,66789,8148200,0.014972631992341869,0.00012272649174050712
2020-04-07,237,4.867257,105,2,130,44.303797,0.843882,0.0014543089271250094,68761,8148200,0.014543089271250094,0.00012272649174050712
2020-04-06,226,1.801802,92,2,132,40.707965,0.884956,0.0013868093566677304,72108,8148200,0.013868093566677306,0.00012272649174050712
2020-04-05,222,1.369863,82,2,138,36.936937,0.900901,0.001362264058319629,73407,8148200,0.01362264058319629,0.00012272649174050712
2020-04-04,219,5.797101,72,2,145,32.876712,0.913242,0.001343855084558553,74413,8148200,0.01343855084558553,0.00012272649174050712
2020-04-03,207,6.153846,66,1,140,31.884058,0.483092,0.0012702191895142486,78727,16296400,0.012702191895142488,6.136324587025356e-05
2020-04-02,195,2.631579,55,1,139,28.205128,0.512821,0.0011965832944699445,83571,16296400,0.011965832944699445,6.136324587025356e-05
2020-04-01,190,8.571429,45,1,144,23.684211,0.526316,0.0011659016715348176,85771,16296400,0.011659016715348176,6.136324587025356e-05
2020-03-31,175,8.024691,40,0,135,22.857143,0,0.0010738568027294374,93122,,0.010738568027294374,0
2020-03-30,162,14.084507,27,0,135,16.666667,0,0.0009940845830981077,100595,,0.009940845830981078,0
2020-03-29,142,9.230769,27,0,115,19.014085,0,0.0008713580913576005,114763,,0.008713580913576005,0
2020-03-28,130,9.243697,18,0,112,13.846154,0,0.0007977221963132963,125357,,0.007977221963132964,0
2020-03-27,119,13.333333,11,0,108,9.243697,0,0.0007302226258560174,136945,,0.0073022262585601735,0
2020-03-26,105,6.060606,9,0,96,8.571429,0,0.0006443140816376623,155204,,0.006443140816376624,0
2020-03-25,99,15.116279,9,0,90,9.090909,0,0.0006074961341155103,164610,,0.006074961341155103,0
2020-03-24,86,8.860759,8,0,78,9.302326,0,0.0005277239144841806,189493,,0.0052772391448418065,0
2020-03-23,79,17.910448,8,0,71,10.126582,0,0.00048476964237500315,206284,,0.004847696423750031,0
2020-03-22,67,42.553191,5,0,62,7.462687,0,0.00041113374733069884,243230,,0.004111337473306989,0
2020-03-21,47,23.684211,5,0,42,10.638298,0,0.0002884072555901917,346732,,0.0028840725559019175,0
2020-03-20,38,22.580645,2,0,36,5.263158,0,0.00023318033430696353,428853,,0.002331803343069635,0
2020-03-19,31,0,2,0,29,6.451613,0,0.00019022606219778603,525690,,0.0019022606219778603,0
2020-03-18,31,19.230769,2,0,29,6.451613,0,0.00019022606219778603,525690,,0.0019022606219778603,0
2020-03-17,26,8.333333,2,0,24,7.692308,0,0.00015954443926265925,626785,,0.0015954443926265926,0
2020-03-16,24,0,2,0,22,8.333333,0,0.00014727179008860853,679017,,0.0014727179008860855,0
2020-03-15,24,140,1,0,23,4.166667,0,0.00014727179008860853,679017,,0.0014727179008860855,0
2020-03-14,10,0,1,0,9,10,0,6.136324587025356e-05,1629640,,0.0006136324587025356,0
2020-03-13,10,150,1,0,9,10,0,6.136324587025356e-05,1629640,,0.0006136324587025356,0
2020-03-12,4,0,1,0,3,25,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-11,4,0,1,0,3,25,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-10,4,0,1,0,3,25,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-09,4,0,1,0,3,25,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-08,4,0,1,0,3,25,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-07,4,0,0,0,4,0,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-06,4,0,0,0,4,0,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-05,4,0,0,0,4,0,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-04,4,100,0,0,4,0,0,2.4545298348101425e-05,4074100,,0.00024545298348101425,0
2020-03-03,2,100,0,0,2,0,0,1.2272649174050713e-05,8148200,,0.00012272649174050712,0
2020-03-02,1,,0,0,1,0,0,6.136324587025356e-06,16296400,,6.136324587025356e-05,0

