"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,601,0,31,28,542,5.15807,4.658902,0.0038917560820830284,25695,551532,0.03891756082083028,0.0018131309533831082
2020-04-30,601,3.264605,31,28,542,5.15807,4.658902,0.0038917560820830284,25695,551532,0.03891756082083028,0.0018131309533831082
2020-04-29,582,10.227273,20,28,534,3.436426,4.810997,0.003768722195960603,26534,551532,0.03768722195960603,0.0018131309533831082
2020-04-28,528,10,19,28,481,3.598485,5.30303,0.0034190469406652894,29248,551532,0.03419046940665289,0.0018131309533831082
2020-04-27,480,10.091743,10,26,444,2.083333,5.416667,0.0031082244915138996,32173,593958,0.031082244915138998,0.001683621599570029
2020-04-26,436,11.794872,10,23,403,2.293578,5.275229,0.0028233039131251255,35419,671430,0.028233039131251254,0.0014893575688504103
2020-04-25,390,18.902439,8,18,364,2.051282,4.615385,0.0025254323993550436,39597,857939,0.025254323993550435,0.0011655841843177125
2020-04-24,328,0,8,16,304,2.439024,4.878049,0.002123953402534498,47082,965181,0.02123953402534498,0.0010360748305046333
2020-04-23,328,14.685315,8,16,304,2.439024,4.878049,0.002123953402534498,47082,965181,0.02123953402534498,0.0010360748305046333
2020-04-22,286,0,4,8,274,1.398601,2.797203,0.0018519837595270317,53996,1930363,0.01851983759527032,0.0005180374152523166
2020-04-21,286,20.675105,4,8,274,1.398601,2.797203,0.0018519837595270317,53996,1930363,0.01851983759527032,0.0005180374152523166
2020-04-20,237,44.512195,4,8,225,1.687764,3.375527,0.001534685842684988,65160,1930363,0.01534685842684988,0.0005180374152523166
2020-04-19,164,21.481481,3,7,154,1.829268,4.268293,0.001061976701267249,94164,2206129,0.01061976701267249,0.00045328273834577704
2020-04-18,135,16.37931,2,7,126,1.481481,5.185185,0.0008741881382382842,114392,2206129,0.008741881382382842,0.00045328273834577704
2020-04-17,116,45,2,6,108,1.724138,5.172414,0.0007511542521158591,133128,2573817,0.007511542521158591,0.00038852806143923745
2020-04-16,80,0,2,5,73,2.5,6.25,0.0005180374152523166,193036,3088580,0.005180374152523166,0.00032377338453269786
2020-04-15,80,33.333333,2,5,73,2.5,6.25,0.0005180374152523166,193036,3088580,0.005180374152523166,0.00032377338453269786
2020-04-14,60,0,2,2,56,3.333333,3.333333,0.00038852806143923745,257382,7721450,0.0038852806143923747,0.00012950935381307916
2020-04-13,60,140,2,2,56,3.333333,3.333333,0.00038852806143923745,257382,7721450,0.0038852806143923747,0.00012950935381307916
2020-04-12,25,19.047619,2,1,22,8,4,0.00016188669226634893,617716,15442900,0.0016188669226634895,6.475467690653958e-05
2020-04-11,21,0,1,1,19,4.761905,4.761905,0.0001359848215037331,735376,15442900,0.0013598482150373311,6.475467690653958e-05
2020-04-10,21,75,1,1,19,4.761905,4.761905,0.0001359848215037331,735376,15442900,0.0013598482150373311,6.475467690653958e-05
2020-04-09,12,0,1,1,10,8.333333,8.333333,7.770561228784749e-05,1286908,15442900,0.0007770561228784749,6.475467690653958e-05
2020-04-08,12,50,1,1,10,8.333333,8.333333,7.770561228784749e-05,1286908,15442900,0.0007770561228784749,6.475467690653958e-05
2020-04-07,8,14.285714,1,0,7,12.5,0,5.180374152523166e-05,1930363,,0.0005180374152523166,0
2020-04-06,7,0,1,0,6,14.285714,0,4.5328273834577704e-05,2206129,,0.00045328273834577704,0
