"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-07,2203,5.104962,1505,29,669,68.315933,1.316387,0.3789129686962504,264,20048,3.7891296869625046,0.0498796009631923
2020-08-06,2096,2.243902,1446,29,621,68.98855,1.383588,0.3605091159270726,277,20048,3.6050911592707258,0.0498796009631923
2020-08-05,2050,3.483089,1327,27,696,64.731707,1.317073,0.3525971792225662,284,21533,3.525971792225662,0.04643962848297214
2020-08-04,1981,4.648706,1278,27,676,64.512872,1.362948,0.3407292741658067,293,21533,3.407292741658067,0.04643962848297214
2020-08-03,1893,2.379665,1227,27,639,64.81775,1.426307,0.325593395252838,307,21533,3.25593395252838,0.04643962848297214
2020-08-02,1849,5.056818,1194,27,628,64.575446,1.460249,0.3180254557963536,314,21533,3.1802545579635364,0.04643962848297214
2020-08-01,1760,6.666667,1161,26,573,65.965909,1.477273,0.3027175782593739,330,22362,3.0271757825937393,0.04471964224286206
2020-07-31,1650,2.675793,1080,26,544,65.454545,1.575758,0.2837977296181631,352,22362,2.8379772961816307,0.04471964224286206
2020-07-30,1607,0,1003,26,578,62.414437,1.617922,0.2764017887856897,362,22362,2.7640178878568973,0.04471964224286206
2020-07-29,1607,6.423841,1003,26,578,62.414437,1.617922,0.2764017887856897,362,22362,2.7640178878568973,0.04471964224286206
2020-07-28,1510,1.820634,965,24,521,63.907285,1.589404,0.25971792225662194,385,24225,2.5971792225662194,0.0412796697626419
2020-07-27,1483,3.057679,925,24,534,62.373567,1.618341,0.2550739594083247,392,24225,2.5507395940832476,0.0412796697626419
2020-07-26,1439,4.199855,890,23,526,61.848506,1.598332,0.24750601995184038,404,25278,2.475060199518404,0.03955968352253182
2020-07-25,1381,5.823755,853,23,505,61.766836,1.66546,0.23753009975920192,421,25278,2.3753009975920194,0.03955968352253182
2020-07-24,1305,5.753647,804,23,478,61.609195,1.762452,0.22445820433436534,446,25278,2.2445820433436534,0.03955968352253182
2020-07-23,1234,4.931973,774,23,437,62.722853,1.863857,0.21224630202958375,471,25278,2.1224630202958377,0.03955968352253182
2020-07-22,1176,3.97878,739,21,416,62.840136,1.785714,0.20227038183694532,494,27686,2.022703818369453,0.03611971104231166
2020-07-21,1131,4.819277,705,21,405,62.334218,1.856764,0.19453044375644996,514,27686,1.9453044375644997,0.03611971104231166
2020-07-20,1079,4.859086,656,21,402,60.797034,1.946247,0.18558651530787754,539,27686,1.8558651530787755,0.03611971104231166
2020-07-19,1029,2.797203,627,21,381,60.932945,2.040816,0.17698658410732715,565,27686,1.7698658410732715,0.03611971104231166
2020-07-18,1001,6.150583,610,20,371,60.939061,1.998002,0.17217062263501892,581,29070,1.7217062263501892,0.03439972480220158
2020-07-17,943,4.314159,600,19,324,63.626723,2.014846,0.16219470244238046,617,30600,1.6219470244238046,0.032679738562091505
2020-07-16,904,8.004779,581,18,305,64.269912,1.99115,0.15548675610595114,643,32300,1.5548675610595115,0.030959752321981424
2020-07-15,837,4.494382,573,18,246,68.458781,2.150538,0.14396284829721362,695,32300,1.4396284829721362,0.030959752321981424
2020-07-14,801,2.692308,543,18,240,67.790262,2.247191,0.13777089783281735,726,32300,1.3777089783281735,0.030959752321981424
2020-07-13,780,5.263158,526,18,236,67.435897,2.307692,0.13415892672858618,745,32300,1.3415892672858618,0.030959752321981424
2020-07-12,741,0,495,18,228,66.801619,2.42915,0.12745098039215685,785,32300,1.2745098039215688,0.030959752321981424
2020-07-11,741,2.066116,495,18,228,66.801619,2.42915,0.12745098039215685,785,32300,1.2745098039215688,0.030959752321981424
2020-07-10,726,4.610951,481,18,227,66.253444,2.479339,0.12487100103199174,801,32300,1.2487100103199176,0.030959752321981424
2020-07-09,694,4.360902,456,17,221,65.706052,2.449568,0.11936704506363949,838,34200,1.1936704506363949,0.029239766081871347
2020-07-08,665,4.88959,434,17,214,65.263158,2.556391,0.11437908496732026,874,34200,1.1437908496732028,0.029239766081871347
2020-07-07,634,3.257329,405,15,214,63.880126,2.365931,0.10904712762297901,917,38760,1.0904712762297901,0.02579979360165119
2020-07-06,614,3.367003,315,14,285,51.302932,2.28013,0.10560715514275885,947,41529,1.0560715514275887,0.024079807361541108
2020-07-05,594,5.132743,292,14,288,49.158249,2.356902,0.1021671826625387,979,41529,1.021671826625387,0.024079807361541108
