"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-07,1493,0.336022,1114,33,346,74.614869,2.210315,0.018472235969514007,5414,244921,0.18472235969514006,0.004082945659705038
2020-09-06,1488,0.744753,1106,32,350,74.327957,2.150538,0.01841037315648817,5432,252575,0.18410373156488172,0.00395922003365337
2020-09-05,1477,1.372684,1094,32,351,74.069059,2.166554,0.018274274967831336,5472,252575,0.1827427496783134,0.00395922003365337
2020-09-04,1457,0.970201,1079,31,347,74.05628,2.12766,0.018026823715728002,5547,260723,0.18026823715728002,0.0038354944076017024
2020-09-03,1443,0.627615,1071,31,341,74.220374,2.148302,0.017853607839255665,5601,260723,0.17853607839255667,0.0038354944076017024
2020-09-02,1434,1.271186,1055,30,349,73.570432,2.09205,0.017742254775809166,5636,269413,0.17742254775809166,0.0037117687815500346
2020-09-01,1416,1.142857,1035,28,353,73.09322,1.977401,0.017519548648916163,5708,288657,0.17519548648916164,0.0034643175294466993
2020-08-31,1400,0.286533,1005,28,367,71.785714,2,0.017321587647233495,5773,288657,0.17321587647233497,0.0034643175294466993
2020-08-30,1396,0.431655,996,27,373,71.346705,1.934097,0.01727209739681283,5790,299348,0.1727209739681283,0.0033405919033950315
2020-08-29,1390,1.831502,990,27,373,71.223022,1.942446,0.01719786202118183,5815,299348,0.17197862021181828,0.0033405919033950315
2020-08-28,1365,2.941176,981,27,357,71.868132,1.978022,0.016888547956052657,5921,299348,0.16888547956052657,0.0033405919033950315
2020-08-27,1326,0,946,27,353,71.342383,2.036199,0.016406018014451153,6095,299348,0.16406018014451154,0.0033405919033950315
2020-08-26,1326,1.298701,946,27,353,71.342383,2.036199,0.016406018014451153,6095,299348,0.16406018014451154,0.0033405919033950315
2020-08-25,1309,1.081081,919,27,363,70.206264,2.062643,0.016195684450163318,6174,299348,0.1619568445016332,0.0033405919033950315
2020-08-24,1295,1.409554,914,27,354,70.579151,2.084942,0.01602246857369098,6241,299348,0.16022468573690984,0.0033405919033950315
2020-08-23,1277,0.156863,910,27,340,71.260767,2.11433,0.015799762446797982,6329,299348,0.15799762446797982,0.0033405919033950315
2020-08-22,1275,2.905569,903,27,345,70.823529,2.117647,0.015775017321587648,6339,299348,0.15775017321587648,0.0033405919033950315
2020-08-21,1239,2.227723,891,27,321,71.912833,2.179177,0.015329605067801642,6523,299348,0.15329605067801644,0.0033405919033950315
2020-08-20,1212,1.848739,878,27,307,72.442244,2.227723,0.01499554587746214,6669,299348,0.1499554587746214,0.0033405919033950315
2020-08-19,1190,1.449275,875,27,288,73.529412,2.268908,0.014723349500148471,6792,299348,0.14723349500148472,0.0033405919033950315
