"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,1030,0.389864,638,45,347,61.941748,4.368932,0.008807408484185144,11354,259882,0.08807408484185143,0.0038478969105663246
2020-05-07,1026,0.097561,600,44,382,58.479532,4.288499,0.008773204956091222,11398,265789,0.0877320495609122,0.0037623880903315176
2020-05-06,1025,0.293542,591,43,391,57.658537,4.195122,0.00876465407406774,11409,271970,0.08764654074067739,0.0036768792700967103
2020-05-05,1022,0.392927,482,43,497,47.162427,4.207436,0.008739001427997299,11443,271970,0.08739001427997298,0.0036768792700967103
2020-05-04,1018,0.493583,406,43,569,39.882122,4.223969,0.008704797899903374,11488,271970,0.08704797899903374,0.0036768792700967103
2020-05-03,1013,0.396432,328,42,643,32.379072,4.146101,0.008662043489785972,11545,278445,0.08662043489785971,0.003591370449861903
2020-05-02,1009,1.102204,323,42,644,32.011893,4.162537,0.008627839961692049,11590,278445,0.08627839961692048,0.003591370449861903
2020-05-01,998,0.402414,316,41,641,31.663327,4.108216,0.00853378025943376,11718,285237,0.0853378025943376,0.003505861629627096
2020-04-30,994,1.428571,305,41,648,30.684105,4.124748,0.008499576731339838,11765,285237,0.08499576731339838,0.003505861629627096
2020-04-29,980,0.512821,294,40,646,30,4.081633,0.008379864383011108,11933,292368,0.08379864383011107,0.0034203528093922886
2020-04-28,975,0.827301,279,40,656,28.615385,4.102564,0.008337109972893704,11995,292368,0.08337109972893704,0.0034203528093922886
2020-04-27,967,1.896733,279,39,649,28.85212,4.033092,0.008268702916705858,12094,299864,0.08268702916705857,0.0033348439891574813
2020-04-26,949,1.064963,216,38,695,22.760801,4.004215,0.008114787040283206,12323,307755,0.08114787040283204,0.0032493351689226744
2020-04-25,939,1.843818,207,38,694,22.044728,4.046858,0.008029278220048399,12454,307755,0.08029278220048397,0.0032493351689226744
2020-04-24,922,0.43573,194,38,690,21.041215,4.121475,0.007883913225649226,12684,307755,0.07883913225649225,0.0032493351689226744
2020-04-23,918,0.990099,190,38,690,20.697168,4.139434,0.007849709697555303,12739,307755,0.07849709697555303,0.0032493351689226744
2020-04-22,909,2.828054,190,38,681,20.90209,4.180418,0.007772751759343976,12865,307755,0.07772751759343975,0.0032493351689226744
2020-04-21,884,0,148,38,698,16.742081,4.298643,0.007558979708756958,13229,307755,0.07558979708756958,0.0032493351689226744
2020-04-20,884,0.568828,148,38,698,16.742081,4.298643,0.007558979708756958,13229,307755,0.07558979708756958,0.0032493351689226744
2020-04-19,879,1.736111,43,38,798,4.891923,4.323094,0.007516225298639555,13305,307755,0.07516225298639555,0.0032493351689226744
2020-04-18,864,0,43,37,784,4.976852,4.282407,0.007387962068287344,13536,316073,0.07387962068287343,0.003163826348687867
2020-04-17,864,5.109489,43,37,784,4.976852,4.282407,0.007387962068287344,13536,316073,0.07387962068287343,0.003163826348687867
2020-04-16,822,5.384615,43,37,742,5.231144,4.501217,0.007028825023301153,14227,316073,0.07028825023301154,0.003163826348687867
2020-04-15,780,4.417671,43,35,702,5.512821,4.487179,0.006669687978314963,14993,334134,0.06669687978314963,0.0029928087082182527
2020-04-14,747,2.892562,43,34,670,5.756359,4.551539,0.0063875088715401,15656,343962,0.06387508871540098,0.0029072998879834454
2020-04-13,726,2.687412,43,34,649,5.922865,4.683196,0.006207940349047004,16108,343962,0.06207940349047004,0.0029072998879834454
2020-04-12,707,3.211679,43,31,633,6.082037,4.384724,0.00604547359060087,16541,377248,0.0604547359060087,0.0026507734272790237
2020-04-11,685,2.086438,43,28,614,6.277372,4.087591,0.005857354186084294,17073,417668,0.058573541860842945,0.002394246966574602
2020-04-10,671,4.354588,25,25,621,3.725782,3.725782,0.0057376418377555645,17429,467788,0.05737641837755564,0.0021377205058701805
2020-04-09,643,2.388535,25,25,593,3.888025,3.888025,0.005498217141098104,18188,467788,0.05498217141098104,0.0021377205058701805
2020-04-08,628,0.802568,25,24,579,3.980892,3.821656,0.005369953910745894,18622,487279,0.05369953910745893,0.002052211685635373
2020-04-07,623,4.530201,25,23,575,4.012841,3.691814,0.0053271995006284895,18772,508465,0.05327199500628489,0.0019667028654005657
2020-04-06,596,3.832753,5,22,569,0.838926,3.691275,0.00509632568599451,19622,531577,0.0509632568599451,0.0018811940451657588
2020-04-05,574,3.797468,5,22,547,0.87108,3.832753,0.004908206281477935,20374,531577,0.049082062814779344,0.0018811940451657588
2020-04-04,553,11.717172,5,18,530,0.904159,3.254973,0.004728637758984839,21148,649706,0.04728637758984839,0.0015391587642265298
2020-04-03,495,8.791209,5,18,472,1.010101,3.636364,0.0042326866016229574,23626,649706,0.04232686601622957,0.0015391587642265298
2020-04-02,455,7.565012,5,14,436,1.098901,3.076923,0.0038906513206837284,25703,835336,0.03890651320683728,0.001197123483287301
2020-04-01,423,7.360406,5,12,406,1.182033,2.836879,0.0036170230959323454,27647,974558,0.03617023095932345,0.0010261058428176865
2020-03-31,394,26.282051,3,10,381,0.761421,2.538071,0.0033690475172514045,29682,1169470,0.03369047517251404,0.0008550882023480722
2020-03-30,312,0,3,8,301,0.961538,2.564103,0.002667875191325985,37483,1461838,0.02667875191325985,0.0006840705618784578
2020-03-29,312,12.230216,2,8,302,0.641026,2.564103,0.002667875191325985,37483,1461838,0.02667875191325985,0.0006840705618784578
2020-03-28,278,22.46696,2,8,268,0.719424,2.877698,0.0023771452025276407,42067,1461838,0.023771452025276404,0.0006840705618784578
2020-03-27,227,15.228426,2,6,219,0.881057,2.643172,0.0019410502193301239,51519,1949117,0.01941050219330124,0.0005130529214088433
2020-03-26,197,13.872832,2,6,189,1.015228,3.045685,0.0016845237586257022,59364,1949117,0.01684523758625702,0.0005130529214088433
2020-03-25,173,51.754386,2,5,166,1.156069,2.890173,0.001479302590062165,67599,2338940,0.014793025900621648,0.0004275441011740361
2020-03-24,114,28.089888,1,4,109,0.877193,3.508772,0.0009748005506768023,102585,2923675,0.009748005506768022,0.0003420352809392289
2020-03-23,89,18.666667,1,3,85,1.123596,3.370787,0.0007610285000897842,131401,3898233,0.007610285000897842,0.00025652646070442164
2020-03-22,75,25,1,3,71,1.333333,4,0.0006413161517610542,155929,3898233,0.006413161517610541,0.00025652646070442164
2020-03-21,60,11.111111,0,1,59,0,1.666667,0.0005130529214088433,194912,11694700,0.005130529214088433,8.550882023480722e-05
2020-03-20,54,38.461538,0,1,53,0,1.851852,0.000461747629267959,216569,11694700,0.0046174762926795895,8.550882023480722e-05
2020-03-19,39,34.482759,0,1,38,0,2.564103,0.00033348439891574814,299864,11694700,0.0033348439891574813,8.550882023480722e-05
2020-03-18,29,20.833333,0,0,29,0,0,0.00024797557868094094,403266,,0.0024797557868094094,0
2020-03-17,24,20,0,0,24,0,0,0.00020522116856353732,487279,,0.002052211685635373,0
2020-03-16,20,11.111111,0,0,20,0,0,0.00017101764046961444,584735,,0.0017101764046961443,0
2020-03-15,18,0,0,0,18,0,0,0.000153915876422653,649706,,0.0015391587642265298,0
2020-03-14,18,12.5,0,0,18,0,0,0.000153915876422653,649706,,0.0015391587642265298,0
2020-03-13,16,128.571429,0,0,16,0,0,0.00013681411237569156,730919,,0.0013681411237569155,0
2020-03-12,7,0,0,0,7,0,0,5.9856174164365056e-05,1670671,,0.0005985617416436505,0
2020-03-11,7,40,0,0,7,0,0,5.9856174164365056e-05,1670671,,0.0005985617416436505,0
2020-03-10,5,150,0,0,5,0,0,4.275441011740361e-05,2338940,,0.0004275441011740361,0
2020-03-09,2,0,0,0,2,0,0,1.7101764046961446e-05,5847350,,0.00017101764046961444,0
2020-03-08,2,100,0,0,2,0,0,1.7101764046961446e-05,5847350,,0.00017101764046961444,0
2020-03-07,1,0,0,0,1,0,0,8.550882023480723e-06,11694700,,8.550882023480722e-05,0
2020-03-06,1,0,0,0,1,0,0,8.550882023480723e-06,11694700,,8.550882023480722e-05,0
2020-03-05,1,0,0,0,1,0,0,8.550882023480723e-06,11694700,,8.550882023480722e-05,0
2020-03-04,1,,0,0,1,0,0,8.550882023480723e-06,11694700,,8.550882023480722e-05,0

