"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-11,211981,0.481596,193217,5344,13420,91.1482633,2.5209807,0.2540836825299414,394,15612,2.540836825299414,0.06405400481363928
2020-07-10,210965,0.4777055,191883,5323,13759,90.954898,2.523167,0.25286588932465215,395,15673,2.5286588932465213,0.06380229558813658
2020-07-09,209962,0.4900975,190390,5300,14272,90.6783132,2.5242663,0.2516636781190369,397,15741,2.516636781190369,0.06352661405544315
2020-07-08,208938,0.500729,187511,5282,16145,89.7448047,2.5280227,0.25043629599087136,399,15795,2.5043629599087134,0.06331086329072655
2020-07-07,207897,0.509079,185292,5260,17345,89.126827,2.530099,0.2491885374015937,401,15861,2.491885374015937,0.06304716791162848
2020-07-06,206844,0.527805,182995,5241,18608,88.470055,2.533794,0.24792639542800157,403,15919,2.4792639542800154,0.06281943099331652
2020-07-05,205758,0.561067,180680,5225,19853,87.8118955,2.5393909,0.24662469914754476,405,15967,2.4662469914754475,0.06262765253579065
2020-07-04,204610,0.567199,179492,5206,19912,87.723963,2.544353,0.24524868871479666,408,16026,2.4524868871479666,0.062399915617478686
2020-07-03,203456,0.579383,178278,5186,19992,87.624843,2.548954,0.24386548658989135,410,16087,2.4386548658989136,0.062160192545571355
2020-07-02,202284,0.5897622,176965,5167,20152,87.483439,2.55433,0.24246070938851438,412,16147,2.4246070938851436,0.06193245562725939
2020-07-01,201098,0.59628,175422,5150,20526,87.2320958,2.5609404,0.2410391515721039,415,16200,2.410391515721039,0.061728691016138156
2020-06-30,199906,0.6510148,173111,5131,21664,86.5962,2.566706,0.2396104020635362,417,16260,2.3961040206353617,0.06150095409782619
2020-06-29,198613,0.6966168,171809,5115,21689,86.5044081,2.5753601,0.2380605924036553,420,16311,2.3806059240365527,0.06130917564030032
2020-06-28,197239,0.69225,170595,5097,21547,86.4915154,2.5841745,0.23641369489965192,423,16368,2.364136948996519,0.061093424875583724
