"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-28,7520,0.146491,7099,134,287,94.401596,1.781915,0.5390681003584229,186,10410,5.39068100358423,0.0960573476702509
2021-01-27,7509,0.173426,7077,134,298,94.246904,1.784525,0.5382795698924732,186,10410,5.382795698924731,0.0960573476702509
2021-01-26,7496,0.080107,7058,134,304,94.156884,1.78762,0.537347670250896,186,10410,5.3734767025089605,0.0960573476702509
2021-01-25,7490,0.227486,7033,134,323,93.898531,1.789052,0.5369175627240144,186,10410,5.369175627240144,0.0960573476702509
2021-01-24,7473,0.147414,7015,134,324,93.87127,1.793122,0.5356989247311827,187,10410,5.356989247311828,0.0960573476702509
2021-01-23,7462,0.080472,7002,134,326,93.835433,1.795765,0.534910394265233,187,10410,5.34910394265233,0.0960573476702509
2021-01-22,7456,0.080537,6991,133,332,93.763412,1.783798,0.5344802867383512,187,10489,5.344802867383512,0.0953405017921147
2021-01-21,7450,0.269179,6974,133,343,93.610738,1.785235,0.5340501792114696,187,10489,5.340501792114695,0.0953405017921147
2021-01-20,7430,0.202293,6965,133,332,93.741588,1.79004,0.5326164874551972,188,10489,5.326164874551972,0.0953405017921147
2021-01-19,7415,0.216245,6945,132,338,93.661497,1.780175,0.5315412186379929,188,10568,5.315412186379929,0.09462365591397849
2021-01-18,7399,0.081158,6938,132,329,93.769428,1.784025,0.530394265232975,189,10568,5.3039426523297495,0.09462365591397849
2021-01-17,7393,0.312076,6930,132,331,93.737319,1.785473,0.5299641577060932,189,10568,5.299641577060932,0.09462365591397849
2021-01-16,7370,0.367697,6923,131,316,93.934871,1.777476,0.5283154121863799,189,10649,5.2831541218638,0.0939068100358423
2021-01-15,7343,0.314208,6913,130,300,94.144083,1.770394,0.5263799283154121,190,10731,5.263799283154122,0.0931899641577061
2021-01-14,7320,0.205339,6896,130,294,94.20765,1.775956,0.524731182795699,191,10731,5.247311827956989,0.0931899641577061
2021-01-13,7305,0.260774,6891,129,285,94.332649,1.765914,0.5236559139784946,191,10814,5.236559139784946,0.09247311827956989
2021-01-12,7286,0.178743,6883,128,275,94.468844,1.756794,0.5222939068100358,191,10898,5.2229390681003585,0.09175627240143369
2021-01-11,7273,0.110117,6863,128,282,94.362711,1.759934,0.5213620071684588,192,10898,5.213620071684588,0.09175627240143369
2021-01-10,7265,0.289895,6857,128,280,94.384033,1.761872,0.5207885304659499,192,10898,5.207885304659499,0.09175627240143369
2021-01-09,7244,0.346308,6844,128,272,94.478189,1.76698,0.5192831541218638,193,10898,5.192831541218638,0.09175627240143369
2021-01-08,7219,0.124827,6832,127,260,94.639147,1.759246,0.5174910394265233,193,10984,5.174910394265233,0.0910394265232975
2021-01-07,7210,0.194553,6774,127,309,93.952843,1.761442,0.5168458781362008,193,10984,5.168458781362007,0.0910394265232975
2021-01-06,7196,0.139159,6744,127,325,93.718733,1.764869,0.51584229390681,194,10984,5.1584229390681005,0.0910394265232975
2021-01-05,7186,0.111452,6735,127,324,93.723908,1.767325,0.5151254480286739,194,10984,5.151254480286738,0.0910394265232975
2021-01-04,7178,0.139509,6718,127,333,93.59153,1.769295,0.5145519713261649,194,10984,5.145519713261649,0.0910394265232975
2021-01-03,7168,0.083775,6690,127,351,93.331473,1.771763,0.5138351254480287,195,10984,5.138351254480287,0.0910394265232975
2021-01-02,7162,0.055882,6680,127,355,93.270036,1.773248,0.5134050179211469,195,10984,5.13405017921147,0.0910394265232975
2021-01-01,7158,0.111888,6671,127,360,93.196424,1.774239,0.5131182795698924,195,10984,5.131182795698924,0.0910394265232975
