"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,85,2.409639,52,0,33,61.176471,0,0.0001920053490431357,520819,,0.001920053490431357,0
2020-04-30,83,2.469136,52,0,31,62.650602,0,0.0001874875761244737,533369,,0.0018748757612447368,0
2020-04-29,81,2.531646,52,0,29,64.197531,0,0.00018296980320581165,546538,,0.0018296980320581166,0
2020-04-28,79,0,52,0,27,65.822785,0,0.00017845203028714964,560375,,0.0017845203028714965,0
2020-04-27,79,0,47,0,32,59.493671,0,0.00017845203028714964,560375,,0.0017845203028714965,0
2020-04-26,79,5.333333,46,0,33,58.227848,0,0.00017845203028714964,560375,,0.0017845203028714965,0
2020-04-25,75,0,46,0,29,61.333333,0,0.0001694164844498256,590261,,0.0016941648444982562,0
2020-04-24,75,1.351351,46,0,29,61.333333,0,0.0001694164844498256,590261,,0.0016941648444982562,0
2020-04-23,74,17.460317,46,0,28,62.162162,0,0.0001671575979904946,598238,,0.001671575979904946,0
2020-04-22,63,3.278689,45,0,18,71.428571,0,0.0001423098469378535,702692,,0.0014230984693785352,0
2020-04-21,61,8.928571,38,0,23,62.295082,0,0.0001377920740191915,725731,,0.001377920740191915,0
2020-04-20,56,1.818182,38,0,18,67.857143,0,0.00012649764172253646,790529,,0.0012649764172253646,0
2020-04-19,55,0,28,0,27,50.909091,0,0.00012423875526320545,804902,,0.0012423875526320544,0
2020-04-18,55,-1.785714,22,0,33,40,0,0.00012423875526320545,804902,,0.0012423875526320544,0
2020-04-17,56,1.818182,20,0,36,35.714286,0,0.00012649764172253646,790529,,0.0012649764172253646,0
2020-04-16,55,0,20,0,35,36.363636,0,0.00012423875526320545,804902,,0.0012423875526320544,0
2020-04-15,55,0,12,0,43,21.818182,0,0.00012423875526320545,804902,,0.0012423875526320544,0
2020-04-14,55,1.851852,8,0,47,14.545455,0,0.00012423875526320545,804902,,0.0012423875526320544,0
2020-04-13,54,0,7,0,47,12.962963,0,0.00012197986880387444,819807,,0.0012197986880387445,0
2020-04-12,54,1.886792,4,0,50,7.407407,0,0.00012197986880387444,819807,,0.0012197986880387445,0
2020-04-11,53,0,4,0,49,7.54717,0,0.00011972098234454344,835275,,0.0011972098234454343,0
2020-04-10,53,0,0,0,53,0,0,0.00011972098234454344,835275,,0.0011972098234454343,0
2020-04-09,53,0,0,0,53,0,0,0.00011972098234454344,835275,,0.0011972098234454343,0
2020-04-08,53,1.923077,0,0,53,0,0,0.00011972098234454344,835275,,0.0011972098234454343,0
2020-04-07,52,0,0,0,52,0,0,0.00011746209588521243,851338,,0.0011746209588521244,0
2020-04-06,52,0,0,0,52,0,0,0.00011746209588521243,851338,,0.0011746209588521244,0
2020-04-05,52,8.333333,0,0,52,0,0,0.00011746209588521243,851338,,0.0011746209588521244,0
2020-04-04,48,0,0,0,48,0,0,0.00010842655004788839,922283,,0.0010842655004788839,0
2020-04-03,48,6.666667,0,0,48,0,0,0.00010842655004788839,922283,,0.0010842655004788839,0
2020-04-02,45,2.272727,0,0,45,0,0,0.00010164989066989537,983769,,0.0010164989066989538,0
2020-04-01,44,0,0,0,44,0,0,9.939100421056436e-05,1006127,,0.0009939100421056436,0
2020-03-31,44,33.333333,0,0,44,0,0,9.939100421056436e-05,1006127,,0.0009939100421056436,0
2020-03-30,33,0,0,0,33,0,0,7.454325315792328e-05,1341503,,0.0007454325315792328,0
2020-03-29,33,10,0,0,33,0,0,7.454325315792328e-05,1341503,,0.0007454325315792328,0
2020-03-28,30,30.434783,0,0,30,0,0,6.776659377993024e-05,1475653,,0.0006776659377993024,0
2020-03-27,23,64.285714,0,0,23,0,0,5.195438856461319e-05,1924765,,0.0005195438856461319,0
2020-03-26,14,0,0,0,14,0,0,3.1624410430634114e-05,3162114,,0.00031624410430634116,0
2020-03-25,14,55.555556,0,0,14,0,0,3.1624410430634114e-05,3162114,,0.00031624410430634116,0
2020-03-24,9,0,0,0,9,0,0,2.0329978133979074e-05,4918844,,0.00020329978133979074,0
2020-03-23,9,800,0,0,9,0,0,2.0329978133979074e-05,4918844,,0.00020329978133979074,0
2020-03-22,1,0,0,0,1,0,0,2.258886459331008e-06,44269600,,2.2588864593310084e-05,0
2020-03-21,1,,0,0,1,0,0,2.258886459331008e-06,44269600,,2.2588864593310084e-05,0

