"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-01,3136,4.882943,930,24,2182,29.655612,0.765306,0.44153529255233026,226,29594,4.415352925523302,0.03379096626675997
2020-07-31,2990,3.855505,898,23,2069,30.033445,0.769231,0.42097912140671795,238,30880,4.209791214067179,0.0323830093389783
2020-07-30,2879,2.894925,885,23,1971,30.73984,0.798889,0.40535079950834146,247,30880,4.0535079950834145,0.0323830093389783
2020-07-29,2798,2.490842,854,22,1922,30.521801,0.786276,0.39394634839330994,254,32284,3.9394634839330993,0.030975052411196635
2020-07-28,2730,4.079299,836,22,1872,30.622711,0.805861,0.3843722412843946,260,32284,3.8437224128439462,0.030975052411196635
2020-07-27,2623,3.881188,817,21,1785,31.147541,0.80061,0.3693071021571308,271,33821,3.693071021571308,0.02956709548341497
2020-07-26,2525,7.952116,817,20,1688,32.356436,0.792079,0.35550912426487047,281,35512,3.5550912426487047,0.028159138555633303
2020-07-25,2339,4.001779,815,20,1504,34.84395,0.855066,0.3293211254081315,304,35512,3.293211254081315,0.028159138555633303
2020-07-24,2249,2.55358,800,19,1430,35.571365,0.84482,0.3166495130580965,316,37382,3.166495130580965,0.02675118162785164
2020-07-23,2193,2.909432,787,19,1387,35.886913,0.866393,0.3087649542625192,324,37382,3.0876495426251918,0.02675118162785164
2020-07-22,2131,4.358472,753,19,1359,35.335523,0.8916,0.3000356213102729,333,37382,3.000356213102729,0.02675118162785164
2020-07-21,2042,4.717949,737,18,1287,36.092067,0.881489,0.28750480465301603,348,39458,2.8750480465301607,0.025343224700069975
2020-07-20,1950,4,712,18,1220,36.512821,0.923077,0.27455160091742475,364,39458,2.7455160091742474,0.025343224700069975
2020-07-19,1875,4.398664,712,18,1145,37.973333,0.96,0.26399192395906224,379,39458,2.6399192395906224,0.025343224700069975
2020-07-18,1796,3.575548,708,18,1070,39.420935,1.002227,0.2528690642295871,395,39458,2.528690642295871,0.025343224700069975
2020-07-17,1734,2.421737,697,17,1020,40.196078,0.980392,0.24413973127734076,410,41779,2.4413973127734074,0.02393526777228831
