"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,5832,4.273199,0,202,5630,0,3.463649,0.12200517768886797,820,23664,1.2200517768886796,0.04225830914463534
2020-04-22,5593,5.190897,0,196,5397,0,3.50438,0.11700530843858686,855,24388,1.1700530843858685,0.041003111843309535
2020-04-21,5317,4.685962,0,183,5134,0,3.44179,0.11123140085248817,899,26121,1.1123140085248817,0.03828351769043697
2020-04-20,5079,3.907529,0,163,4916,0,3.209293,0.10625245155722915,941,29326,1.0625245155722916,0.03409952668601762
2020-04-19,4888,3.735144,0,157,4731,0,3.211948,0.10225674014800869,978,30447,1.0225674014800867,0.032844329384691826
2020-04-18,4712,3.084664,0,153,4559,0,3.247029,0.09857482806411966,1014,31243,0.9857482806411966,0.032007531183807954
2020-04-17,4571,5.201381,0,148,4423,0,3.237804,0.09562511440600403,1046,32298,0.9562511440600403,0.03096153343270312
2020-04-16,4345,6.625767,0,133,4212,0,3.06099,0.09089720457101018,1100,35941,0.9089720457101017,0.027823540179388616
2020-04-15,4075,3.086264,0,118,3957,0,2.895706,0.08524881671504406,1173,40510,0.8524881671504406,0.02468554692607411
2020-04-14,3953,5.865024,0,114,3839,0,2.883886,0.08269658220234827,1209,41931,0.8269658220234827,0.02384874872519024
2020-04-13,3734,4.799326,0,99,3635,0,2.651312,0.07811511205250908,1280,48284,0.7811511205250908,0.020710755471875734
2020-04-12,3563,10.755362,0,93,3470,0,2.61016,0.07453779974373055,1342,51399,0.7453779974373055,0.019455558170549933
2020-04-11,3217,9.16186,0,92,3125,0,2.859807,0.06729949530608509,1486,51958,0.6729949530608509,0.019246358620328967
2020-04-10,2947,9.027007,0,80,2867,0,2.714625,0.06165110745011898,1622,59752,0.6165110745011898,0.016735964017677362
2020-04-09,2703,16.108247,0,70,2633,0,2.589715,0.05654663842472739,1768,68288,0.5654663842472739,0.014643968515467691
2020-04-08,2328,7.330567,0,66,2262,0,2.835052,0.048701655291441125,2053,72426,0.48701655291441126,0.013807170314583823
2020-04-07,2169,11.116803,0,64,2105,0,2.950669,0.04537538244292775,2204,74689,0.4537538244292775,0.013388771214141889
2020-04-06,1952,10.594901,0,49,1903,0,2.510246,0.040835752203132764,2449,97554,0.40835752203132764,0.010250777960827384
2020-04-05,1765,9.355638,0,45,1720,0,2.549575,0.03692372061400068,2708,106225,0.3692372061400068,0.009413979759943516
2020-04-04,1614,7.959866,0,44,1570,0,2.726146,0.03376480740566408,2962,108639,0.33764807405664077,0.00920478020972255
2020-04-03,1495,21.248986,0,38,1457,0,2.541806,0.03127533275803457,3197,125793,0.3127533275803457,0.007949582908396747
2020-04-02,1233,16.320755,0,32,1201,0,2.595296,0.025794304542245235,3877,149379,0.25794304542245233,0.0066943856070709445
2020-04-01,1060,7.39615,0,27,1033,0,2.54717,0.022175152323422504,4510,177042,0.22175152323422503,0.00564838785596611
2020-03-31,987,9.788654,0,23,964,0,2.330294,0.020647995606809445,4843,207832,0.20647995606809447,0.004811589655082242
2020-03-30,899,8.969697,0,10,889,0,1.112347,0.018807039564864937,5317,478013,0.18807039564864936,0.0020919955022096703
2020-03-29,825,18.876081,0,10,815,0,1.212121,0.01725896289322978,5794,478013,0.1725896289322978,0.0020919955022096703
2020-03-28,694,18.228279,0,4,690,0,0.576369,0.014518448785335111,6888,1195031,0.1451844878533511,0.0008367982008838681
2020-03-27,587,13.539652,0,4,583,0,0.681431,0.012280013597970764,8143,1195031,0.12280013597970764,0.0008367982008838681
2020-03-26,517,35.695538,0,1,516,0,0.193424,0.010815616746423996,9246,4780125,0.10815616746423995,0.00020919955022096701
2020-03-25,381,57.438017,0,1,380,0,0.262467,0.007970502863418844,12546,4780125,0.07970502863418844,0.00020919955022096701
2020-03-24,242,23.469388,0,0,242,0,0,0.005062629115347402,19753,,0.05062629115347402,0
2020-03-23,196,24.840764,0,0,196,0,0,0.004100311184330954,24388,,0.041003111843309535,0
2020-03-22,157,19.847328,0,0,157,0,0,0.0032844329384691825,30447,,0.032844329384691826,0
2020-03-21,131,57.831325,0,0,131,0,0,0.002740514107894668,36490,,0.02740514107894668,0
2020-03-20,83,6.410256,0,0,83,0,0,0.0017363562668340263,57592,,0.017363562668340264,0
2020-03-19,78,69.565217,0,0,78,0,0,0.0016317564917235428,61284,,0.01631756491723543,0
2020-03-18,46,17.948718,0,0,46,0,0,0.0009623179310164484,103916,,0.009623179310164483,0
2020-03-17,39,34.482759,0,0,39,0,0,0.0008158782458617714,122567,,0.008158782458617715,0
2020-03-16,29,141.666667,0,0,29,0,0,0.0006066786956408043,164832,,0.006066786956408044,0
2020-03-15,12,100,0,0,12,0,0,0.00025103946026516045,398344,,0.0025103946026516044,0
2020-03-14,6,20,0,0,6,0,0,0.00012551973013258023,796688,,0.0012551973013258022,0
2020-03-13,5,,0,0,5,0,0,0.00010459977511048351,956025,,0.0010459977511048351,0

