"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-10,50028,1.306117,42130,555,7343,84.212841,1.109379,1.7156196213277568,58,5254,17.156196213277568,0.19032719473832754
2020-08-09,49383,1.171867,41452,544,7387,83.939817,1.101594,1.6935005149122215,59,5360,16.935005149122215,0.18655494403180214
2020-08-08,48811,1.607028,40360,535,7916,82.68628,1.096064,1.6738848112382894,60,5451,16.738848112382893,0.18346855709009952
2020-08-07,48039,2.149783,40360,521,7158,84.015071,1.084535,1.6474104699161292,61,5597,16.47410469916129,0.1786675107363399
2020-08-06,47028,1.587713,39555,515,6958,84.109467,1.095092,1.6127400566043366,62,5662,16.127400566043367,0.17660991944187152
2020-08-05,46293,2.009652,38848,508,6937,83.917655,1.097358,1.5875345632470985,63,5740,15.875345632470985,0.1742093962649917
2020-08-04,45381,1.757966,38000,490,6891,83.735484,1.079747,1.5562591755711788,64,5951,15.562591755711788,0.16803662238158648
2020-08-03,44597,1.796394,37240,475,6882,83.503375,1.065094,1.5293733159901248,65,6139,15.29373315990125,0.16289264414541546
2020-08-02,43810,1.475459,36034,464,7312,82.250628,1.059119,1.5023845768443478,67,6285,15.023845768443477,0.15912039343889006
2020-08-01,43173,1.557244,36034,458,6681,83.464202,1.060848,1.4805398159347414,68,6367,14.805398159347414,0.15706280214442164
2020-07-31,42511,1.800809,35413,453,6645,83.303145,1.065607,1.4578377253191066,69,6437,14.578377253191068,0.15534814273236464
2020-07-30,41759,1.930775,34737,442,6580,83.184463,1.058454,1.4320492477617692,70,6597,14.320492477617693,0.15157589202583924
2020-07-29,40968,1.958637,33938,434,6596,82.840266,1.059363,1.4049233358630275,71,6719,14.049233358630275,0.14883243696654802
2020-07-28,40181,1.860725,33188,428,6565,82.596252,1.06518,1.3779345967172503,73,6813,13.779345967172503,0.14677484567207963
2020-07-27,39447,2.133444,32365,408,6674,82.046797,1.034299,1.3527633965482535,74,7147,13.527633965482535,0.1399162080238516
2020-07-26,38623,1.690319,31622,401,6600,81.873495,1.038241,1.324505809437554,75,7272,13.24505809437554,0.1375156848469718
2020-07-25,37981,1.965153,29827,399,7755,78.531371,1.050525,1.302489582586742,77,7308,13.024895825867421,0.136829821082149
2020-07-24,37249,2.730357,29827,394,7028,80.074633,1.057747,1.2773869687942274,78,7401,12.773869687942275,0.135115161670092
2020-07-23,36259,2.874085,28864,386,7009,79.605064,1.064563,1.2434367124354988,80,7554,12.434367124354988,0.13237170661080078
