"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-24,42962,1.577019,5122,1790,36050,11.922164,4.166473,0.8542309604938562,117,2810,8.542309604938561,0.355912997366045
2020-07-23,42295,1.475528,5095,1786,35414,12.046341,4.222721,0.8409687275752443,119,2816,8.409687275752443,0.3551176610590817
2020-07-22,41680,1.55698,5064,1771,34845,12.149712,4.24904,0.8287404318556847,121,2840,8.287404318556845,0.3521351499079696
2020-07-21,41041,1.215843,5019,1763,34259,12.229234,4.295704,0.8160349343519471,123,2853,8.16034934351947,0.35054447729404314
2020-07-20,40548,1.056724,4969,1758,33821,12.254612,4.335602,0.8062324143686252,124,2861,8.062324143686252,0.3495503069103391
2020-07-19,40124,0.890118,4948,1752,33424,12.331772,4.366464,0.797801849514815,125,2871,7.97801849514815,0.34835730244989427
2020-07-18,39770,1.129024,4927,1752,33091,12.388735,4.405331,0.7907631231981904,126,2871,7.907631231981904,0.34835730244989427
2020-07-17,39326,1.596569,4909,1751,32666,12.482836,4.452525,0.7819348901908986,128,2872,7.8193489019089855,0.34815846837315345
2020-07-16,38708,1.497234,4880,1745,32083,12.607213,4.508112,0.7696469442483167,130,2882,7.696469442483167,0.3469654639127086
2020-07-15,38137,1.245089,4844,1744,31549,12.701576,4.572987,0.7582935184664166,132,2884,7.582935184664166,0.34676662983596784
2020-07-14,37668,1.209092,4808,1738,31122,12.76415,4.613996,0.7489682002672727,134,2894,7.489682002672727,0.345573625375523
2020-07-13,37218,0.875457,4780,1727,30711,12.843248,4.640228,0.7400206668139364,135,2912,7.400206668139364,0.3433864505313741
2020-07-12,36895,0.880431,4749,1725,30421,12.871663,4.67543,0.7335983261352084,136,2916,7.335983261352083,0.3429887823778925
2020-07-11,36573,1.105797,4728,1725,30120,12.92757,4.716594,0.7271958688641543,138,2916,7.2719586886415435,0.3429887823778925
2020-07-10,36173,1.875686,4691,1724,29758,12.968236,4.765986,0.7192425057945221,139,2917,7.19242505794522,0.34278994830115167
2020-07-09,35507,1.162426,4669,1706,29132,13.14952,4.804686,0.7060001562835844,142,2948,7.060001562835843,0.33921093491981713
2020-07-08,35099,1.304586,4669,1704,28726,13.302373,4.854839,0.6978877259525594,143,2951,6.978877259525594,0.33881326676633555
2020-07-07,34647,1.188668,4636,1696,28315,13.380668,4.895085,0.6889004256838749,145,2965,6.889004256838748,0.33722259415240907
2020-07-06,34240,0.56391,4603,1691,27946,13.443341,4.938668,0.6808078787605241,147,2974,6.80807878760524,0.33622842376870504
2020-07-05,34048,0.587905,4568,1701,27779,13.416353,4.995888,0.6769902644871005,148,2957,6.769902644871005,0.3382167645361131
2020-07-04,33849,0.756065,4557,1701,27591,13.462732,5.025259,0.6730334663599584,149,2957,6.730334663599584,0.3382167645361131
2020-07-03,33595,0.779961,4541,1701,27353,13.516892,5.063253,0.667983080810742,150,2957,6.679830808107419,0.3382167645361131
2020-07-02,33335,0.978432,4524,1701,27110,13.571321,5.102745,0.662813394815481,151,2957,6.628133948154809,0.3382167645361131
2020-07-01,33012,0.960303,4502,1697,26813,13.637465,5.140555,0.6563910541367529,152,2964,6.5639105413675285,0.3374214282291499
2020-06-30,32698,0.627808,4479,1690,26529,13.698086,5.168512,0.6501476641270916,154,2976,6.501476641270915,0.3360295896919642
2020-06-29,32494,0.631775,4459,1681,26354,13.722533,5.173263,0.6460914489615791,155,2992,6.46091448961579,0.334240083001297
2020-06-28,32290,0.887334,4442,1676,26172,13.756581,5.190461,0.6420352337960666,156,3001,6.420352337960666,0.33324591261759295
2020-06-27,32006,0.711139,4430,1674,25902,13.841155,5.230269,0.6363883460166277,157,3004,6.363883460166276,0.3328482444641113
2020-06-26,31780,1.007533,4412,1673,25695,13.882945,5.264317,0.6318946958822854,158,3006,6.318946958822854,0.3326494103873705
2020-06-25,31463,1.040496,4392,1669,25402,13.959254,5.304644,0.6255916556496018,160,3013,6.255916556496018,0.3318540740804073
2020-06-24,31139,0.848528,4370,1667,25102,14.033848,5.353415,0.6191494315631997,162,3017,6.191494315631997,0.33145640592692566
2020-06-23,30877,0.612597,4342,1665,24870,14.062247,5.392363,0.6139399787525905,163,3021,6.139399787525905,0.3310587377734441
2020-06-22,30689,0.540558,4328,1651,24710,14.102773,5.379778,0.6102018981098634,164,3046,6.102018981098634,0.32827506069907275
2020-06-21,30524,0.629677,4309,1647,24568,14.116761,5.395754,0.60692113584364,165,3054,6.0692113584364,0.32747972439210954
2020-06-20,30333,0.533607,4296,1647,24390,14.162793,5.42973,0.6031234049778906,166,3054,6.031234049778906,0.32747972439210954
2020-06-19,30172,0.95697,4280,1643,24249,14.185337,5.445446,0.5999221763423637,167,3061,5.999221763423636,0.32668438808514627
2020-06-18,29886,0.77556,4253,1638,23995,14.230743,5.480827,0.5942355217475765,168,3070,5.9423552174757654,0.32569021770144224
2020-06-17,29656,0.778197,4231,1631,23794,14.266927,5.49973,0.589662337982538,170,3084,5.896623379825379,0.3242983791642566
2020-06-16,29427,0.488321,4196,1617,23614,14.259014,5.494954,0.5851090376251735,171,3110,5.851090376251735,0.3215147020898853
2020-06-15,29284,0.580457,4196,1605,23483,14.328644,5.480809,0.58226571032778,172,3134,5.822657103277799,0.3191286931689956
2020-06-14,29115,0.389628,4178,1598,23339,14.349991,5.48858,0.5789054144308603,173,3147,5.7890541443086025,0.31773685463180995
2020-06-13,29002,0.676919,4184,1597,23221,14.426591,5.506517,0.5766585893636892,173,3149,5.766585893636892,0.31753802055506913
