"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-01,29252,0.92813,20941,788,7523,71.588267,2.693833,4.861017636394153,21,764,48.61017636394152,1.3094769237927635
2020-12-31,28983,0.782391,20770,786,7427,71.662699,2.711935,4.816315949528638,21,766,48.16315949528638,1.3061533783009038
2020-12-30,28758,0.781496,20587,780,7391,71.587037,2.712289,4.7789260627452155,21,771,47.78926062745215,1.2961827418253242
2020-12-29,28535,0.680968,20316,775,7444,71.196776,2.715963,4.7418685305109785,21,776,47.41868530510978,1.2878738780956749
2020-12-28,28342,0.496419,20143,771,7428,71.071202,2.720344,4.709796316514532,21,781,47.09796316514531,1.2812267871119551
2020-12-27,28202,1.775532,20040,768,7394,71.05879,2.723211,4.6865314980715125,21,784,46.86531498071513,1.2762414688741655
2020-12-26,27710,0.998688,19883,762,7065,71.753879,2.74991,4.604772278971762,22,790,46.04772278971761,1.266270832398586
2020-12-25,27436,0,19740,756,6940,71.949264,2.755504,4.559239705733282,22,796,45.59239705733282,1.2563001959230067
2020-12-24,27436,0.771322,19740,756,6940,71.949264,2.755504,4.559239705733282,22,796,45.59239705733282,1.2563001959230067
2020-12-23,27226,1.211896,19514,751,6961,71.674135,2.758393,4.524342478068754,22,801,45.24342478068754,1.2479913321933571
2020-12-22,26900,0.598355,19275,744,6881,71.654275,2.765799,4.470168686551439,22,809,44.70168686551439,1.236358922971848
2020-12-21,26740,0.522537,19067,742,6931,71.305161,2.774869,4.443580322616561,23,811,44.4358032261656,1.233035377479988
2020-12-20,26601,0.983221,18989,737,6875,71.384534,2.770573,4.420481681448135,23,817,44.20481681448135,1.2247265137503385
2020-12-19,26342,0.911738,18893,730,6719,71.721965,2.77124,4.377441767328551,23,824,43.774417673285505,1.2130941045288293
2020-12-18,26104,1.060782,18743,728,6633,71.801257,2.788845,4.337891575975419,23,827,43.378915759754186,1.2097705590369694
2020-12-17,25830,0.890555,18582,725,6523,71.939605,2.806814,4.29235900273694,23,830,42.92359002736939,1.2047852407991797
2020-12-16,25602,1.037926,18392,720,6490,71.838138,2.81228,4.254470584129738,24,836,42.54470584129738,1.1964763770695301
2020-12-15,25339,1.202173,18137,720,6482,71.57741,2.84147,4.210765960911782,24,836,42.10765960911781,1.1964763770695301
2020-12-14,25038,0.659323,17914,716,6408,71.547248,2.859653,4.160746601259292,24,840,41.60746601259291,1.1898292860858106
2020-12-13,24874,0.937386,17745,715,6414,71.339551,2.874487,4.133493528226041,24,842,41.3349352822604,1.1881675133398806
2020-12-12,24643,1.1742,17618,713,6312,71.492919,2.893317,4.09510657779506,24,844,40.951065777950596,1.1848439678480207
2020-12-11,24357,1.074778,17493,709,6155,71.81919,2.910868,4.047579877261465,25,849,40.475798772614645,1.1781968768643012
2020-12-10,24098,1.022889,17291,708,6099,71.752843,2.938003,4.00453996314188,25,850,40.0453996314188,1.1765351041183714
2020-12-09,23854,1.123405,17081,704,6069,71.606439,2.951287,3.9639927081411908,25,855,39.639927081411905,1.1698880131346516
2020-12-08,23589,1.157854,16884,701,6004,71.575734,2.971724,3.919955730374048,26,858,39.199557303740484,1.164902694896862
2020-12-07,23319,0.790975,16733,701,5885,71.756936,3.006132,3.875087866233941,26,858,38.75087866233941,1.164902694896862
2020-12-06,23136,1.15425,16665,697,5774,72.030602,3.012621,3.844677424983424,26,863,38.446774249834235,1.1582556039131424
2020-12-05,22872,1.743772,16596,695,5581,72.560336,3.03865,3.8008066244908743,26,866,38.00806624490874,1.1549320584212825
2020-12-04,22480,1.425735,16374,693,5413,72.838078,3.08274,3.7356651328504222,27,868,37.35665132850422,1.1516085129294227
2020-12-03,22164,1.474224,16268,692,5204,73.398304,3.12218,3.6831531140790372,27,870,36.83153114079037,1.1499467401834929
2020-12-02,21842,0.724003,16070,690,5082,73.573849,3.159051,3.6296440316600944,28,872,36.29644031660094,1.146623194691633
2020-12-01,21685,0.617112,15914,685,5086,73.387134,3.158866,3.603554199548995,28,878,36.03554199548994,1.1383143309619834
2020-11-30,21552,0.484894,15746,680,5126,73.060505,3.15516,3.5814526220281273,28,885,35.814526220281266,1.130005467232334
2020-11-29,21448,0.65703,15671,680,5097,73.065088,3.170459,3.564170185470456,28,885,35.64170185470456,1.130005467232334
2020-11-28,21308,1.771983,15603,678,5027,73.226018,3.181904,3.5409053670274377,28,888,35.409053670274375,1.1266819217404742
2020-11-27,20937,0.969329,15476,677,4784,73.916989,3.23351,3.4792535981534383,29,889,34.79253598153438,1.1250201489945444
2020-11-26,20736,1.072334,15401,677,4658,74.271798,3.264853,3.445851965960247,29,889,34.458519659602466,1.1250201489945444
2020-11-25,20516,0.524279,15281,677,4558,74.48333,3.299864,3.4092929655497892,29,889,34.09292965549789,1.1250201489945444
2020-11-24,20409,0.586496,15085,673,4651,73.91347,3.297565,3.3915119971683394,29,894,33.91511997168339,1.1183730580108246
2020-11-23,20290,0.689792,14935,672,4683,73.607689,3.311976,3.3717369014917735,30,895,33.71736901491773,1.1167112852648948
2020-11-22,20151,0.951856,14882,670,4599,73.852414,3.324897,3.3486382603233475,30,898,33.48638260323347,1.113387739773035
2020-11-21,19961,0.772415,14821,670,4470,74.249787,3.356545,3.3170645781506796,30,898,33.17064578150679,1.113387739773035
2020-11-20,19808,0.660636,14699,669,4440,74.207391,3.377423,3.291639455137952,30,900,32.91639455137952,1.1117259670271051
2020-11-19,19678,1.094272,14589,667,4422,74.138632,3.389572,3.270036409440863,31,902,32.70036409440863,1.1084024215352453
2020-11-18,19465,0.807913,14477,665,4323,74.374518,3.416388,3.2346406499525564,31,905,32.346406499525564,1.1050788760433854
2020-11-17,19309,1.285145,14336,660,4313,74.245171,3.418095,3.20871699511605,31,912,32.0871699511605,1.096770012313736
2020-11-16,19064,0.45845,14271,660,4133,74.858372,3.462023,3.1680035628407675,32,912,31.68003562840767,1.096770012313736
2020-11-15,18977,0.866376,14182,660,4135,74.732571,3.477894,3.1535461399511773,32,912,31.535461399511767,1.096770012313736
2020-11-14,18814,0.792885,14160,658,3996,75.263102,3.497396,3.1264592441925196,32,915,31.264592441925195,1.0934464668218762
2020-11-13,18666,0.859134,14160,657,3849,75.859852,3.519769,3.101865007552757,32,916,31.018650075527567,1.0917846940759461
2020-11-12,18507,0.696447,14103,657,3747,76.203599,3.550008,3.0754428208924716,33,916,30.754428208924715,1.0917846940759461
2020-11-11,18379,1.13355,14036,657,3686,76.36977,3.574732,3.0541721297445688,33,916,30.541721297445687,1.0917846940759461
2020-11-10,18173,0.47548,13977,657,3539,76.910802,3.615253,3.0199396111784127,33,916,30.199396111784125,1.0917846940759461
2020-11-09,18087,0.477751,13919,655,3513,76.955825,3.621386,3.005648365563416,33,919,30.056483655634153,1.0884611485840865
2020-11-08,18001,0.614834,13843,654,3504,76.901283,3.633131,2.9913571199484186,33,920,29.913571199484185,1.0867993758381564
2020-11-07,17891,0.55643,13811,654,3426,77.195238,3.655469,2.9730776197431896,34,920,29.730776197431894,1.0867993758381564
2020-11-06,17792,0.622102,13738,652,3402,77.214478,3.664568,2.9566260695584834,34,923,29.566260695584834,1.0834758303462968
2020-11-05,17682,0.460201,13653,650,3379,77.214116,3.676055,2.9383465693532544,34,926,29.383465693532543,1.080152284854437
2020-11-04,17601,0.439397,13601,647,3353,77.274019,3.675928,2.9248862101112225,34,930,29.248862101112223,1.0751669666166472
2020-11-03,17524,0.493176,13517,647,3360,77.134216,3.692079,2.912090559967562,34,930,29.12090559967562,1.0751669666166472
2020-11-02,17438,0.397259,13443,647,3348,77.090263,3.710288,2.897799314352565,35,930,28.977993143525648,1.0751669666166472
2020-11-01,17369,0.596548,13349,646,3374,76.855317,3.71927,2.8863330824056486,35,932,28.863330824056483,1.0735051938707174
2020-10-31,17266,0.711619,13348,646,3272,77.308004,3.741457,2.8692168231225708,35,932,28.692168231225704,1.0735051938707174
2020-10-30,17144,0.40998,13348,646,3150,77.858143,3.768082,2.8489431956222258,35,932,28.489431956222255,1.0735051938707174
2020-10-29,17074,0.595063,13325,645,3104,78.042638,3.777674,2.8373107864007165,35,933,28.373107864007164,1.0718434211247874
2020-10-28,16973,0.396309,13276,644,3053,78.218347,3.794261,2.8205268816668245,35,934,28.205268816668244,1.0701816483788575
2020-10-27,16906,0.559124,13215,644,3047,78.167514,3.809298,2.809393004269094,36,934,28.09393004269094,1.0701816483788575
2020-10-26,16812,0.268384,13179,642,2991,78.390435,3.818701,2.793772340457353,36,937,27.93772340457353,1.0668581028869977
2020-10-25,16767,0.365138,13104,642,3021,78.153516,3.82895,2.7862943631006685,36,937,27.862943631006683,1.0668581028869977
2020-10-24,16706,0.584021,13068,642,2996,78.223393,3.842931,2.776157549350496,36,937,27.76157549350496,1.0668581028869977
2020-10-23,16609,0.435387,13028,642,2939,78.4394,3.865374,2.760038353714976,36,937,27.600383537149757,1.0668581028869977
2020-10-22,16537,0.236392,12979,642,2916,78.48461,3.882204,2.7480735899442807,36,937,27.480735899442806,1.0668581028869977
2020-10-21,16498,0.322286,12938,642,2918,78.421627,3.891381,2.7415926762351543,36,937,27.41592676235154,1.0668581028869977
2020-10-20,16445,0.304971,12884,642,2919,78.346002,3.903922,2.7327852806817257,37,937,27.327852806817255,1.0668581028869977
2020-10-19,16395,0.152718,12824,641,2930,78.218969,3.909729,2.724476416952076,37,939,27.24476416952076,1.0651963301410678
2020-10-18,16370,0.220399,12801,641,2928,78.197923,3.915699,2.7203219850872515,37,939,27.20321985087251,1.0651963301410678
2020-10-17,16334,0.486004,12793,641,2900,78.321293,3.92433,2.714339603201904,37,939,27.143396032019034,1.0651963301410678
2020-10-16,16255,0.550538,12731,641,2883,78.320517,3.943402,2.7012115985090577,37,939,27.012115985090574,1.0651963301410678
2020-10-15,16166,0.210761,12681,638,2847,78.44241,3.946554,2.6864218210702813,37,943,26.864218210702813,1.0602110119032782
2020-10-14,16132,0.398307,12627,638,2867,78.272998,3.954872,2.68077179373412,37,943,26.807717937341195,1.0602110119032782
2020-10-13,16068,0.287105,12583,637,2848,78.310929,3.964401,2.6701364481601684,37,945,26.70136448160168,1.058549239157348
2020-10-12,16022,0.237738,12539,637,2846,78.261141,3.975783,2.662492293528891,38,945,26.624922935288904,1.058549239157348
2020-10-11,15984,0.414625,12531,637,2816,78.397147,3.985235,2.6561775570943573,38,945,26.56177557094357,1.058549239157348
2020-10-10,15918,0.473395,12492,636,2790,78.477196,3.995477,2.6452098569712197,38,946,26.452098569712195,1.0568874664114183
2020-10-09,15843,0.494767,12456,634,2753,78.621473,4.001767,2.6327465613767456,38,949,26.32746561376745,1.0535639209195584
2020-10-08,15765,0.721952,12431,634,2700,78.851887,4.021567,2.6197847339584923,38,949,26.19784733958492,1.0535639209195584
2020-10-07,15652,0,12350,631,2671,78.903654,4.031434,2.6010067019294842,38,954,26.01006701929484,1.0485786026817687
2020-10-06,15652,0.675371,12350,631,2671,78.903654,4.031434,2.6010067019294842,38,954,26.01006701929484,1.0485786026817687
2020-10-05,15547,0.180424,12306,631,2610,79.153534,4.058661,2.58355808809722,39,954,25.835580880972202,1.0485786026817687
2020-10-04,15519,0.297292,12299,631,2589,79.25124,4.065984,2.5789051244086165,39,954,25.789051244086163,1.0485786026817687
2020-10-03,15473,0.324191,12252,629,2592,79.183093,4.065146,2.571260969777339,39,957,25.712609697773388,1.0452550571899089
2020-10-02,15423,0.423232,12252,629,2542,79.439798,4.078325,2.5629521060476894,39,957,25.629521060476893,1.0452550571899089
2020-10-01,15358,0.208796,12202,628,2528,79.450449,4.089074,2.552150583199145,39,958,25.52150583199145,1.043593284443979
2020-09-30,15326,0.169935,12155,627,2544,79.30967,4.091087,2.5468329104121694,39,960,25.468329104121693,1.0419315116980492
2020-09-29,15300,0.235849,12115,626,2559,79.183007,4.091503,2.542512301272752,39,961,25.425123012727514,1.0402697389521192
2020-09-28,15264,0.091803,12053,624,2587,78.963574,4.08805,2.5365299193874042,39,964,25.365299193874037,1.0369461934602595
2020-09-27,15250,0.230036,12037,624,2589,78.931148,4.091803,2.5342034375431024,39,964,25.34203437543102,1.0369461934602595
2020-09-26,15215,0.34294,12029,624,2562,79.060138,4.101216,2.5283872329323476,40,964,25.283872329323472,1.0369461934602595
2020-09-25,15163,0.377334,11990,623,2550,79.074062,4.108686,2.5197460146535122,40,966,25.197460146535118,1.0352844207143295
2020-09-24,15106,0.372093,11956,621,2529,79.147359,4.110949,2.5102739100017115,40,969,25.102739100017114,1.0319608752224698
2020-09-23,15050,0.193063,11929,621,2500,79.262458,4.126246,2.500967982624504,40,969,25.00967982624504,1.0319608752224698
2020-09-22,15021,0.287088,11886,621,2514,79.129219,4.134212,2.4961488416613076,40,969,24.961488416613072,1.0319608752224698
2020-09-21,14978,0.153795,11856,621,2501,79.156096,4.146081,2.4890032188538087,40,969,24.890032188538086,1.0319608752224698
2020-09-20,14955,0.355657,11829,620,2506,79.097292,4.145771,2.48518114153817,40,971,24.8518114153817,1.0302991024765398
2020-09-19,14902,0.336655,11823,619,2460,79.338344,4.153805,2.4763737459847417,40,972,24.763737459847412,1.02863732973061
2020-09-18,14852,0.419202,11802,619,2431,79.464045,4.167789,2.468064882255092,41,972,24.680648822550918,1.02863732973061
2020-09-17,14790,0.318795,11763,619,2408,79.533469,4.18526,2.4577618912303265,41,972,24.577618912303265,1.02863732973061
2020-09-16,14743,0.38129,11691,617,2435,79.29865,4.185037,2.449951559324456,41,975,24.49951559324456,1.02531378423875
2020-09-15,14687,0.444536,11630,616,2441,79.185674,4.194185,2.4406456319472487,41,977,24.406456319472486,1.0236520114928203
2020-09-14,14622,0.205592,11592,616,2414,79.277801,4.21283,2.4298441090987044,41,977,24.29844109098704,1.0236520114928203
2020-09-13,14592,0.683088,11574,616,2402,79.317434,4.221491,2.4248587908609145,41,977,24.248587908609142,1.0236520114928203
2020-09-12,14493,0,11561,616,2316,79.769544,4.250328,2.4084072406762087,42,977,24.084072406762083,1.0236520114928203
2020-09-11,14493,0.562032,11526,616,2351,79.528048,4.250328,2.4084072406762087,42,977,24.084072406762083,1.0236520114928203
2020-09-10,14412,0.173768,11498,616,2298,79.780738,4.274216,2.3949468814341763,42,977,23.94946881434176,1.0236520114928203
2020-09-09,14387,0.17407,11452,615,2320,79.599639,4.274692,2.3907924495693518,42,978,23.907924495693514,1.0219902387468902
2020-09-08,14362,0.328327,11414,611,2337,79.473611,4.254282,2.3866380177045268,42,985,23.866380177045265,1.0153431477631707
2020-09-07,14315,0.252118,11366,611,2338,79.399232,4.26825,2.3788276857986563,42,985,23.78827685798656,1.0153431477631707
2020-09-06,14279,0.287962,11355,611,2313,79.522376,4.279011,2.3728453039133086,42,985,23.728453039133083,1.0153431477631707
2020-09-05,14238,0.366559,11323,611,2304,79.526619,4.291333,2.366032035654996,42,985,23.66032035654996,1.0153431477631707
2020-09-04,14186,0.360807,11297,611,2278,79.634851,4.307063,2.3573908173761606,42,985,23.573908173761602,1.0153431477631707
2020-09-03,14135,0.41202,11254,609,2272,79.61797,4.308454,2.348915776371918,43,988,23.489157763719177,1.0120196022713108
2020-09-02,14077,0.199302,11211,608,2258,79.640548,4.319102,2.3392774944455246,43,990,23.392774944455244,1.010357829525381
2020-09-01,14049,0.407376,11150,607,2292,79.365079,4.320592,2.334624530756921,43,991,23.346245307569205,1.0086960567794512
2020-08-31,13992,0.236407,11105,607,2280,79.366781,4.338193,2.3251524261051206,43,991,23.251524261051202,1.0086960567794512
2020-08-30,13959,0.244165,11087,606,2266,79.42546,4.341285,2.3196685760435516,43,993,23.196685760435514,1.0070342840335211
2020-08-29,13925,0.534257,11046,605,2274,79.324955,4.344704,2.31401854870739,43,995,23.1401854870739,1.0053725112875913
2020-08-28,13851,0.413223,11010,605,2236,79.488846,4.367916,2.301721430387509,43,995,23.017214303875086,1.0053725112875913
2020-08-27,13794,0.803859,10986,605,2203,79.643323,4.385965,2.292249325735708,44,995,22.922493257357083,1.0053725112875913
