"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,90614,0.257798,0,1511,89103,0,1.667513,10.091353847764376,10,594,100.91353847764375,1.6827461169324796
2021-03-14,90381,0.249567,0,1507,88874,0,1.667386,10.065405479449003,10,596,100.65405479449004,1.6782914614276947
2021-03-13,90156,0.272492,0,1504,88652,0,1.66822,10.040348042234589,10,597,100.4034804223459,1.6749504697991062
2021-03-12,89911,0.257583,0,1496,88415,0,1.663868,10.013063277267781,10,600,100.13063277267781,1.6660411587895365
2021-03-11,89680,0.887604,0,1494,88186,0,1.665923,9.987337641727649,10,601,99.87337641727649,1.663813831037144
2021-03-10,88891,0.239064,0,1492,87399,0,1.67846,9.899469561895767,10,602,98.99469561895768,1.6615865032847517
2021-03-09,88679,0.13098,0,1482,87197,0,1.671196,9.875859887720408,10,606,98.75859887720408,1.6504498645227894
2021-03-08,88563,0.236548,0,1475,87088,0,1.665481,9.862941386756532,10,609,98.62941386756532,1.6426542173894159
2021-03-07,88354,0.243933,0,1473,86881,0,1.667157,9.83966581174403,10,610,98.39665811744031,1.6404268896370235
2021-03-06,88139,0.301568,0,1464,86675,0,1.661013,9.815722038405813,10,613,98.15722038405812,1.6304039147512577
2021-03-05,87874,0.263569,0,1453,86421,0,1.653504,9.786209945686613,10,618,97.86209945686613,1.6181536121130993
2021-03-04,87643,0.249357,0,1444,86199,0,1.647593,9.76048431014648,10,622,97.6048431014648,1.6081306372273334
2021-03-03,87425,0.266076,0,1440,85985,0,1.647126,9.736206437645404,10,624,97.36206437645403,1.6036759817225485
2021-03-02,87193,0.129766,0,1426,85767,0,1.635452,9.71036943571765,10,630,97.10369435717651,1.5880846874558014
2021-03-01,87080,0.323736,0,1422,85658,0,1.632981,9.697785033916633,10,631,96.97785033916634,1.5836300319510166
2021-02-28,86799,0.325948,0,1422,85377,0,1.638268,9.66649107899552,10,631,96.6649107899552,1.5836300319510166
2021-02-27,86517,0.486655,0,1418,85099,0,1.638984,9.635085757686786,10,633,96.35085757686787,1.5791753764462317
2021-02-26,86098,0.34615,0,1418,84680,0,1.64696,9.588423241274166,10,633,95.88423241274165,1.5791753764462317
2021-02-25,85801,0.345005,0,1406,84395,0,1.638676,9.555347424151137,10,639,95.55347424151138,1.5658114099318772
2021-02-24,85506,0.326184,0,1402,84104,0,1.639651,9.52249433980335,11,640,95.22494339803349,1.5613567544270923
2021-02-23,85228,0.162181,0,1379,83849,0,1.618013,9.491534484045095,11,651,94.91534484045094,1.5357424852745793
2021-02-22,85090,0.422509,0,1368,83722,0,1.607709,9.476165922553587,11,656,94.76165922553587,1.523492182636421
2021-02-21,84732,0.237783,0,1367,83365,0,1.613322,9.436296755785762,11,657,94.36296755785762,1.5223785187602248
2021-02-20,84531,0.415771,0,1366,83165,0,1.615975,9.413912111874218,11,657,94.13912111874218,1.5212648548840286
2021-02-19,84181,0.392358,0,1366,82815,0,1.622694,9.37493387620735,11,657,93.7493387620735,1.5212648548840286
2021-02-18,83852,0.324236,0,1366,82486,0,1.629061,9.338294334680496,11,657,93.38294334680495,1.5212648548840286
2021-02-17,83581,0.254291,0,1365,82216,0,1.633146,9.308114043635578,11,658,93.08114043635578,1.5201511910078325
2021-02-16,83369,0.156177,0,1364,82005,0,1.6361,9.284504369460219,11,658,92.84504369460218,1.519037527131636
2021-02-15,83239,0.284327,0,1364,81875,0,1.638655,9.270026739069667,11,658,92.70026739069668,1.519037527131636
2021-02-14,83003,0.400377,0,1361,81642,0,1.6397,9.243744271591437,11,660,92.43744271591437,1.5156965355030476
2021-02-13,82672,0.497186,0,1356,81316,0,1.640217,9.206881997289342,11,662,92.06881997289342,1.5101282161220664
2021-02-12,82263,0.473893,0,1352,80911,0,1.643509,9.161333144752916,11,664,91.61333144752916,1.5056735606172815
2021-02-11,81875,0.508219,0,1350,80525,0,1.648855,9.118122986356504,11,665,91.18122986356504,1.5034462328648892
2021-02-10,81461,0.309075,0,1346,80115,0,1.652324,9.072017301881981,11,667,90.7201730188198,1.4989915773601044
2021-02-09,81210,0.344738,0,1343,79867,0,1.653737,9.044064338589456,11,669,90.44064338589456,1.4956505857315157
2021-02-08,80931,0.418145,0,1339,79592,0,1.654496,9.012993116443582,11,671,90.12993116443582,1.4911959302267308
2021-02-07,80594,0.954504,0,1335,79259,0,1.656451,8.975462643815769,11,673,89.75462643815769,1.486741274721946
2021-02-06,79832,0.35954,0,1329,78503,0,1.664746,8.890601456449618,11,676,88.90601456449618,1.4800592914647686
2021-02-05,79546,0.405175,0,1325,78221,0,1.665703,8.858750669590405,11,678,88.58750669590405,1.4756046359599837
2021-02-04,79225,0.307665,0,1321,77904,0,1.667403,8.823002059164507,11,680,88.23002059164507,1.4711499804551988
2021-02-03,78982,0.363424,0,1318,77664,0,1.668735,8.79594002697294,11,681,87.95940026972939,1.4678089888266104
2021-02-02,78696,0.256067,0,1316,77380,0,1.672258,8.764089240113726,11,682,87.64089240113728,1.4655816610742178
2021-02-01,78495,0.543095,0,1308,77187,0,1.666348,8.741704596202183,11,686,87.41704596202183,1.4566723500646481
2021-01-31,78071,0.670526,0,1305,76766,0,1.671555,8.694485247851464,12,688,86.94485247851463,1.4533313584360594
2021-01-30,77551,0.800676,0,1301,76250,0,1.677606,8.636574726289261,12,690,86.36574726289261,1.4488767029312746
2021-01-29,76935,0.575201,0,1299,75636,0,1.688438,8.567973031515574,12,691,85.67973031515574,1.4466493751788823
2021-01-28,76495,0.874301,0,1292,75203,0,1.688999,8.51897182096294,12,695,85.1897182096294,1.4388537280455087
2021-01-27,75832,0.45304,0,1283,74549,0,1.691898,8.445135905971132,12,700,84.45135905971131,1.4288307531597428
2021-01-26,75490,0.397654,0,1276,74214,0,1.69029,8.40704860140522,12,704,84.07048601405221,1.4210351060263693
2021-01-25,75191,0.826014,0,1271,73920,0,1.690362,8.373750051506955,12,706,83.73750051506954,1.4154667866453883
2021-01-24,74575,0.892918,0,1267,73308,0,1.698961,8.305148356733268,12,709,83.05148356733267,1.4110121311406034
2021-01-23,73915,0.931274,0,1254,72661,0,1.696543,8.231646540904316,12,716,82.31646540904318,1.3965345007500527
2021-01-22,73233,0.979,0,1252,71981,0,1.709612,8.155694664547736,12,717,81.55694664547735,1.3943071729976602
2021-01-21,72523,1.042146,0,1241,71282,0,1.711181,8.076624529337805,12,724,80.76624529337805,1.3820568703595018
2021-01-20,71775,0.650671,18851,1228,51696,26.26402,1.710902,7.9933224713983275,13,731,79.93322471398328,1.367579239968951
2021-01-19,71311,0.565506,18851,1219,51241,26.434912,1.709414,7.941648467542823,13,737,79.41648467542824,1.3575562650831852
2021-01-18,70910,0.876319,18851,1210,50849,26.584403,1.706388,7.896990546107355,13,742,78.96990546107355,1.347533290197419
2021-01-17,70294,1.329066,18851,1200,50243,26.817367,1.707116,7.828388851333668,13,748,78.28388851333668,1.336396651435457
2021-01-16,69372,0.938496,18851,1188,49333,27.173788,1.712506,7.725709041948377,13,756,77.25709041948377,1.3230326849211025
2021-01-15,68727,0.9726,18851,1182,48694,27.428813,1.719848,7.653877721933721,13,760,76.53877721933722,1.316350701663925
2021-01-14,68065,1.327914,18851,1178,48036,27.695585,1.730699,7.580153173329532,13,762,75.80153173329532,1.3118960461591402
2021-01-13,67173,1.094122,18851,1166,47156,28.063359,1.735816,7.4808143555728295,13,770,74.8081435557283,1.2985320796447857
2021-01-12,66446,0.940344,18851,1157,46438,28.370406,1.741264,7.399850991773365,14,776,73.99850991773364,1.2885091047590198
2021-01-11,65827,0.848743,18851,1146,45830,28.637185,1.740927,7.330915197836819,14,784,73.30915197836819,1.2762588021208614
2021-01-10,65273,1.237689,18851,1137,45285,28.880241,1.741915,7.269218219095549,14,790,72.69218219095549,1.2662358272350955
2021-01-09,64475,1.530636,18851,1128,44496,29.237689,1.749515,7.180347841775091,14,796,71.80347841775091,1.2562128523493297
2021-01-08,63503,0.880078,18851,1116,43536,29.685212,1.757397,7.072099713008819,14,805,70.7209971300882,1.242848885834975
2021-01-07,62949,1.976381,18851,1112,42986,29.946465,1.766509,7.010402734267549,14,807,70.1040273426755,1.2383942303301902
