"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,34728,3.081033,0,1314,33414,0,3.78369,0.1846785705853111,541,14311,1.8467857058531112,0.06987665334862324
2020-04-30,33690,1.497304,0,1268,32422,0,3.763728,0.17915863404224633,558,14830,1.7915863404224635,0.0674304386956273
2020-04-29,33193,1.050292,0,1218,31975,0,3.669448,0.17651565864542246,567,15439,1.7651565864542247,0.06477150972497954
2020-04-28,32848,2.209223,0,1171,31677,0,3.564905,0.17468099765567552,572,16059,1.7468099765567553,0.06227211649257064
2020-04-27,32138,1.921857,0,1088,31050,0,3.3854,0.1709053185173557,585,17284,1.7090531851735569,0.05785829440129535
2020-04-26,31532,2.247155,0,1075,30457,0,3.409235,0.1676826966049306,596,17493,1.676826966049306,0.057166972868926934
2020-04-25,30839,1.002194,0,1055,29784,0,3.420993,0.1639974210516128,610,17824,1.6399742105161281,0.056103401280667826
2020-04-24,30533,2.985024,0,1046,29487,0,3.425802,0.16237015652157635,616,17978,1.6237015652157638,0.05562479406595123
2020-04-23,29648,4.729945,0,987,28661,0,3.329061,0.15766385224352983,634,19052,1.5766385224352983,0.05248725788058686
2020-04-22,28309,1.578815,0,893,27416,0,3.154474,0.1505432404601351,664,21058,1.5054324046013512,0.04748847141576907
2020-04-21,27869,2.993459,0,867,27002,0,3.110984,0.14820338296596508,675,21689,1.482033829659651,0.04610582835103223
2020-04-20,27059,2.831193,0,822,26237,0,3.037806,0.1438959180335157,695,22877,1.4389591803351571,0.043712792277449244
2020-04-19,26314,3.224541,0,774,25540,0,2.9414,0.13993411386725052,715,24295,1.3993411386725054,0.04116022046562739
2020-04-18,25492,2.96054,0,748,24744,0,2.934254,0.1355628346395056,738,25140,1.355628346395056,0.03977757740089055
2020-04-17,24759,6.066058,0,725,24034,0,2.928228,0.131664844768536,760,25937,1.31664844768536,0.03855447007439258
2020-04-16,23343,3.695971,0,668,22675,0,2.861672,0.1241347579236615,806,28151,1.2413475792366153,0.03552329104785413
2020-04-15,22511,4.082671,0,596,21915,0,2.647595,0.11971030011650363,835,31551,1.1971030011650363,0.03169443333012135
2020-04-14,21628,2.897379,0,571,21057,0,2.640096,0.11501463155433968,869,32933,1.1501463155433969,0.030364968844797467
2020-04-13,21019,5.649661,0,499,20520,0,2.374043,0.1117760560680907,895,37684,1.1177605606809071,0.026536111127064686
2020-04-12,19895,7.57543,0,461,19434,0,2.317165,0.10579878374207453,945,40791,1.0579878374207454,0.024515325109372387
2020-04-11,18494,5.493126,0,438,18056,0,2.368336,0.09834846476631949,1017,42933,0.983484647663195,0.023292217782874415
2020-04-10,17531,7.131508,0,390,17141,0,2.224631,0.0932273675688519,1073,48217,0.932273675688519,0.020739645971052562
2020-04-09,16364,5.874741,0,354,16010,0,2.163285,0.08702142735136002,1149,53120,0.8702142735136003,0.018825217112186172
2020-04-08,15456,6.263321,0,309,15147,0,1.999224,0.08219281234066368,1217,60856,0.8219281234066369,0.016432181038603184
2020-04-07,14545,9.163915,0,283,14262,0,1.945686,0.07734824375614345,1293,66447,0.7734824375614346,0.015049537973866345
2020-04-06,13324,7.88664,0,236,13088,0,1.77124,0.07085513920982162,1411,79680,0.7085513920982162,0.012550144741457447
2020-04-05,12350,7.046893,0,221,12129,0,1.789474,0.06567554557499977,1523,85089,0.6567554557499977,0.011752466050263118
2020-04-04,11537,12.358785,0,195,11342,0,1.690214,0.06135212706872651,1630,96434,0.6135212706872651,0.010369822985526281
2020-04-03,10268,13.987567,0,170,10098,0,1.655629,0.05460376534122248,1831,110615,0.5460376534122249,0.009040358500202399
2020-04-02,9008,29.499712,0,164,8844,0,1.820604,0.04790326433519012,2088,114662,0.4790326433519012,0.008721287023724668
2020-04-01,6956,3.189438,0,87,6869,0,1.250719,0.036991019839651695,2703,216144,0.36991019839651695,0.00462653640892711
2020-03-31,6741,23.168281,0,85,6656,0,1.260941,0.03584768038227316,2790,221230,0.35847680382273156,0.004520179250101199
2020-03-30,5473,28.897786,0,63,5410,0,1.151105,0.029104636512710426,3436,298485,0.2910463651271043,0.003350250503016183
2020-03-29,4246,12.835504,0,56,4190,0,1.318888,0.02257962481874081,4429,335796,0.22579624818740815,0.002978000447125496
2020-03-28,3763,29.758621,0,54,3709,0,1.435025,0.02001109943309507,4997,348233,0.20011099433095073,0.0028716432882995853
2020-03-27,2900,23.03776,0,35,2865,0,1.206897,0.01542178802975703,6484,537273,0.15421788029757033,0.001861250279453435
2020-03-26,2357,40.130797,0,29,2328,0,1.230378,0.01253419116763356,7978,648433,0.1253419116763356,0.0015421788029757032
2020-03-25,1682,19.121813,0,23,1659,0,1.36742,0.008944637057259078,11180,817590,0.08944637057259079,0.0012231073264979716
2020-03-24,1412,15.077425,0,18,1394,0,1.274788,0.007508815413109286,13318,1044698,0.07508815413109286,0.0009572144294331951
2020-03-23,1227,22.211155,0,18,1209,0,1.466993,0.0065250116939696125,15326,1044698,0.06525011693969614,0.0009572144294331951
2020-03-22,1004,52.352049,0,13,991,0,1.294821,0.0053391293730607105,18730,1446505,0.05339129373060711,0.0006913215323684187
2020-03-21,659,17.05151,0,13,646,0,1.972686,0.003504468383313753,28535,1446505,0.03504468383313753,0.0006913215323684187
2020-03-20,563,35.01199,0,10,553,0,1.776199,0.0029939540209493825,33401,1880456,0.029939540209493826,0.0005317857941295528
2020-03-19,417,32.802548,0,9,408,0,2.158273,0.0022175467615202353,45095,2089396,0.022175467615202355,0.00047860721471659756
2020-03-18,314,45.37037,0,7,307,0,2.229299,0.0016698073935667958,59887,2686366,0.01669807393566796,0.000372250055890687
2020-03-17,216,39.354839,0,6,210,0,2.777778,0.001148657315319834,87058,3134094,0.011486573153198341,0.0003190714764777317
2020-03-16,155,34.782609,0,5,150,0,3.225806,0.0008242679809008068,121320,3760913,0.00824267980900807,0.0002658928970647764
2020-03-15,115,51.315789,0,4,111,0,3.478261,0.0006115536632489857,163518,4701141,0.006115536632489858,0.00021271431765182113
2020-03-14,76,52,0,3,73,0,3.947368,0.0004041572035384601,247428,6268188,0.004041572035384602,0.00015953573823886585
2020-03-13,50,42.857143,0,2,48,0,4,0.0002658928970647764,376091,9402282,0.002658928970647764,0.00010635715882591057
2020-03-12,35,25,0,2,33,0,5.714286,0.00018612502794534348,537273,9402282,0.001861250279453435,0.00010635715882591057
2020-03-11,28,86.666667,0,2,26,0,7.142857,0.00014890002235627478,671592,9402282,0.001489000223562748,0.00010635715882591057
2020-03-10,15,,0,2,13,0,13.333333,7.976786911943293e-05,1253638,9402282,0.0007976786911943292,0.00010635715882591057

