"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-01,47902,1.782717,0,2094,45808,0,4.371425,0.49440953503808394,202,4627,4.94409535038084,0.21612741980914113
2020-05-31,47063,1.579936,0,2053,45010,0,4.362238,0.4857499884659794,206,4719,4.857499884659794,0.2118956985998886
2020-05-30,46331,0.980798,0,2004,44327,0,4.325398,0.4781948179167773,209,4835,4.781948179167774,0.20683827569126972
2020-05-29,45881,1.358636,0,1987,43894,0,4.330769,0.4735502458578416,211,4876,4.7355024585784165,0.20508365958011626
2020-05-28,45266,1.406873,0,1973,43293,0,4.35868,0.4672026640439628,214,4911,4.672026640439628,0.20363868160622514
2020-05-27,44638,1.489212,0,1933,42705,0,4.330391,0.46072090570393703,217,5012,4.607209057039371,0.19951017310939342
2020-05-26,43983,1.343318,0,1896,42087,0,4.310756,0.45396047304037507,220,5110,4.539604730403751,0.19569130274982405
2020-05-25,43400,1.160785,0,1848,41552,0,4.258065,0.44794317190624283,223,5243,4.479431719062428,0.19073709255362598
2020-05-24,42902,1.562426,0,1827,41075,0,4.258543,0.4428031788276873,226,5303,4.428031788276873,0.18856962559278934
2020-05-23,42242,1.83212,0,1822,40420,0,4.313243,0.43599113980791493,229,5318,4.3599113980791495,0.18805356203068535
2020-05-22,41482,2.014116,0,1808,39674,0,4.358517,0.42814697366393467,234,5359,4.281469736639347,0.18660858405679426
2020-05-21,40663,2.165775,0,1775,38888,0,4.365148,0.4196938525166717,238,5458,4.1969385251667175,0.1832025645469081
2020-05-20,39801,2.434693,0,1697,38104,0,4.263712,0.4107969167059993,243,5709,4.107969167059993,0.17515197297808618
2020-05-19,38855,1.494136,0,1675,37180,0,4.310899,0.40103299411099225,249,5784,4.010329941109923,0.17288129330482874
2020-05-18,38283,1.873387,0,1649,36634,0,4.307395,0.3951292269605229,253,5876,3.9512922696052293,0.1701977627818881
2020-05-17,37579,0.986241,0,1610,35969,0,4.284308,0.38786305200609905,258,6018,3.8786305200609905,0.16617246699747718
2020-05-16,37212,1.196563,0,1598,35614,0,4.294314,0.38407514546025595,260,6063,3.8407514546025596,0.16493391444842767
2020-05-15,36772,2.209745,0,1588,35184,0,4.318503,0.379533786113741,263,6101,3.7953378611374107,0.16390178732421973
2020-05-14,35977,1.552488,0,1545,34432,0,4.29441,0.37132837547628794,269,6271,3.71328375476288,0.1594636406901256
2020-05-13,35427,1.44027,0,1517,33910,0,4.282045,0.3656516762931443,273,6387,3.6565167629314437,0.1565736847423434
2020-05-12,34924,2.711605,0,1498,33426,0,4.289314,0.36046007685837844,277,6468,3.6046007685837846,0.15461264320634832
2020-05-11,34002,1.2567,0,1444,32558,0,4.246809,0.3509438647731813,285,6710,3.5094386477318134,0.1490391567356255
2020-05-10,33580,3.044065,0,1406,32174,0,4.187016,0.34658828830902383,289,6891,3.4658828830902384,0.14511707366363535
2020-05-09,32588,1.264721,0,1403,31185,0,4.305266,0.33634958723688113,297,6906,3.3634958723688113,0.14480743552637299
2020-05-08,32181,1.780631,0,1400,30781,0,4.350393,0.33214882984135485,301,6921,3.3214882984135485,0.1444977973891106
2020-05-07,31618,2.846176,0,1355,30263,0,4.285534,0.3263379541320642,306,7150,3.263379541320642,0.13985322533017489
2020-05-06,30743,2.483499,0,1327,29416,0,4.31643,0.31730684179524477,315,7301,3.173068417952448,0.13696326938239267
2020-05-05,29998,1.857322,0,1299,28699,0,4.330289,0.3096174947198957,323,7459,3.096174947198957,0.13407331343461049
2020-05-04,29451,2.74202,0,1246,28205,0,4.230756,0.30397175935047827,329,7776,3.039717593504783,0.12860303967630843
2020-05-03,28665,1.178921,0,1184,27481,0,4.130473,0.2958592401542039,338,8183,2.9585924015420395,0.12220385150621925
2020-05-02,28331,3.063043,0,1177,27154,0,4.15446,0.2924119355593494,342,8232,2.9241193555934943,0.12148136251927369
2020-05-01,27489,4.664179,0,1169,26320,0,4.25261,0.2837214251735186,352,8288,2.8372142517351864,0.12065566081990735
2020-04-30,26264,1.897187,0,1132,25132,0,4.310082,0.27107786790197147,369,8559,2.7107786790197146,0.116836790460338
2020-04-29,25775,3.422679,0,1101,24674,0,4.271581,0.26603076626459465,376,8800,2.660307662645947,0.1136371963752934
2020-04-28,24922,2.55123,0,1036,23886,0,4.15697,0.257226721895101,389,9352,2.5722672189510103,0.10692837006794184
2020-04-27,24302,3.47441,0,995,23307,0,4.094313,0.2508275337250118,399,9737,2.5082753372501183,0.10269664885868932
2020-04-26,23486,1.136853,0,916,22570,0,3.900196,0.24240537639147508,413,10577,2.424053763914751,0.09454284457744665
2020-04-25,23222,3.250189,0,907,22315,0,3.905779,0.23968056078356614,417,10682,2.3968056078356614,0.09361393016565951
2020-04-24,22491,2.778412,0,899,21592,0,3.997154,0.23213571150560616,431,10777,2.321357115056062,0.09278822846629316
2020-04-23,21883,3.153578,0,881,21002,0,4.025956,0.22586037859042193,443,10997,2.2586037859042194,0.09093039964271889
2020-04-22,21214,6.704894,0,848,20366,0,3.99736,0.21895544812947085,457,11425,2.1895544812947088,0.0875243801328327
2020-04-21,19881,2.442418,0,798,19083,0,4.013883,0.2051971935637791,487,12141,2.0519719356377912,0.08236374451179304
2020-04-20,19407,6.043386,0,775,18632,0,3.993404,0.2003049109950335,499,12502,2.0030491099503354,0.0799898521261148
2020-04-19,18301,3.576886,0,687,17614,0,3.753893,0.18888958500129377,529,14103,1.8888958500129378,0.07090713343308498
2020-04-18,17669,2.762592,0,673,16996,0,3.808931,0.18236654157629964,548,14396,1.8236654157629966,0.06946215545919388
2020-04-17,17194,9.732593,0,650,16544,0,3.780389,0.17746393773631194,563,14906,1.7746393773631197,0.06708826307351563
2020-04-16,15669,4.550611,0,587,15082,0,3.746251,0.16172399909214097,618,16506,1.61723999092141,0.06058586219100565
2020-04-15,14987,2.805597,0,552,14435,0,3.683192,0.15468489210504288,646,17552,1.5468489210504288,0.05697341725627789
2020-04-14,14578,9.485543,0,525,14053,0,3.601317,0.15046349216703245,665,18455,1.5046349216703245,0.054186674020916474
2020-04-13,13315,6.930614,0,465,12850,0,3.492302,0.13742772658828625,728,20836,1.3742772658828626,0.04799391127566888
2020-04-12,12452,2.409738,0,433,12019,0,3.477353,0.12852046950637178,778,22376,1.285204695063718,0.04469110447820349
2020-04-11,12159,5.868524,0,429,11730,0,3.528251,0.12549633703244253,797,22584,1.2549633703244254,0.044278253628520316
2020-04-10,11485,8.69771,0,416,11069,0,3.622116,0.11853980021528107,844,23290,1.1853980021528108,0.04293648836705
2020-04-09,10566,6.716493,0,379,10187,0,3.586977,0.10905455194381017,917,25564,1.0905455194381017,0.039117618007480655
2020-04-08,9901,12.230787,0,362,9539,0,3.656196,0.10219090656782742,979,26764,1.0219090656782743,0.037363001896327165
2020-04-07,8822,20.617993,0,329,8493,0,3.729313,0.09105425489762382,1098,29449,0.9105425489762383,0.03395698238644099
2020-04-06,7314,10.034602,0,229,7085,0,3.130982,0.0754897778645682,1325,42309,0.7548977786456821,0.023635711144361662
2020-04-05,6647,7.905844,0,211,6436,0,3.174364,0.06860548994610129,1458,45918,0.686054899461013,0.02177788232078738
2020-04-04,6160,5.642257,0,201,5959,0,3.262987,0.06357903085120865,1573,48203,0.6357903085120866,0.02074575519657945
2020-04-03,5831,9.031414,0,184,5647,0,3.155548,0.06018333261256456,1662,52656,0.6018333261256457,0.018991139085425962
2020-04-02,5348,15.308323,0,163,5185,0,3.047868,0.05519815860264024,1812,59440,0.5519815860264025,0.016823672124589305
2020-04-01,4638,18.045304,0,139,4499,0,2.996981,0.04787005602076392,2089,69703,0.47870056020763924,0.014346567026490266
2020-03-31,3929,39.921652,0,111,3818,0,2.825146,0.04055227471012968,2466,87286,0.4055227471012968,0.011456611078708054
2020-03-30,2808,5.922293,0,87,2721,0,3.098291,0.02898212964775875,3450,111365,0.28982129647758753,0.008979505980609015
2020-03-29,2651,12.045647,0,80,2571,0,3.017729,0.027361690062752297,3655,121109,0.273616900627523,0.008257016993663463
2020-03-28,2366,18.3,0,69,2297,0,2.916314,0.02442012775875969,4095,140416,0.2442012775875969,0.007121677157034737
2020-03-27,2000,31.147541,0,64,1936,0,3.2,0.020642542484158654,4844,151386,0.20642542484158657,0.00660561359493077
2020-03-26,1525,22.293504,0,48,1477,0,3.147541,0.015739938644170975,6353,201849,0.15739938644170975,0.0049542101961980774
2020-03-25,1247,21.539961,0,40,1207,0,3.207698,0.012870625238872922,7770,242218,0.1287062523887292,0.0041285084968317315
2020-03-24,1026,32.901554,0,32,994,0,3.118908,0.010589624294373389,9443,302773,0.10589624294373391,0.003302806797465385
2020-03-23,772,24.31562,0,25,747,0,3.238342,0.007968021398885241,12550,387549,0.07968021398885242,0.002580317810519832
2020-03-22,621,22.485207,0,25,596,0,4.025765,0.006409509441331262,15602,387549,0.06409509441331263,0.002580317810519832
2020-03-21,507,20.714286,0,14,493,0,2.761341,0.005232884519734219,19110,692052,0.0523288451973422,0.0014449779738911058
2020-03-20,420,46.341463,0,13,407,0,3.095238,0.0043349339216733175,23068,745287,0.04334933921673318,0.0013417652614703126
2020-03-19,287,44.221106,0,10,277,0,3.484321,0.002962204846476767,33759,968873,0.02962204846476767,0.0010321271242079329
2020-03-18,199,36.30137,0,3,196,0,1.507538,0.002053932977173786,48687,3229576,0.020539329771737863,0.00030963813726237984
2020-03-17,146,20.661157,0,1,145,0,0.684932,0.0015069056013435817,66361,9688729,0.01506905601343582,0.00010321271242079328
2020-03-16,121,22.222222,0,1,120,0,0.826446,0.0012488738202915987,80072,9688729,0.012488738202915987,0.00010321271242079328
2020-03-15,99,50,0,1,98,0,1.010101,0.0010218058529658533,97866,9688729,0.010218058529658534,0.00010321271242079328
2020-03-14,66,57.142857,0,1,65,0,1.515152,0.0006812039019772356,146799,9688729,0.006812039019772356,0.00010321271242079328
2020-03-13,42,35.483871,0,1,41,0,2.380952,0.0004334933921673318,230684,9688729,0.0043349339216733175,0.00010321271242079328
2020-03-12,31,34.782609,0,1,30,0,3.225806,0.00031995940850445913,312540,9688729,0.0031995940850445916,0.00010321271242079328
2020-03-11,23,35.294118,0,0,23,0,0,0.00023738923856782453,421249,,0.0023738923856782453,0
2020-03-10,17,,0,0,17,0,0,0.00017546161111534856,569925,,0.0017546161111534858,0

