"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-06,301,7.5,179,5,117,59.468439,1.66113,0.18023952095808382,555,33400,1.8023952095808384,0.029940119760479042
2020-07-05,280,0,179,5,96,63.928571,1.785714,0.16766467065868262,596,33400,1.6766467065868262,0.029940119760479042
2020-07-04,280,0,179,5,96,63.928571,1.785714,0.16766467065868262,596,33400,1.6766467065868262,0.029940119760479042
2020-07-03,280,0,179,5,96,63.928571,1.785714,0.16766467065868262,596,33400,1.6766467065868262,0.029940119760479042
2020-07-02,280,4.868914,179,5,96,63.928571,1.785714,0.16766467065868262,596,33400,1.6766467065868262,0.029940119760479042
2020-07-01,267,3.891051,179,5,83,67.041199,1.872659,0.1598802395209581,625,33400,1.598802395209581,0.029940119760479042
2020-06-30,257,1.581028,179,5,73,69.649805,1.945525,0.15389221556886226,650,33400,1.5389221556886228,0.029940119760479042
2020-06-29,253,2.42915,179,5,69,70.750988,1.976285,0.15149700598802396,660,33400,1.5149700598802396,0.029940119760479042
2020-06-28,247,0,179,5,63,72.469636,2.024291,0.14790419161676646,676,33400,1.4790419161676647,0.029940119760479042
2020-06-27,247,0,179,5,63,72.469636,2.024291,0.14790419161676646,676,33400,1.4790419161676647,0.029940119760479042
2020-06-26,247,6.926407,179,5,63,72.469636,2.024291,0.14790419161676646,676,33400,1.4790419161676647,0.029940119760479042
2020-06-25,231,2.212389,174,5,52,75.324675,2.164502,0.13832335329341316,723,33400,1.3832335329341316,0.029940119760479042
2020-06-24,226,0.444444,174,5,47,76.99115,2.212389,0.13532934131736526,739,33400,1.3532934131736527,0.029940119760479042
2020-06-23,225,1.351351,174,5,46,77.333333,2.222222,0.1347305389221557,742,33400,1.347305389221557,0.029940119760479042
2020-06-22,222,0,173,5,44,77.927928,2.252252,0.13293413173652693,752,33400,1.3293413173652695,0.029940119760479042
2020-06-21,222,0,173,5,44,77.927928,2.252252,0.13293413173652693,752,33400,1.3293413173652695,0.029940119760479042
2020-06-20,222,11,173,5,44,77.927928,2.252252,0.13293413173652693,752,33400,1.3293413173652695,0.029940119760479042
2020-06-19,200,4.166667,173,5,22,86.5,2.5,0.11976047904191617,835,33400,1.1976047904191616,0.029940119760479042
2020-06-18,192,2.12766,170,5,17,88.541667,2.604167,0.11497005988023952,870,33400,1.1497005988023952,0.029940119760479042
2020-06-17,188,1.075269,170,5,13,90.425532,2.659574,0.1125748502994012,888,33400,1.125748502994012,0.029940119760479042
2020-06-16,186,0.540541,169,5,12,90.860215,2.688172,0.11137724550898204,898,33400,1.1137724550898203,0.029940119760479042
2020-06-15,185,1.092896,169,5,11,91.351351,2.702703,0.11077844311377245,903,33400,1.1077844311377245,0.029940119760479042
2020-06-14,183,0,168,5,10,91.803279,2.73224,0.10958083832335329,913,33400,1.095808383233533,0.029940119760479042
2020-06-13,183,0,168,5,10,91.803279,2.73224,0.10958083832335329,913,33400,1.095808383233533,0.029940119760479042
2020-06-12,183,0,168,5,10,91.803279,2.73224,0.10958083832335329,913,33400,1.095808383233533,0.029940119760479042
2020-06-11,183,1.666667,168,5,10,91.803279,2.73224,0.10958083832335329,913,33400,1.095808383233533,0.029940119760479042
2020-06-10,180,0,164,5,11,91.111111,2.777778,0.10778443113772455,928,33400,1.0778443113772456,0.029940119760479042
2020-06-09,180,0.558659,163,5,12,90.555556,2.777778,0.10778443113772455,928,33400,1.0778443113772456,0.029940119760479042
2020-06-08,179,0,163,5,11,91.061453,2.793296,0.10718562874251497,933,33400,1.0718562874251496,0.029940119760479042
2020-06-07,179,0,162,5,12,90.502793,2.793296,0.10718562874251497,933,33400,1.0718562874251496,0.029940119760479042
2020-06-06,179,0,162,5,12,90.502793,2.793296,0.10718562874251497,933,33400,1.0718562874251496,0.029940119760479042
2020-06-05,179,0,162,5,12,90.502793,2.793296,0.10718562874251497,933,33400,1.0718562874251496,0.029940119760479042
2020-06-04,179,1.129944,162,5,12,90.502793,2.793296,0.10718562874251497,933,33400,1.0718562874251496,0.029940119760479042
2020-06-03,177,1.142857,151,5,21,85.310734,2.824859,0.1059880239520958,944,33400,1.0598802395209581,0.029940119760479042
2020-06-02,175,0,148,5,22,84.571429,2.857143,0.10479041916167664,954,33400,1.0479041916167664,0.029940119760479042
2020-06-01,175,1.744186,145,5,25,82.857143,2.857143,0.10479041916167664,954,33400,1.0479041916167664,0.029940119760479042
2020-05-31,172,0,144,5,23,83.72093,2.906977,0.1029940119760479,971,33400,1.029940119760479,0.029940119760479042
2020-05-30,172,0,144,5,23,83.72093,2.906977,0.1029940119760479,971,33400,1.029940119760479,0.029940119760479042
2020-05-29,172,0.584795,144,5,23,83.72093,2.906977,0.1029940119760479,971,33400,1.029940119760479,0.029940119760479042
2020-05-28,171,0.588235,143,5,23,83.625731,2.923977,0.10239520958083832,977,33400,1.0239520958083832,0.029940119760479042
2020-05-27,170,1.796407,143,5,22,84.117647,2.941176,0.10179640718562874,982,33400,1.0179640718562875,0.029940119760479042
2020-05-26,167,0.60241,139,5,23,83.233533,2.994012,0.1,1000,33400,1,0.029940119760479042
2020-05-25,166,0,138,5,23,83.13253,3.012048,0.09940119760479042,1006,33400,0.9940119760479041,0.029940119760479042
2020-05-24,166,0.606061,138,5,23,83.13253,3.012048,0.09940119760479042,1006,33400,0.9940119760479041,0.029940119760479042
2020-05-23,165,0,134,5,26,81.212121,3.030303,0.09880239520958084,1012,33400,0.9880239520958084,0.029940119760479042
2020-05-22,165,0,125,5,35,75.757576,3.030303,0.09880239520958084,1012,33400,0.9880239520958084,0.029940119760479042
2020-05-21,165,7.142857,125,5,35,75.757576,3.030303,0.09880239520958084,1012,33400,0.9880239520958084,0.029940119760479042
2020-05-20,154,0,125,5,24,81.168831,3.246753,0.09221556886227544,1084,33400,0.9221556886227545,0.029940119760479042
2020-05-19,154,0,126,5,23,81.818182,3.246753,0.09221556886227544,1084,33400,0.9221556886227545,0.029940119760479042
2020-05-18,154,0,126,5,23,81.818182,3.246753,0.09221556886227544,1084,33400,0.9221556886227545,0.029940119760479042
2020-05-17,154,0,126,5,23,81.818182,3.246753,0.09221556886227544,1084,33400,0.9221556886227545,0.029940119760479042
2020-05-16,154,0,126,5,23,81.818182,3.246753,0.09221556886227544,1084,33400,0.9221556886227545,0.029940119760479042
2020-05-15,154,1.315789,124,5,25,80.519481,3.246753,0.09221556886227544,1084,33400,0.9221556886227545,0.029940119760479042
2020-05-14,152,0,124,5,23,81.578947,3.289474,0.09101796407185629,1099,33400,0.9101796407185628,0.029940119760479042
2020-05-13,152,0,124,5,23,81.578947,3.289474,0.09101796407185629,1099,33400,0.9101796407185628,0.029940119760479042
2020-05-12,152,0.662252,124,5,23,81.578947,3.289474,0.09101796407185629,1099,33400,0.9101796407185628,0.029940119760479042
2020-05-11,151,0,124,5,22,82.119205,3.311258,0.09041916167664671,1106,33400,0.9041916167664671,0.029940119760479042
2020-05-10,151,0,124,5,22,82.119205,3.311258,0.09041916167664671,1106,33400,0.9041916167664671,0.029940119760479042
2020-05-09,151,0,124,5,22,82.119205,3.311258,0.09041916167664671,1106,33400,0.9041916167664671,0.029940119760479042
2020-05-08,151,1.342282,122,5,24,80.794702,3.311258,0.09041916167664671,1106,33400,0.9041916167664671,0.029940119760479042
2020-05-07,149,0,123,5,21,82.550336,3.355705,0.08922155688622754,1121,33400,0.8922155688622755,0.029940119760479042
2020-05-06,149,2.758621,123,5,21,82.550336,3.355705,0.08922155688622754,1121,33400,0.8922155688622755,0.029940119760479042
2020-05-05,145,0,124,5,16,85.517241,3.448276,0.08682634730538923,1152,33400,0.8682634730538922,0.029940119760479042
2020-05-04,145,0,125,5,15,86.206897,3.448276,0.08682634730538923,1152,33400,0.8682634730538922,0.029940119760479042
2020-05-03,145,0,126,5,14,86.896552,3.448276,0.08682634730538923,1152,33400,0.8682634730538922,0.029940119760479042
2020-05-02,145,0,131,5,9,90.344828,3.448276,0.08682634730538923,1152,33400,0.8682634730538922,0.029940119760479042
2020-05-01,145,0,131,5,9,90.344828,3.448276,0.08682634730538923,1152,33400,0.8682634730538922,0.029940119760479042
2020-04-30,145,2.836879,131,5,9,90.344828,3.448276,0.08682634730538923,1152,33400,0.8682634730538922,0.029940119760479042
2020-04-29,141,0,130,5,6,92.198582,3.546099,0.0844311377245509,1184,33400,0.844311377245509,0.029940119760479042
2020-04-28,141,0,129,5,7,91.489362,3.546099,0.0844311377245509,1184,33400,0.844311377245509,0.029940119760479042
2020-04-27,141,0,128,5,8,90.780142,3.546099,0.0844311377245509,1184,33400,0.844311377245509,0.029940119760479042
2020-04-26,141,0,128,5,8,90.780142,3.546099,0.0844311377245509,1184,33400,0.844311377245509,0.029940119760479042
2020-04-25,141,0,128,5,8,90.780142,3.546099,0.0844311377245509,1184,33400,0.844311377245509,0.029940119760479042
2020-04-24,141,1.438849,126,5,10,89.361702,3.546099,0.0844311377245509,1184,33400,0.844311377245509,0.029940119760479042
2020-04-23,139,2.205882,126,5,8,90.647482,3.597122,0.08323353293413174,1201,33400,0.8323353293413174,0.029940119760479042
2020-04-22,136,0,119,5,12,87.5,3.676471,0.081437125748503,1228,33400,0.8143712574850299,0.029940119760479042
2020-04-21,136,0,114,5,17,83.823529,3.676471,0.081437125748503,1228,33400,0.8143712574850299,0.029940119760479042
2020-04-20,136,0,112,5,19,82.352941,3.676471,0.081437125748503,1228,33400,0.8143712574850299,0.029940119760479042
2020-04-19,136,0,112,5,19,82.352941,3.676471,0.081437125748503,1228,33400,0.8143712574850299,0.029940119760479042
2020-04-18,136,0,110,5,21,80.882353,3.676471,0.081437125748503,1228,33400,0.8143712574850299,0.029940119760479042
2020-04-17,136,0.740741,97,5,34,71.323529,3.676471,0.081437125748503,1228,33400,0.8143712574850299,0.029940119760479042
2020-04-16,135,0,86,5,44,63.703704,3.703704,0.08083832335329341,1237,33400,0.8083832335329342,0.029940119760479042
2020-04-15,135,1.503759,73,5,57,54.074074,3.703704,0.08083832335329341,1237,33400,0.8083832335329342,0.029940119760479042
2020-04-14,133,0,66,5,62,49.62406,3.759398,0.07964071856287425,1256,33400,0.7964071856287425,0.029940119760479042
2020-04-13,133,0,58,5,70,43.609023,3.759398,0.07964071856287425,1256,33400,0.7964071856287425,0.029940119760479042
2020-04-12,133,0,58,5,70,43.609023,3.759398,0.07964071856287425,1256,33400,0.7964071856287425,0.029940119760479042
2020-04-11,133,2.307692,0,5,128,0,3.759398,0.07964071856287425,1256,33400,0.7964071856287425,0.029940119760479042
2020-04-10,130,1.5625,0,4,126,0,3.076923,0.07784431137724551,1285,41750,0.7784431137724551,0.023952095808383235
2020-04-09,128,5.785124,0,4,124,0,3.125,0.07664670658682635,1305,41750,0.7664670658682635,0.023952095808383235
2020-04-08,121,0,0,4,117,0,3.305785,0.07245508982035928,1380,41750,0.7245508982035929,0.023952095808383235
2020-04-07,121,7.079646,0,4,117,0,3.305785,0.07245508982035928,1380,41750,0.7245508982035929,0.023952095808383235
2020-04-06,113,0.892857,0,4,109,0,3.539823,0.06766467065868263,1478,41750,0.6766467065868264,0.023952095808383235
2020-04-05,112,20.430108,0,4,108,0,3.571429,0.06706586826347305,1491,41750,0.6706586826347305,0.023952095808383235
2020-04-04,93,10.714286,0,4,89,0,4.301075,0.05568862275449102,1796,41750,0.5568862275449101,0.023952095808383235
2020-04-03,84,2.439024,0,4,80,0,4.761905,0.05029940119760479,1988,41750,0.5029940119760479,0.023952095808383235
2020-04-02,82,6.493506,0,3,79,0,3.658537,0.04910179640718563,2037,55667,0.49101796407185627,0.017964071856287425
2020-04-01,77,11.594203,0,3,74,0,3.896104,0.04610778443113772,2169,55667,0.46107784431137727,0.017964071856287425
2020-03-31,69,18.965517,0,2,67,0,2.898551,0.04131736526946108,2420,83500,0.41317365269461076,0.011976047904191617
2020-03-30,58,3.571429,0,1,57,0,1.724138,0.03473053892215569,2879,167000,0.3473053892215569,0.005988023952095809
2020-03-29,56,1.818182,0,1,55,0,1.785714,0.033532934131736525,2982,167000,0.33532934131736525,0.005988023952095809
2020-03-28,55,7.843137,0,1,54,0,1.818182,0.03293413173652695,3036,167000,0.32934131736526945,0.005988023952095809
2020-03-27,51,13.333333,0,1,50,0,1.960784,0.03053892215568862,3275,167000,0.30538922155688625,0.005988023952095809
2020-03-26,45,21.621622,0,1,44,0,2.222222,0.02694610778443114,3711,167000,0.2694610778443114,0.005988023952095809
2020-03-25,37,15.625,0,1,36,0,2.702703,0.02215568862275449,4514,167000,0.2215568862275449,0.005988023952095809
2020-03-24,32,10.344828,0,1,31,0,3.125,0.019161676646706587,5219,167000,0.19161676646706588,0.005988023952095809
2020-03-23,29,7.407407,0,1,28,0,3.448276,0.017365269461077845,5759,167000,0.17365269461077845,0.005988023952095809
2020-03-22,27,80,0,1,26,0,3.703704,0.016167664670658683,6185,167000,0.16167664670658682,0.005988023952095809
2020-03-21,15,7.142857,0,0,15,0,0,0.008982035928143712,11133,,0.08982035928143713,0
2020-03-20,14,16.666667,0,0,14,0,0,0.008383233532934131,11929,,0.08383233532934131,0
2020-03-19,12,140,0,0,12,0,0,0.00718562874251497,13917,,0.0718562874251497,0
2020-03-18,5,66.666667,0,0,5,0,0,0.0029940119760479044,33400,,0.029940119760479042,0
2020-03-17,3,0,0,0,3,0,0,0.0017964071856287425,55667,,0.017964071856287425,0
2020-03-16,3,0,0,0,3,0,0,0.0017964071856287425,55667,,0.017964071856287425,0
2020-03-15,3,,0,0,3,0,0,0.0017964071856287425,55667,,0.017964071856287425,0

