"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-14,637,-0.15674,563,17,57,88.383046,2.66876,0.04682766463746787,2135,80018,0.46827664637467864,0.012497178945635066
2020-05-13,638,0.472441,563,17,58,88.244514,2.664577,0.04690117745479513,2132,80018,0.4690117745479513,0.012497178945635066
2020-05-12,635,0.157729,561,17,57,88.346457,2.677165,0.046680639002813336,2142,80018,0.46680639002813334,0.012497178945635066
2020-05-11,634,0.316456,561,17,56,88.485804,2.681388,0.04660712618548607,2146,80018,0.4660712618548607,0.012497178945635066
2020-05-10,632,0.158479,551,17,64,87.183544,2.689873,0.04646010055083154,2152,80018,0.4646010055083154,0.012497178945635066
2020-05-09,631,0.317965,566,17,48,89.698891,2.694136,0.04638658773350428,2156,80018,0.46386587733504275,0.012497178945635066
2020-05-08,629,0,565,17,47,89.825119,2.702703,0.046239562098849746,2163,80018,0.46239562098849746,0.012497178945635066
2020-05-07,629,0.479233,558,17,54,88.712242,2.702703,0.046239562098849746,2163,80018,0.46239562098849746,0.012497178945635066
2020-05-06,626,0.16,551,17,58,88.019169,2.715655,0.04601902364686795,2173,80018,0.4601902364686795,0.012497178945635066
2020-05-05,625,0.644122,548,17,60,87.68,2.72,0.04594551082954068,2176,80018,0.45945510829540687,0.012497178945635066
2020-05-04,621,0.16129,544,17,60,87.600644,2.73752,0.04565145956023162,2191,80018,0.4565145956023162,0.012497178945635066
2020-05-03,620,0,541,17,62,87.258065,2.741935,0.04557794674290436,2194,80018,0.45577946742904357,0.012497178945635066
2020-05-02,620,0.161551,532,16,72,85.806452,2.580645,0.04557794674290436,2194,85019,0.45577946742904357,0.011762050772362415
2020-05-01,619,0.161812,526,16,77,84.975767,2.584814,0.04550443392557709,2198,85019,0.4550443392557709,0.011762050772362415
2020-04-30,618,0.815661,516,16,86,83.495146,2.588997,0.04543092110824983,2201,85019,0.4543092110824983,0.011762050772362415
2020-04-29,613,0.656814,505,16,92,82.381729,2.610114,0.0450633570216135,2219,85019,0.45063357021613504,0.011762050772362415
2020-04-28,609,0.329489,493,16,100,80.952381,2.627258,0.04476930575230444,2234,85019,0.44769305752304445,0.011762050772362415
2020-04-27,607,0.165017,488,16,103,80.395387,2.635914,0.04462228011764991,2241,85019,0.44622280117649915,0.011762050772362415
2020-04-26,606,0.165289,482,14,110,79.537954,2.310231,0.044548767300322645,2245,97165,0.44548767300322645,0.010291794425817112
2020-04-25,605,0.665557,463,13,129,76.528926,2.14876,0.044475254482995386,2248,104639,0.4447525448299538,0.009556666252544463
2020-04-24,601,0.838926,463,13,125,77.03827,2.163062,0.04418120321368632,2263,104639,0.4418120321368632,0.009556666252544463
2020-04-23,596,0.675676,444,12,140,74.496644,2.013423,0.04381363912705,2282,113359,0.43813639127049997,0.008821538079271812
2020-04-22,592,1.023891,437,12,143,73.817568,2.027027,0.04351958785774094,2298,113359,0.4351958785774094,0.008821538079271812
