"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-01,19699,0.751841,11440,555,7704,58.074014,2.817402,0.6465321308319256,155,5490,6.465321308319256,0.1821540852894658
2020-05-31,19552,1.600499,11147,535,7870,57.01207,2.736293,0.6417075091134479,156,5695,6.417075091134478,0.17558997410786345
2020-05-30,19244,1.513953,11019,531,7694,57.259406,2.759302,0.6315987778937802,158,5738,6.315987778937802,0.17427715187154297
2020-05-29,18957,1.996126,10753,524,7680,56.72311,2.76415,0.6221792783481808,161,5815,6.221792783481808,0.17197971295798214
2020-05-28,18586,1.181338,10359,506,7721,55.7355,2.722479,0.6100028521063084,164,6021,6.100028521063084,0.16607201289454
2020-05-27,18369,3.762074,10016,496,7857,54.526648,2.700201,0.6028807914742699,166,6143,6.028807914742698,0.16278995730373882
2020-05-26,17703,0.831577,9791,477,7435,55.30701,2.694459,0.5810223012395339,172,6388,5.81022301239534,0.15655405168121656
2020-05-25,17557,1.77381,9377,456,7724,53.408897,2.597255,0.5762305000769642,174,6682,5.762305000769642,0.14966173494053406
2020-05-24,17251,2.089005,9318,456,7477,54.01426,2.643325,0.5661874099691125,177,6682,5.661874099691126,0.14966173494053406
2020-05-23,16898,2.4618,9254,446,7198,54.763877,2.639366,0.5546017537335843,180,6832,5.546017537335843,0.1463796793497329
2020-05-22,16492,1.991342,9079,424,6989,55.050934,2.570943,0.5412766080349316,185,7186,5.412766080349315,0.13915915704997028
2020-05-21,16170,3.521127,8672,410,7088,53.630179,2.53556,0.5307083890325518,188,7431,5.307083890325518,0.1345642792228486
2020-05-20,15620,2.118201,8362,393,6865,53.533931,2.516005,0.5126570832831452,195,7753,5.126570832831452,0.1289847847184866
2020-05-19,15296,2.280174,8130,367,6799,53.151151,2.39932,0.5020232231689494,199,8302,5.020232231689493,0.12045144018240352
2020-05-18,14955,2.074944,7324,355,7276,48.973587,2.373788,0.49083141360431737,204,8583,4.908314136043173,0.1165129734734421
2020-05-17,14651,2.254327,7154,351,7146,48.829431,2.395741,0.4808539646082817,208,8681,4.808539646082817,0.11520015123712161
2020-05-16,14328,1.985906,6927,346,7055,48.345896,2.414852,0.4702529250499939,213,8806,4.702529250499939,0.11355912344172103
2020-05-15,14049,2.734918,6561,336,7152,46.700833,2.391629,0.4610959899516586,217,9068,4.610959899516586,0.11027706785091984
2020-05-14,13675,2.904658,6231,318,7126,45.564899,2.325411,0.44882110204206216,223,9581,4.488211020420621,0.10436936778747771
2020-05-13,13289,2.919765,5954,306,7029,44.803973,2.302656,0.4361523674615696,229,9957,4.361523674615696,0.10043090107851628
2020-05-12,12912,4.35626,5618,289,7005,43.509913,2.238228,0.4237790178842491,236,10543,4.237790178842491,0.09485140657415427
2020-05-11,12373,3.461828,5249,271,6853,42.423018,2.190253,0.4060887382498307,246,11243,4.060887382498307,0.08894370651071214
2020-05-10,11959,2.467655,5154,265,6540,43.097249,2.215904,0.3925010281039138,255,11498,3.925010281039138,0.08697447315623143
2020-05-09,11671,1.867854,5011,252,6408,42.935481,2.159198,0.3830487080024064,261,12091,3.830487080024064,0.08270780088818988
2020-05-08,11457,3.598879,4685,243,6529,40.892031,2.120974,0.3760251090380919,266,12539,3.7602510903809185,0.07975395085646882
2020-05-07,11059,6.295656,4266,231,6562,38.574916,2.088796,0.3629625277867031,276,13190,3.6296252778670315,0.0758154841475074
2020-05-06,10404,2.897834,3803,219,6382,36.553249,2.10496,0.3414650636669554,293,13913,3.4146506366695535,0.07187701743854596
2020-05-05,10111,4.204885,3572,207,6332,35.327861,2.047275,0.3318486407859079,301,14719,3.318486407859079,0.06793855072958455
2020-05-04,9703,5.754768,3486,188,6029,35.927033,1.937545,0.3184578539754391,314,16207,3.1845785397543906,0.06170264510706229
2020-05-03,9175,6.15527,3325,184,5666,36.239782,2.00545,0.3011286004560088,332,16559,3.011286004560088,0.060389822870741815
2020-05-02,8643,9.627093,3156,175,5312,36.515099,2.02476,0.2836680647129465,353,17411,2.836680647129465,0.05743597283902075
