"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-07,33738,0.219819,16554,385,16799,49.066335,1.141146,2.1521289414712528,46,4072,21.52128941471253,0.2455894369750526
2020-09-06,33664,0.567605,16339,385,16940,48.535528,1.143655,2.1474085211242,47,4072,21.474085211242002,0.2455894369750526
2020-09-05,33474,0.846564,16071,384,17019,48.010396,1.147159,2.135288522935821,47,4082,21.352885229358208,0.24495154233355895
2020-09-04,33193,0.807848,15787,382,17024,47.561233,1.150845,2.1173636835098493,47,4104,21.173636835098495,0.24367575305057165
2020-09-03,32927,0.805168,15585,372,16970,47.331977,1.129772,2.1003956860461184,48,4214,21.003956860461187,0.23729680663563524
2020-09-02,32664,0.961271,15212,372,17080,46.571149,1.138868,2.0836190569748356,48,4214,20.836190569748357,0.23729680663563524
2020-09-01,32353,0.847854,14963,367,17023,46.249189,1.134362,2.0637805336243833,48,4272,20.637805336243837,0.234107333428167
2020-08-31,32081,0.699981,14712,361,17008,45.85892,1.125277,2.046429799375756,49,4343,20.464297993757565,0.23027996557920516
2020-08-30,31858,0.599975,14490,359,17009,45.483081,1.126876,2.032204748870448,49,4367,20.32204748870448,0.22900417629621786
2020-08-29,31668,0.930648,14175,358,17135,44.761273,1.130479,2.0200847506820687,50,4379,20.20084750682069,0.22836628165472422
2020-08-28,31376,0.845306,13928,353,17095,44.390617,1.125064,2.0014582271504544,50,4441,20.014582271504544,0.22517680844725602
2020-08-27,31113,1.111436,13657,343,17113,43.894835,1.102433,1.9846815980791717,50,4570,19.846815980791717,0.21879786203231957
2020-08-26,30771,1.004431,13353,337,17081,43.394755,1.095187,1.9628656013400891,51,4652,19.628656013400892,0.21497049418335773
2020-08-25,30465,1.357421,13081,326,17058,42.937797,1.07008,1.9433460253103836,51,4809,19.43346025310384,0.20795365312692765
2020-08-24,30057,0.710337,12867,314,16876,42.808664,1.044682,1.917319923937443,52,4993,19.17319923937443,0.20029891742900394
2020-08-23,29845,0.627128,12606,307,16932,42.238231,1.028648,1.9037965575377778,53,5106,19.03796557537778,0.19583365493854843
2020-08-22,29659,1.004632,12359,306,16994,41.670319,1.031727,1.891931717205996,53,5123,18.919317172059962,0.1951957602970548
2020-08-21,29364,0.872552,12007,305,17052,40.890206,1.038687,1.8731138252819335,53,5140,18.731138252819335,0.19455786565556113
2020-08-20,29110,1.499303,11733,296,17081,40.305737,1.016833,1.856911301387995,54,5296,18.56911301387995,0.18881681388211835
2020-08-19,28680,1.267611,11397,289,16994,39.738494,1.007671,1.8294818318037682,55,5424,18.294818318037684,0.18435155139166284
2020-08-18,28321,1.374521,11093,282,16946,39.168815,0.995728,1.8065814141741465,55,5559,18.065814141741466,0.17988628890120736
2020-08-17,27937,1.016054,10883,273,16781,38.955507,0.977199,1.7820862599407907,56,5742,17.820862599407906,0.17414523712776456
2020-08-16,27656,0.658781,10616,269,16771,38.385884,0.972664,1.7641614205148193,57,5828,17.641614205148194,0.17159365856178999
2020-08-15,27475,1.11884,10369,269,16837,37.739763,0.979072,1.7526155275037842,57,5828,17.526155275037844,0.17159365856178999
2020-08-14,27171,2.035375,10089,265,16817,37.1315,0.975305,1.7332235304023775,58,5916,17.332235304023776,0.16904207999581541
2020-08-13,26629,1.894084,9850,251,16528,36.989748,0.942581,1.6986496408334222,59,6246,16.986496408334222,0.16011155501490443
2020-08-12,26134,2.093914,9548,246,16340,36.534782,0.941303,1.6670738560794869,60,6373,16.67073856079487,0.1569220818074362
2020-08-11,25598,1.967814,9341,246,16011,36.491132,0.961013,1.6328827032954276,61,6373,16.328827032954276,0.1569220818074362
2020-08-10,25104,1.738602,9157,239,15708,36.476259,0.95204,1.6013707080056416,62,6559,16.013707080056417,0.15245681931698069
2020-08-09,24675,0.72662,8921,237,15517,36.154002,0.960486,1.5740050278855642,64,6615,15.740050278855643,0.1511810300339934
2020-08-08,24497,2.390805,8738,235,15524,35.669674,0.959301,1.5626505032669773,64,6671,15.626505032669774,0.1499052407510061
2020-08-07,23925,2.239221,8486,229,15210,35.469175,0.957158,1.526162929773541,66,6846,15.26162929773541,0.14607787290204427
2020-08-06,23401,3.051788,8207,223,14971,35.071151,0.952951,1.4927372505592742,67,7030,14.927372505592741,0.1422505050530824
2020-08-05,22708,2.122684,7875,217,14616,34.679408,0.95561,1.4485311519037647,69,7224,14.485311519037648,0.13842313720412056
2020-08-04,22236,2.611906,7617,210,14409,34.255262,0.944414,1.4184225248252647,71,7465,14.184225248252648,0.13395787471366505
2020-08-03,21670,2.652771,7370,200,14100,34.010152,0.922935,1.3823176881167245,72,7838,13.823176881167246,0.1275789282987286
2020-08-02,21110,0,7146,197,13767,33.851255,0.933207,1.3465955881930805,74,7958,13.465955881930805,0.1256652443742477
2020-08-01,21110,1.901912,6998,197,13915,33.150166,0.933207,1.3465955881930805,74,7958,13.465955881930805,0.1256652443742477
