"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,12262,8.908429,0,307,11955,0,2.50367,0.09556116740801517,1046,41797
2020-04-05,11259,8.709086,0,274,10985,0,2.433609,0.08774451018160519,1140,46831
2020-04-04,10357,16.318509,0,244,10113,0,2.355895,0.08071497397201216,1239,52588
2020-04-03,8904,15.711501,0,210,8694,0,2.358491,0.06939134191819989,1441,61103
2020-04-02,7695,10.243553,0,163,7532,0,2.118259,0.059969269548579084,1668,78721
2020-04-01,6980,16.449783,0,141,6839,0,2.020057,0.054397076211706565,1838,91004
2020-03-31,5994,18.552215,0,99,5895,0,1.651652,0.046712904700998446,2141,129612
2020-03-30,5056,10.008703,0,73,4983,0,1.443829,0.039402810505213236,2538,175775
2020-03-29,4596,31.652822,0,66,4530,0,1.436031,0.03581790290386867,2792,194418
2020-03-28,3491,15.443122,0,47,3444,0,1.346319,0.027206331383247507,3676,273012
2020-03-27,3024,19.148936,0,34,2990,0,1.124339,0.023566870840143358,4243,377399
2020-03-26,2538,36.085791,0,26,2512,0,1.024429,0.019779338026548892,5056,493522
2020-03-25,1865,21.340273,0,19,1846,0,1.018767,0.014534462340233917,6880,675346
2020-03-24,1537,19.610895,0,16,1521,0,1.040989,0.011978267354927363,8348,801973
2020-03-23,1285,22.497617,0,12,1273,0,0.933852,0.010014361451582082,9986,1069298
2020-03-22,1049,39.309429,0,9,1040,0,0.85796,0.008175147986544439,12232,1425730
2020-03-21,753,28.717949,0,6,747,0,0.796813,0.005868337877853158,17041,2138595
2020-03-20,585,38.625592,0,5,580,0,0.854701,0.0045590672756229715,21934,2566314
2020-03-19,422,160.493827,0,4,418,0,0.947867,0.003288763060363921,30407,3207893
2020-03-18,162,0.621118,0,1,161,0,0.617284,0.0012625109378648228,79207,12831572
2020-03-17,161,53.333333,2,1,158,1.242236,0.621118,0.0012547176604705956,79699,12831572
2020-03-16,105,12.903226,2,0,103,1.904762,0,0.0008182941263938666,122205,
2020-03-15,93,45.3125,2,0,91,2.150538,0,0.000724774797663139,137974,
2020-03-14,64,39.130435,2,0,62,3.125,0,0.0004987697532305473,200493,
2020-03-13,46,43.75,2,0,44,4.347826,0,0.00035849076013445586,278947,
2020-03-12,32,28,2,0,30,6.25,0,0.00024938487661527365,400987,
2020-03-11,25,108.333333,2,0,23,8,0,0.00019483193485568252,513263,
2020-03-10,12,,2,0,10,16.666667,0,9.351932873072761e-05,1069298,

