"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-23,42871,0.558253,32152,2569,8150,74.997084,5.992396,0.6611761690338339,151,2524,6.611761690338339,0.39620292931070406
2020-06-22,42633,0.495014,31739,2553,8341,74.447025,5.988319,0.657505624184634,152,2540,6.575056241846339,0.3937353361347713
2020-06-21,42423,0.860655,31302,2540,8581,73.785447,5.987318,0.6542669081412222,153,2553,6.542669081412222,0.3917304166793259
2020-06-20,42061,0.754563,31110,2536,8415,73.964005,6.029338,0.6486839785806743,154,2557,6.486839785806743,0.3911135183853427
2020-06-19,41746,0.743279,30760,2516,8470,73.683706,6.026925,0.6438259045155567,155,2577,6.438259045155567,0.3880290269154268
2020-06-18,41438,1.036257,30175,2491,8772,72.819634,6.011391,0.6390757876518861,156,2603,6.390757876518861,0.38417341257803184
2020-06-17,41013,0.556564,29671,2475,8867,72.345354,6.034672,0.6325212432783147,158,2620,6.325212432783147,0.3817058194020991
2020-06-16,40786,0.880534,29093,2447,9246,71.330849,5.999608,0.6290203454599601,159,2650,6.290203454599601,0.3773875313442167
2020-06-15,40430,1.30547,28744,2433,9253,71.095721,6.017809,0.6235299506435097,160,2665,6.235299506435097,0.3752283873152756
2020-06-14,39909,0.925575,28522,2422,8965,71.467589,6.068807,0.6154948503643787,162,2677,6.154948503643786,0.3735319170068218
2020-06-13,39543,1.014152,28241,2413,8889,71.418456,6.102218,0.6098502309744325,164,2687,6.098502309744324,0.3721438958453596
2020-06-12,39146,1.02715,27811,2396,8939,71.044296,6.120676,0.6037275154066494,166,2706,6.037275154066493,0.3695220780959311
2020-06-11,38748,1.072071,27321,2380,9047,70.509446,6.142253,0.5975893773815166,167,2724,5.975893773815166,0.3670544849199983
2020-06-10,38337,0.799306,26791,2355,9191,69.882881,6.142891,0.5912507474108393,169,2753,5.912507474108392,0.36319887058260336
2020-06-09,38033,1.089759,26205,2339,9489,68.900692,6.149922,0.5865623203765671,170,2772,5.86562320376567,0.3607312774066706
2020-06-08,37623,0.604327,25608,2316,9699,68.064748,6.155809,0.5802391128632394,172,2800,5.802391128632393,0.3571841122162672
