"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-01,230303,2.157115,4612,2872,222819,2.0025792,1.2470528,8.071961846720242,12,993,80.71961846720242,1.0066162587452416
2020-12-31,225440,0.0026615,4517,2736,218187,2.003637,1.213627,7.901517039398581,13,1043,79.01517039398581,0.9589491935678903
2020-12-30,225434,2.733839,4517,2736,218181,2.0036907,1.213659,7.9013067435228,13,1043,79.013067435228,0.9589491935678903
2020-12-29,219435,0.178503,4374,2569,212492,1.993301,1.170734,7.691045917052998,13,1111,76.91045917052998,0.9004168414751134
2020-12-28,219044,2.84287,4374,2544,212126,1.996859,1.16141,7.677341635814509,13,1122,76.77341635814508,0.8916545133175121
2020-12-27,212989,0,4286,2503,206200,2.0123105,1.1751781,7.465118047837405,13,1140,74.65118047837404,0.8772842951390458
2020-12-26,212989,0,4286,2503,206200,2.0123105,1.1751781,7.465118047837405,13,1140,74.65118047837404,0.8772842951390458
2020-12-25,212989,0,4286,2503,206200,2.0123105,1.1751781,7.465118047837405,13,1140,74.65118047837404,0.8772842951390458
2020-12-24,212989,0.064364,4286,2503,206200,2.0123105,1.1751781,7.465118047837405,13,1140,74.65118047837404,0.8772842951390458
2020-12-23,212852,2.3002317,4286,2493,206073,2.013606,1.171236,7.46031629200704,13,1144,74.60316292007039,0.8737793638760053
2020-12-22,208066,0.135718,4184,2448,201434,2.0109004,1.1765497,7.29257028175792,14,1165,72.9257028175792,0.8580071731923229
2020-12-21,207784,2.0279494,4184,2448,201152,2.01363,1.178147,7.282686375596145,14,1165,72.82686375596145,0.8580071731923229
2020-12-20,203654,0.0024552,4125,2341,197188,2.025494,1.1494987,7.137932714432571,14,1219,71.37932714432571,0.8205044086777892
2020-12-19,203649,0.031437,4125,2341,197183,2.025544,1.1495269,7.1377574678694184,14,1219,71.37757467869419,0.8205044086777892
2020-12-18,203585,2.856551,4125,2341,197119,2.026181,1.149888,7.135514311861073,14,1219,71.35514311861073,0.8205044086777892
2020-12-17,197931,0.136091,4051,2253,191627,2.0466728,1.138275,6.937345498248761,14,1266,69.37345498248762,0.7896610135630325
2020-12-16,197662,2.262944,4051,2247,191364,2.049458,1.136789,6.927917233151182,14,1270,69.27917233151182,0.7875580548052081
2020-12-15,193288,0.144034,3938,2109,187241,2.037374,1.091118,6.774611539705789,15,1353,67.74611539705789,0.7391900033752488
2020-12-14,193010,2.414305,3938,2109,186963,2.040309,1.092689,6.764867830794536,15,1353,67.64867830794536,0.7391900033752488
2020-12-13,188460,0,3891,2072,182497,2.064629,1.099438,6.605393458326192,15,1377,66.05393458326192,0.7262217577019988
2020-12-12,188460,0.075404,3891,2072,182497,2.064629,1.099438,6.605393458326192,15,1377,66.05393458326192,0.7262217577019988
2020-12-11,188318,2.993246,3891,2072,182355,2.066186,1.100267,6.600416455932675,15,1377,66.00416455932674,0.7262217577019988
2020-12-10,182845,0.1445934,3793,1941,177111,2.074435,1.061555,6.408591567906466,16,1470,64.08591567906466,0.6803071581561678
2020-12-09,182581,2.971598,3793,1941,176847,2.0774341,1.0630898,6.399338549372039,16,1470,63.99338549372039,0.6803071581561678
2020-12-08,177312,0.249334,3675,1856,171781,2.072618,1.046742,6.214663721122434,16,1537,62.14663721122433,0.6505152424203232
2020-12-07,176871,3.213627,3675,1856,171340,2.077786,1.049352,6.199206974252425,16,1537,61.992069742524244,0.6505152424203232
2020-12-06,171364,0.0005836,3615,1786,165963,2.109545,1.042226,6.006190409596782,17,1597,60.06190409596782,0.6259807235790396
2020-12-05,171363,0.126792,3615,1786,165962,2.109557,1.042232,6.0061553602841515,17,1597,60.061553602841514,0.6259807235790396
2020-12-04,171146,3.626874,3615,1786,165745,2.112232,1.043553,5.998549659443354,17,1597,59.985496594433535,0.6259807235790396
2020-12-03,165156,0.182585,3512,1679,159965,2.126474,1.016615,5.7886042767872254,17,1699,57.886042767872254,0.5884779590645058
2020-12-02,164855,2.8845494,3512,1679,159664,2.130357,1.018471,5.778054433685473,17,1699,57.78054433685474,0.5884779590645058
2020-12-01,160233,0.198856,3403,1560,155270,2.1237822,0.973582,5.6160565107077405,18,1829,56.1605651070774,0.5467692770343234
2020-11-30,159915,2.839228,3403,1560,154952,2.128006,0.975518,5.6049108292912715,18,1829,56.04910829291271,0.5467692770343234
2020-11-29,155500,0,3352,1529,150619,2.155627,0.98328,5.450168114028032,18,1866,54.50168114028032,0.5359039901188978
2020-11-28,155500,0.0572675,3352,1529,150619,2.155627,0.98328,5.450168114028032,18,1866,54.50168114028032,0.5359039901188978
2020-11-27,155411,3.1623597,3352,1529,150530,2.1568615,0.9838428,5.447048725203926,18,1866,54.470487252039256,0.5359039901188978
2020-11-26,150647,0.236207,3299,1503,145845,2.1898876,0.9976966,5.2800737998326746,19,1898,52.800737998326746,0.5267911688349923
2020-11-25,150292,3.5575247,3299,1503,145490,2.19506,1.000053,5.267631293848881,19,1898,52.676312938488806,0.5267911688349923
2020-11-24,145129,0.232748,3189,1456,140484,2.1973555,1.0032454,5.086671692738098,20,1960,50.86671692738098,0.5103179918987019
2020-11-23,144792,5.622059,3189,1456,140147,2.20247,1.00558,5.074860074381651,20,1960,50.74860074381651,0.5103179918987019
2020-11-22,137085,0.013862,3144,1410,132531,2.293468,1.028559,4.804735021939117,21,2023,48.04735021939117,0.4941953080887154
2020-11-21,137066,0.149787,3144,1410,132512,2.293785,1.028702,4.804069084999139,21,2023,48.04069084999139,0.4941953080887154
2020-11-20,136861,4.3298953,3144,1410,132307,2.2972213,1.0302424,4.796883975909906,21,2023,47.96883975909906,0.4941953080887154
2020-11-19,131181,0.355733,3067,1326,126788,2.337991,1.010817,4.597803880169204,22,2152,45.97803880169204,0.4647538854791749
