"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-01,30723,1.897118,8135,740,21848,26.478534,2.408619,0.7080120377947486,141,5864,7.080120377947487,0.17053312110409596
2020-07-31,30151,2.60328,7481,735,21935,24.811781,2.43773,0.6948302884337293,144,5904,6.948302884337294,0.16938087028582505
2020-07-30,29386,2.294009,7590,731,21065,25.828626,2.487579,0.6772008509141842,148,5936,6.772008509141843,0.16845906963120832
2020-07-29,28727,2.191313,7495,724,20508,26.090438,2.520277,0.6620141851293736,151,5994,6.620141851293736,0.16684591848562902
2020-07-28,28111,1.903139,7470,719,19922,26.573228,2.557718,0.6478184550482758,154,6035,6.478184550482759,0.1656936676673581
2020-07-27,27586,1.861015,7466,709,19411,27.064453,2.570144,0.6357198214564312,157,6120,6.3571982145643124,0.16338916603081627
2020-07-26,27082,1.188163,7421,700,18961,27.401964,2.584743,0.6241051332082603,160,6199,6.241051332082604,0.16131511455792863
2020-07-25,26764,3.208391,7421,696,18647,27.727544,2.600508,0.6167768180040573,162,6235,6.167768180040573,0.16039331390331188
2020-07-24,25932,3.121645,7396,691,17845,28.520747,2.664661,0.5976033643880292,167,6280,5.976033643880292,0.15924106308504096
2020-07-23,25147,2.473513,7046,684,17417,28.019247,2.720006,0.5795130265411758,173,6344,5.795130265411759,0.15762791193946168
2020-07-22,24540,1.995012,7000,677,16863,28.524857,2.758761,0.5655247016073669,177,6410,5.655247016073669,0.15601476079388238
2020-07-21,24060,2.759033,6927,674,16459,28.790524,2.80133,0.554463093751966,180,6438,5.544630937519661,0.15532341030291985
2020-07-20,23414,1.092354,6876,671,15867,29.367045,2.865807,0.5395760131799058,185,6467,5.395760131799058,0.1546320598119573
2020-07-19,23161,4.404075,6824,670,15667,29.463322,2.892794,0.5337456240394549,187,6477,5.337456240394549,0.1544016096483031
2020-07-18,22184,2.679935,6824,667,14693,30.760909,3.006671,0.5112306430504412,196,6506,5.112306430504412,0.15371025915734055
2020-07-17,21605,2.475928,6772,658,14175,31.344596,3.045591,0.49788757857486393,201,6595,4.97887578574864,0.1516362076844529
2020-07-16,21083,1.963534,5500,650,14933,26.087369,3.083053,0.48585808003211556,206,6676,4.858580800321156,0.14979260637521943
2020-07-15,20677,2.244969,5475,645,14557,26.478696,3.119408,0.47650180338775566,210,6728,4.765018033877557,0.14864035555694852
2020-07-14,20223,2.900321,5389,635,14199,26.647876,3.139989,0.4660393659578557,215,6834,4.660393659578558,0.14633585392040668
2020-07-13,19653,1.361597,5344,629,13680,27.191777,3.200529,0.45290370662956725,221,6899,4.529037066295673,0.14495315293848157
2020-07-12,19389,1.4016,5322,625,13442,27.448553,3.223477,0.44681982230909684,224,6943,4.468198223090969,0.14403135228386485
2020-07-11,19121,2.40467,5322,622,13177,27.833272,3.252968,0.4406437579231647,227,6976,4.406437579231647,0.1433400017929023
2020-07-10,18672,2.340367,5258,620,12794,28.159811,3.32048,0.43029654557509184,232,6999,4.302965455750919,0.1428791014655939
2020-07-09,18245,1.819298,4939,612,12694,27.07043,3.354344,0.4204563235870582,238,7090,4.204563235870582,0.14103550015636046
2020-07-08,17919,2.283235,4912,608,12399,27.412244,3.393046,0.4129436482519318,242,7137,4.129436482519319,0.1401136995017437
2020-07-07,17519,2.139692,4841,602,12076,27.632856,3.436269,0.40372564170576447,248,7208,4.037256417057645,0.1387309985198186
2020-07-06,17152,4.738642,4785,593,11774,27.897621,3.457323,0.3952681206996559,253,7318,3.9526812069965596,0.13665694704693096
2020-07-05,16376,0,4747,585,11044,28.987543,3.572301,0.37738518800009124,265,7418,3.773851880000913,0.1348133457376975
2020-07-04,16376,0,4747,585,11044,28.987543,3.572301,0.37738518800009124,265,7418,3.773851880000913,0.1348133457376975
2020-07-03,16376,1.84713,4747,585,11044,28.987543,3.572301,0.37738518800009124,265,7418,3.773851880000913,0.1348133457376975
2020-07-02,16079,1.496023,4726,581,10772,29.392375,3.613409,0.370540818139562,270,7469,3.70540818139562,0.13389154508308077
2020-07-01,15842,1.395289,4052,572,11218,25.577579,3.610655,0.36507914926095786,274,7586,3.650791492609579,0.1318174936101931
2020-06-30,15624,1.804913,3990,565,11069,25.537634,3.616231,0.3600553356932966,278,7680,3.600553356932967,0.13020434246461382
2020-06-29,15347,0.754989,3939,560,10848,25.666254,3.648922,0.35367186616007573,283,7749,3.5367186616007578,0.1290520916463429
2020-06-28,15232,0.428562,3730,558,10944,24.48792,3.66334,0.35102168927805266,285,7777,3.5102168927805266,0.12859119131903451
2020-06-27,15167,2.072818,3730,554,10883,24.592866,3.652667,0.34952376321430045,286,7833,3.495237632143005,0.1276693906644178
2020-06-26,14859,1.655606,3730,553,10576,25.102631,3.72165,0.3424258981737516,292,7847,3.424258981737516,0.1274389405007636
2020-06-25,14617,1.768433,3719,546,10352,25.442977,3.735377,0.33684900421332037,297,7947,3.3684900421332036,0.12582578935518432
2020-06-24,14363,1.569903,3706,538,10119,25.802409,3.745736,0.3309955700565041,302,8066,3.309955700565041,0.12398218804595085
2020-06-23,14141,2.182239,3591,537,10013,25.394244,3.797468,0.3258795764233812,307,8081,3.2587957642338123,0.12375173788229667
2020-06-22,13839,0.647273,3534,526,9779,25.536527,3.800853,0.31891998148102485,314,8250,3.189199814810249,0.12121678608210065
2020-06-21,13750,0.880411,3530,526,9694,25.672727,3.825455,0.3168689750245026,316,8250,3.168689750245026,0.12121678608210065
2020-06-20,13630,1.308161,3530,524,9576,25.898753,3.844461,0.3141035730606524,318,8281,3.141035730606524,0.12075588575479228
2020-06-19,13454,1.947412,3516,522,9416,26.133492,3.879887,0.31004765018033875,323,8313,3.100476501803388,0.12029498542748392
2020-06-18,13197,1.554444,3506,520,9171,26.566644,3.940289,0.30412508097442625,329,8345,3.041250809744263,0.11983408510017554
2020-06-17,12995,2.751641,3444,518,9033,26.502501,3.986149,0.29946998766861177,334,8377,2.9946998766861177,0.11937318477286718
2020-06-16,12647,0,3431,505,8711,27.128963,3.993042,0.29145032197344617,343,8593,2.9145032197344616,0.11637733264536279
2020-06-15,12647,1.623142,3416,505,8726,27.010358,3.993042,0.29145032197344617,343,8593,2.9145032197344616,0.11637733264536279
2020-06-14,12445,0,3409,499,8537,27.392527,4.009642,0.28679522866763163,349,8696,2.8679522866763167,0.11499463166343768
2020-06-13,12445,2.293276,3409,499,8537,27.392527,4.009642,0.28679522866763163,349,8696,2.8679522866763167,0.11499463166343768
2020-06-12,12166,1.850147,3379,497,8290,27.774125,4.085155,0.2803656691016799,357,8731,2.8036566910167995,0.11453373133612932
2020-06-11,11945,0.521754,3379,493,8073,28.287987,4.12725,0.27527272048492246,363,8802,2.752727204849225,0.11361193068151258
2020-06-10,11883,1.503374,3375,484,8024,28.401919,4.073046,0.27384392947026653,365,8966,2.7384392947026654,0.11153787920862493
2020-06-09,11707,2.012896,3365,477,7865,28.743487,4.074485,0.2697880065899529,371,9097,2.697880065899529,0.10992472806304564
2020-06-08,11476,1.674493,3359,472,7645,29.26978,4.112931,0.26446460780954123,378,9194,2.6446460780954126,0.10877247724477472
2020-06-07,11287,0,3344,470,7473,29.627005,4.164083,0.26010909971647717,384,9233,2.6010909971647718,0.10831157691746636
2020-06-06,11287,2.824087,3344,470,7473,29.627005,4.164083,0.26010909971647717,384,9233,2.6010909971647718,0.10831157691746636
2020-06-05,10977,2.540869,3316,466,7195,30.208618,4.24524,0.25296514464319747,395,9312,2.529651446431975,0.10738977626284962
2020-06-04,10705,2.833814,3303,458,6944,30.854741,4.278375,0.24669690019180368,405,9475,2.466969001918037,0.10554617495361615
2020-06-03,10410,2.209131,3283,450,6677,31.536984,4.322767,0.23989862036400525,417,9643,2.3989862036400527,0.10370257364438268
2020-06-02,10185,1.383635,3275,442,6468,32.15513,4.339715,0.23471349168178612,426,9817,2.3471349168178612,0.1018589723351492
2020-06-01,10046,3.52432,3232,439,6375,32.172009,4.369898,0.23151023440699298,432,9885,2.31510234406993,0.10116762184418666
2020-05-31,9704,0,3232,431,6041,33.305853,4.441467,0.22362883881001988,447,10068,2.236288388100199,0.09932402053495319
2020-05-30,9704,2.535926,3231,431,6042,33.295548,4.441467,0.22362883881001988,447,10068,2.236288388100199,0.09932402053495319
2020-05-29,9464,3.037561,3181,418,5865,33.611581,4.416737,0.21809803488231946,459,10381,2.1809803488231947,0.0963281684074488
2020-05-28,9185,1.18982,3124,409,5652,34.011976,4.452912,0.21166847531636773,472,10610,2.1166847531636774,0.09425411693456115
2020-05-27,9077,1.407664,3124,400,5553,34.416657,4.406742,0.20917961354890255,478,10848,2.0917961354890258,0.0921800654616735
2020-05-26,8951,4.433555,3102,394,5455,34.655346,4.401743,0.20627594148685985,485,11014,2.062759414868599,0.0907973644797484
2020-05-25,8571,0,3102,391,5078,36.19181,4.561895,0.19751883526800088,506,11098,1.975188352680009,0.09010601398878584
2020-05-24,8571,0,3102,391,5078,36.19181,4.561895,0.19751883526800088,506,11098,1.975188352680009,0.09010601398878584
2020-05-23,8571,1.720864,3069,391,5111,35.80679,4.561895,0.19751883526800088,506,11098,1.975188352680009,0.09010601398878584
2020-05-22,8426,1.689597,3008,391,5027,35.699027,4.640399,0.1941773078950152,515,11098,1.9417730789501522,0.09010601398878584
2020-05-21,8286,1.457083,2919,386,4981,35.228096,4.65846,0.19095100560385664,524,11242,1.9095100560385665,0.08895376317051493
2020-05-20,8167,1.214525,2826,376,4965,34.602669,4.603894,0.18820864865637185,531,11541,1.8820864865637186,0.08664926153397308
2020-05-19,8069,1.688721,2826,366,4877,35.022927,4.535878,0.18595023705256084,538,11856,1.8595023705256086,0.08434475989743125
2020-05-18,7935,3.212799,2768,346,4821,34.883428,4.360428,0.18286220485959478,547,12541,1.828622048595948,0.07973575662434758
2020-05-17,7688,0,2768,334,4586,36.004162,4.344433,0.17717008581733645,564,12992,1.7717008581733646,0.07697035466049737
2020-05-16,7688,3.277808,2739,334,4615,35.626951,4.344433,0.17717008581733645,564,12992,1.7717008581733646,0.07697035466049737
2020-05-15,7444,3.031142,2712,332,4400,36.432026,4.459968,0.17154710182417435,583,13070,1.7154710182417439,0.076509454333189
2020-05-14,7225,5.42828,2649,328,4248,36.66436,4.539792,0.16650024324014773,601,13230,1.6650024324014776,0.07558765367857227
2020-05-13,6853,0,2546,321,3986,37.151612,4.68408,0.1579274971522121,633,13518,1.5792749715221213,0.07397450253299298
2020-05-12,6853,2.635914,2335,321,4197,34.072669,4.68408,0.1579274971522121,633,13518,1.5792749715221213,0.07397450253299298
2020-05-11,6677,3.680124,2308,311,4058,34.566422,4.65778,0.15387157427189846,650,13953,1.5387157427189848,0.07167000089645115
2020-05-10,6440,0,2308,304,3828,35.838509,4.720497,0.14840990539329432,674,14274,1.4840990539329433,0.07005684975087186
2020-05-09,6440,2.417303,2266,304,3870,35.186335,4.720497,0.14840990539329432,674,14274,1.4840990539329433,0.07005684975087186
2020-05-08,6288,2.594224,2177,298,3813,34.621501,4.739186,0.14490706290575073,690,14562,1.4490706290575073,0.06867414876894676
2020-05-07,6129,3.286148,2125,294,3710,34.671235,4.796867,0.1412429053036492,708,14760,1.4124290530364922,0.06775234811433002
2020-05-06,5934,1.923738,2058,283,3593,34.681496,4.769127,0.13674912711239262,731,15333,1.3674912711239262,0.065217396314134
2020-05-05,5822,11.000953,1892,275,3655,32.497424,4.723463,0.13416808527946575,745,15779,1.3416808527946578,0.06337379500490053
2020-05-04,5245,2.241715,1892,261,3092,36.07245,4.976168,0.12087111083661936,827,16626,1.2087111083661937,0.06014749271374196
2020-05-03,5130,5.144497,1752,253,3125,34.152047,4.931774,0.11822093395459625,846,17152,1.1822093395459625,0.058303891404508486
2020-05-02,4879,-0.06145,1752,248,2879,35.908998,5.083009,0.11243663484687624,889,17497,1.1243663484687625,0.05715164058623757
2020-05-01,4882,3.695837,1675,246,2961,34.309709,5.038918,0.1125057698959725,889,17640,1.125057698959725,0.0566907402589292
2020-04-30,4708,3.76901,1668,240,2800,35.429057,5.097706,0.1084959370483897,922,18081,1.0849593704838971,0.0553080392770041
2020-04-29,4537,3.702857,1617,234,2686,35.640291,5.157593,0.10455523924990315,956,18544,1.0455523924990315,0.05392533829507899
2020-04-28,4375,5.26949,1521,225,2629,34.765714,5.142857,0.10082194659870537,992,19286,1.0082194659870538,0.05185128682219134
2020-04-27,4156,1.738066,1511,213,2432,36.357074,5.12512,0.09577508801467875,1044,20372,0.9577508801467877,0.04908588485834114
2020-04-26,4085,4.342273,1501,208,2376,36.744186,5.091799,0.09413889185273405,1062,20862,0.9413889185273405,0.04793363404007022
2020-04-25,3915,3.598836,1341,205,2369,34.252874,5.236271,0.09022123907061293,1108,21167,0.9022123907061294,0.047242283549107665
2020-04-24,3779,8.623168,1341,200,2238,35.485578,5.292405,0.08708711684491603,1148,21697,0.8708711684491603,0.04609003273083675
2020-04-23,3479,2.989935,1311,191,1977,37.683242,5.490083,0.08017361193529052,1247,22719,0.8017361193529052,0.044015981257949095
2020-04-22,3378,5.430712,1266,185,1927,37.477798,5.476613,0.07784606528238326,1285,23456,0.7784606528238327,0.04263328027602399
