"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,28711,2.535624,17303,1970,9438,60.2661,6.861482,0.6333094150264466,158,2301,6.333094150264465,0.4345440937627041
2020-04-30,28001,1.232827,17303,1905,8793,61.794222,6.803328,0.6176481811903287,162,2380,6.176481811903288,0.4202063444761174
2020-04-29,27660,1.370666,17303,1845,8512,62.556038,6.670282,0.6101263773338271,164,2457,6.101263773338271,0.4069714989808066
2020-04-28,27286,0.805379,17303,1801,8182,63.413472,6.600454,0.6018766569750834,166,2517,6.018766569750834,0.39726594561757866
2020-04-27,27068,1.101856,17303,1740,8025,63.924191,6.428255,0.5970679964451205,167,2605,5.970679964451205,0.3838105193640127
2020-04-26,26773,0.98446,14927,1729,10117,55.753931,6.457999,0.5905608640765927,169,2622,5.9056086407659265,0.38138413102320573
2020-04-25,26512,1.423106,14927,1707,9878,56.302806,6.438594,0.5848037062861325,171,2656,5.848037062861325,0.3765313543415918
2020-04-24,26140,1.557947,14927,1660,9553,57.104055,6.350421,0.5765981020790398,173,2731,5.765981020790398,0.36616405870359836
2020-04-23,25739,1.904347,0,1599,24140,0,6.212363,0.5677528136730071,176,2835,5.677528136730071,0.35270863245003237
2020-04-22,25258,1.625493,0,1473,23785,0,5.831816,0.557142879200933,179,3078,5.571428792009329,0.3249154569098797
2020-04-21,24854,1.349753,0,1405,23449,0,5.653014,0.5482314165674237,182,3227,5.482314165674237,0.3099159653485275
2020-04-20,24523,2.486627,0,1328,23195,0,5.415324,0.5409301934691773,185,3414,5.409301934691772,0.2929312469628787
2020-04-19,23928,1.475827,0,1296,22632,0,5.416249,0.5278056383529941,189,3498,5.2780563835299406,0.2858726626987129
2020-04-18,23580,1.998443,0,1267,22313,0,5.373198,0.5201294279657138,192,3578,5.201294279657138,0.2794758207093127
2020-04-17,23118,2.600746,0,1213,21905,0,5.246994,0.5099385969343245,196,3737,5.099385969343245,0.267564459763533
2020-04-16,22532,2.646804,0,1156,21376,0,5.130481,0.49701256450057096,201,3922,4.97012564500571,0.25499135654298777
2020-04-15,21951,2.012269,0,1103,20848,0,5.024828,0.48419682244594503,207,4110,4.841968224459451,0.24330057635546323
2020-04-14,21518,2.388656,0,1013,20505,0,4.707687,0.47464567561349574,211,4475,4.7464567561349575,0.22344830811249705
2020-04-13,21016,2.044185,0,884,20132,0,4.206319,0.46357252154908574,216,5128,4.635725215490857,0.19499339029757887
2020-04-12,20595,2.902968,0,840,19755,0,4.07866,0.45428607162654266,220,5397,4.542860716265427,0.18528783693435097
2020-04-11,20014,3.952631,0,806,19208,0,4.027181,0.44147032957191673,227,5625,4.414703295719167,0.17778809115367486
2020-04-10,19253,5.305475,0,755,18498,0,3.921467,0.4246841338686975,235,6005,4.246841338686975,0.16653847248266068
2020-04-09,18283,7.357604,0,702,17581,0,3.839632,0.4032878003179451,248,6458,4.032878003179451,0.15484769229513617
2020-04-08,17030,4.581184,0,652,16378,0,3.828538,0.3756490313085711,266,6953,3.7564903130857106,0.14381865438237718
2020-04-07,16284,9.531176,0,582,15702,0,3.57406,0.35919370674273465,278,7789,3.5919370674273465,0.1283780013045146
2020-04-06,14867,14.273636,0,512,14355,0,3.443869,0.3279374132979757,305,8854,3.279374132979757,0.11293734822665202
2020-04-05,13010,4.113316,0,477,12533,0,3.66641,0.28697556648998884,348,9504,2.869755664899888,0.10521702168772074
2020-04-04,12496,21.355735,0,409,12087,0,3.273047,0.2756377155156726,363,11084,2.7563771551567258,0.0902175301263685
2020-04-03,10297,12.547819,0,370,9927,0,3.59328,0.22713200677535858,440,12253,2.2713200677535856,0.0816148805544165
2020-04-02,9149,42.419054,0,310,8839,0,3.388348,0.20180933572766394,496,14624,2.0180933572766393,0.06838003505910571
2020-04-01,6424,22.665648,0,273,6151,0,4.249689,0.14170107910312746,706,16606,1.4170107910312746,0.060218547003664066
2020-03-31,5237,30.111801,0,239,4998,0,4.563681,0.11551814309823763,866,18969,1.1551814309823762,0.05271880122298796
2020-03-30,4025,13.700565,0,185,3840,0,4.596273,0.08878375519770984,1126,24505,0.8878375519770985,0.04080744027720825
2020-03-29,3540,6.78733,0,151,3389,0,4.265537,0.07808558842233362,1281,30023,0.7808558842233363,0.03330769449653214
2020-03-28,3315,20.809038,0,137,3178,0,4.13273,0.07312252136159209,1368,33091,0.7312252136159209,0.030219563880959623
2020-03-27,2744,19.097222,0,119,2625,0,4.336735,0.06052736006522132,1652,38097,0.6052736006522131,0.02624911023236639
2020-03-26,2304,28.356546,0,83,2221,0,3.602431,0.05082180670199341,1968,54620,0.5082180670199341,0.01830820293517992
2020-03-25,1795,29.322767,0,65,1730,0,3.62117,0.03959424610680476,2526,69746,0.3959424610680476,0.014337749286586682
2020-03-24,1388,18.430034,0,46,1342,0,3.314121,0.030616609245818948,3266,98554,0.3061660924581895,0.010146714879738268
2020-03-23,1172,40.023895,0,35,1137,0,2.986348,0.025852064867507064,3868,129528,0.25852064867507063,0.007720326538931291
2020-03-22,837,43.076923,0,20,817,0,2.389486,0.018462609465958544,5416,226674,0.18462609465958543,0.004411615165103595
2020-03-21,585,8.736059,0,16,569,0,2.735043,0.012903974357928014,7750,283343,0.12903974357928014,0.0035292921320828757
2020-03-20,538,37.244898,0,14,524,0,2.60223,0.01186724479412867,8427,323821,0.11867244794128669,0.0030881306155725163
2020-03-19,392,52.529183,0,10,382,0,2.55102,0.008646765723603046,11565,453349,0.08646765723603045,0.0022058075825517973
2020-03-18,257,31.122449,0,4,253,0,1.55642,0.005668925487158119,17640,1133372,0.05668925487158119,0.0008823230330207189
2020-03-17,196,44.117647,0,4,192,0,2.040816,0.004323382861801523,23130,1133372,0.043233828618015224,0.0008823230330207189
2020-03-16,136,49.450549,0,3,133,0,2.205882,0.0029998983122704443,33334,1511162,0.029998983122704444,0.0006617422747655392
2020-03-15,91,18.181818,0,2,89,0,2.197802,0.0020072849001221355,49819,2266744,0.020072849001221357,0.00044116151651035947
2020-03-14,77,113.888889,0,1,76,0,1.298701,0.001698471838564884,58876,4533487,0.01698471838564884,0.00022058075825517973
2020-03-13,36,89.473684,0,0,36,0,0,0.0007940907297186471,125930,,0.00794090729718647,0
2020-03-12,19,216.666667,0,0,19,0,0,0.00041910344068484147,238605,,0.004191034406848415,0
2020-03-11,6,500,0,0,6,0,0,0.00013234845495310783,755581,,0.0013234845495310784,0
2020-03-10,1,,0,0,1,0,0,2.2058075825517975e-05,4533487,,0.00022058075825517973,0

