"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,25475,11.439195,0,756,24719,0,2.967615,0.3890628662975342,257,8661,3.890628662975342,0.1154588918237236
2020-04-11,22860,8.992085,0,686,22174,0,3.000875,0.349125696705069,286,9545,3.4912569670506897,0.10476825369189734
2020-04-10,20974,10.73333,0,599,20375,0,2.855917,0.32032206310989136,312,10931,3.2032206310989135,0.09148131772805614
2020-04-09,18941,12.811197,0,503,18438,0,2.655615,0.28927339550703024,346,13017,2.8927339550703026,0.07681987114726584
2020-04-08,16790,10.445994,0,433,16357,0,2.578916,0.256422591761947,390,15122,2.5642259176194697,0.06612923301543958
2020-04-07,15202,9.864855,0,356,14846,0,2.341797,0.2321701155428897,431,18393,2.321701155428897,0.05436953107043069
2020-04-06,13837,10.696,0,260,13577,0,1.87902,0.2113233711858285,473,25184,2.113233711858285,0.03970808448964039
2020-04-05,12500,6.509884,0,231,12269,0,1.848,0.19090425235404035,524,28345,1.9090425235404034,0.03527910583502666
2020-04-04,11736,12.824457,0,216,11520,0,1.840491,0.1792361844501614,558,30314,1.7923618445016138,0.032988254806778174
2020-04-03,10402,16.016061,0,192,10210,0,1.845799,0.15886288263893822,629,34103,1.5886288263893822,0.029322893161580595
2020-04-02,8966,15.869734,0,154,8812,0,1.7176,0.13693180212850606,730,42518,1.3693180212850606,0.02351940389001777
2020-04-01,7738,16.888218,0,122,7616,0,1.576635,0.11817736837724513,846,53670,1.1817736837724513,0.018632255029754338
2020-03-31,6620,15.090403,0,89,6531,0,1.344411,0.10110289204669975,989,73571,1.0110289204669975,0.013592382767607672
2020-03-30,5752,16.084763,0,56,5696,0,0.973574,0.0878465007632352,1138,116925,0.878465007632352,0.008552510505461007
2020-03-29,4955,16.396523,0,48,4907,0,0.968718,0.07567444563314159,1321,136412,0.756744456331416,0.007330723290395149
2020-03-28,4257,31.388889,0,44,4213,0,1.033592,0.06501435218169198,1538,148813,0.6501435218169198,0.00671982968286222
2020-03-27,3240,34.050476,0,35,3205,0,1.080247,0.04948238221016726,2021,187080,0.4948238221016726,0.005345319065913129
2020-03-26,2417,31.501632,0,25,2392,0,1.03434,0.03691324623517724,2709,261911,0.3691324623517724,0.003818085047080807
2020-03-25,1838,58.584987,0,15,1823,0,0.816104,0.02807056126613809,3562,436519,0.28070561266138094,0.0022908510282484843
2020-03-24,1159,49.163449,0,11,1148,0,0.949094,0.01770064227826662,5650,595253,0.1770064227826662,0.001679957420715555
2020-03-23,777,20.278638,0,9,768,0,1.158301,0.011866608326327147,8427,727532,0.11866608326327148,0.0013745106169490904
2020-03-22,646,23.047619,0,5,641,0,0.773994,0.009865931761656805,10136,1309557,0.09865931761656804,0.0007636170094161614
2020-03-21,525,27.118644,0,1,524,0,0.190476,0.008017978598869694,12472,6547785,0.08017978598869695,0.00015272340188323227
2020-03-20,413,25.914634,0,1,412,0,0.242131,0.006307476497777493,15854,6547785,0.06307476497777492,0.00015272340188323227
2020-03-19,328,50.458716,0,0,328,0,0,0.0050093275817700185,19963,,0.050093275817700185,0
2020-03-18,218,0,0,0,218,0,0,0.0033293701610544635,30036,,0.03329370161054464,0
2020-03-17,218,10.659898,1,0,217,0.458716,0,0.0033293701610544635,30036,,0.03329370161054464,0
2020-03-16,197,20.121951,1,0,196,0.507614,0,0.0030086510170996756,33237,,0.03008651017099676,0
2020-03-15,164,18.84058,1,0,163,0.609756,0,0.0025046637908850092,39926,,0.025046637908850092,0
2020-03-14,138,12.195122,1,0,137,0.724638,0,0.0021075829459886054,47448,,0.021075829459886054,0
2020-03-13,123,13.888889,1,0,122,0.813008,0,0.001878497843163757,53234,,0.01878497843163757,0
2020-03-12,108,13.684211,1,0,107,0.925926,0,0.0016494127403389085,60628,,0.016494127403389087,0
2020-03-11,95,3.26087,1,0,94,1.052632,0,0.0014508723178907066,68924,,0.014508723178907066,0
2020-03-10,92,,1,0,91,1.086957,0,0.0014050552973257368,71172,,0.01405055297325737,0

