"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,937,3.307607,485,44,408,51.760939,4.695838,0.07053821334308974,1418,30190,0.7053821334308974,0.033123600716072024
2020-04-22,907,2.13964,455,39,413,50.16538,4.29989,0.06827978602153938,1465,34060,0.6827978602153938,0.029359555180154748
2020-04-21,888,1.485714,443,36,409,49.887387,4.054054,0.06684944871789081,1496,36899,0.6684944871789081,0.027101127858604385
2020-04-20,875,0.922722,414,35,426,47.314286,4,0.06587079687855232,1518,37953,0.6587079687855232,0.026348318751420928
2020-04-19,867,2.361275,393,34,440,45.32872,3.921569,0.06526854959280555,1532,39069,0.6526854959280556,0.025595509644237475
2020-04-18,847,2.41838,382,32,433,45.100354,3.77804,0.06376293137843865,1568,41511,0.6376293137843865,0.02408989142987056
2020-04-17,827,3.894472,352,29,446,42.563482,3.506651,0.06225731316407174,1606,45805,0.6225731316407174,0.0218314641083202
2020-04-16,796,3.376623,333,27,436,41.834171,3.39196,0.05992360493180302,1669,49198,0.5992360493180302,0.02032584589395329
2020-04-15,770,4.761905,305,24,441,39.61039,3.116883,0.05796630125312604,1725,55348,0.5796630125312604,0.018067418572402922
2020-04-14,735,5.30086,292,20,423,39.727891,2.721088,0.055331469377983944,1807,66418,0.5533146937798394,0.015056182143669102
2020-04-13,698,10.268562,273,19,406,39.111748,2.722063,0.052546075681405166,1903,69914,0.5254607568140517,0.014303373036485647
2020-04-12,633,2.75974,266,19,348,42.022117,3.00158,0.04765281648471271,2099,69914,0.47652816484712707,0.014303373036485647
2020-04-11,616,5.119454,0,19,597,0,3.084416,0.04637304100250083,2156,69914,0.4637304100250083,0.014303373036485647
2020-04-10,586,4.642857,0,17,569,0,2.901024,0.04411461368095047,2267,78139,0.4411461368095047,0.012797754822118737
2020-04-09,560,4.283054,0,16,544,0,2.857143,0.04215731000227348,2372,83022,0.42157310002273485,0.01204494571493528
2020-04-08,537,3.468208,0,14,523,0,2.607076,0.040425849055751535,2474,94883,0.4042584905575154,0.01053932750056837
2020-04-07,519,4.008016,0,12,507,0,2.312139,0.03907079266282132,2559,110697,0.3907079266282132,0.009033709286201461
2020-04-06,499,6.170213,0,10,489,0,2.004008,0.037565174448454405,2662,132836,0.3756517444845441,0.007528091071834551
2020-04-05,470,3.070175,0,10,460,0,2.12766,0.03538202803762239,2826,132836,0.3538202803762239,0.007528091071834551
2020-04-04,456,5.555556,0,10,446,0,2.192982,0.03432809528756555,2913,132836,0.3432809528756555,0.007528091071834551
2020-04-03,432,14.893617,0,9,423,0,2.083333,0.03252135343032526,3075,147595,0.3252135343032526,0.006775281964651096
2020-04-02,376,24.092409,0,7,369,0,1.861702,0.02830562243009791,3533,189765,0.2830562243009791,0.005269663750284185
2020-04-01,303,0,0,5,298,0,1.650165,0.02281011594765869,4384,265672,0.2281011594765869,0.0037640455359172756
2020-03-31,303,10.181818,0,5,298,0,1.650165,0.02281011594765869,4384,265672,0.2281011594765869,0.0037640455359172756
2020-03-30,275,8.695652,0,3,272,0,1.090909,0.020702250447545013,4830,442786,0.20702250447545015,0.0022584273215503652
2020-03-29,253,19.905213,0,3,250,0,1.185771,0.019046070411741414,5250,442786,0.19046070411741414,0.0022584273215503652
2020-03-28,211,25.595238,0,1,210,0,0.473934,0.0158842721615709,6296,1328358,0.15884272161570903,0.000752809107183455
2020-03-27,168,8.387097,0,1,167,0,0.595238,0.012647193000682046,7907,1328358,0.12647193000682044,0.000752809107183455
2020-03-26,155,9.15493,0,0,155,0,0,0.011668541161343554,8570,,0.11668541161343554,0
2020-03-25,142,20.338983,0,0,142,0,0,0.010689889322005063,9355,,0.10689889322005063,0
2020-03-24,118,10.280374,0,0,118,0,0,0.00888314746476477,11257,,0.0888314746476477,0
2020-03-23,107,20.224719,0,0,107,0,0,0.00805505744686297,12415,,0.08055057446862969,0
2020-03-22,89,27.142857,0,0,89,0,0,0.00670000105393275,14925,,0.0670000105393275,0
2020-03-21,70,25,0,0,70,0,0,0.005269663750284185,18977,,0.052696637502841856,0
2020-03-20,56,7.692308,0,0,56,0,0,0.004215731000227348,23721,,0.04215731000227348,0
2020-03-19,52,23.809524,0,0,52,0,0,0.003914607357353966,25545,,0.039146073573539664,0
2020-03-18,42,31.25,0,0,42,0,0,0.0031617982501705114,31628,,0.03161798250170511,0
2020-03-17,32,88.235294,0,0,32,0,0,0.002408989142987056,41511,,0.02408989142987056,0
2020-03-16,17,41.666667,0,0,17,0,0,0.0012797754822118737,78139,,0.012797754822118737,0
2020-03-15,12,300,0,0,12,0,0,0.0009033709286201461,110697,,0.009033709286201461,0
2020-03-14,3,200,0,0,3,0,0,0.00022584273215503652,442786,,0.0022584273215503652,0
2020-03-13,1,,0,0,1,0,0,7.52809107183455e-05,1328358,,0.000752809107183455,0

