"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,17221,9.562285,0,727,16494,0,4.22159,0.17422903575797774,574,13596
2020-04-05,15718,10.495606,0,617,15101,0,3.925436,0.1590228200478424,629,16020
2020-04-04,14225,11.621155,0,540,13685,0,3.796134,0.14391777676425488,695,18304
2020-04-03,12744,18.098415,0,479,12265,0,3.758632,0.12893414039252474,776,20635
2020-04-02,10791,15.845411,0,417,10374,0,3.864331,0.1091751654877381,916,23703
2020-04-01,9315,22.32436,0,335,8980,0,3.59635,0.09424211532928185,1061,29505
2020-03-31,7615,17.189905,0,259,7356,0,3.401182,0.07704280281615472,1298,38163
2020-03-30,6498,18.40379,0,184,6314,0,2.831641,0.06574184277076472,1521,53718
2020-03-29,5488,18.021505,0,132,5356,0,2.405248,0.055523427689436265,1801,74880
2020-03-28,4650,27.958173,0,111,4539,0,2.387097,0.04704517834473007,2126,89046
2020-03-27,3634,27.732865,0,92,3542,0,2.531646,0.03676605980747292,2720,107436
2020-03-26,2845,23.91115,0,61,2784,0,2.144112,0.02878355535285098,3474,162035
2020-03-25,2296,28.053542,0,43,2253,0,1.872822,0.023229189135376395,4305,229863
2020-03-24,1793,34.913469,0,24,1769,0,1.338539,0.018140216080021723,5513,411838
2020-03-23,1329,28.405797,0,15,1314,0,1.128668,0.013445815488203497,7437,658941
2020-03-22,1035,31.345178,0,9,1026,0,0.869565,0.010471346147697983,9550,1098235
2020-03-21,788,42.753623,0,5,783,0,0.634518,0.00797238721196716,12543,1976823
2020-03-20,552,65.269461,0,3,549,0,0.543478,0.0055847179454389245,17906,3294705
2020-03-19,334,302.409639,0,3,331,0,0.898204,0.0033791590466967403,29593,3294705
2020-03-18,83,27.692308,0,0,83,0,0,0.0008397311403467948,119086,
2020-03-17,65,22.641509,0,0,65,0,0,0.000657620772560743,152063,
2020-03-16,53,60.606061,0,0,53,0,0,0.000536213860703375,186493,
2020-03-15,33,32,0,0,33,0,0,0.0003338690076077618,299519,
2020-03-14,25,56.25,0,0,25,0,0,0.0002529310663695165,395365,
2020-03-13,16,700,0,0,16,0,0,0.00016187588247649055,617757,
2020-03-12,2,0,0,0,2,0,0,2.023448530956132e-05,4942058,
2020-03-11,2,,0,0,2,0,0,2.023448530956132e-05,4942058,

