"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-23,2942,8.082292,1536,200,1206,52.209381,6.798097,0.055468335065697545,1803,26520,0.5546833506569755,0.03770790962997794
2020-04-22,2722,6.038177,1317,179,1226,48.383542,6.576047,0.05132046500639997,1949,29631,0.5132046500639997,0.03374857911883026
2020-04-21,2567,3.927126,1254,160,1153,48.850799,6.232957,0.04839810201007669,2066,33150,0.4839810201007669,0.03016632770398235
2020-04-20,2470,4.83871,1202,143,1125,48.663968,5.789474,0.04656926839302276,2147,37090,0.46569268393022756,0.026961155385434227
2020-04-19,2356,6.654595,1160,134,1062,49.235993,5.687606,0.044419917544114014,2251,39582,0.4441991754411401,0.02526429945208522
2020-04-18,2209,6.714976,1118,121,970,50.611136,5.477592,0.041648386186310636,2401,43834,0.4164838618631064,0.022813285326136655
2020-04-17,2070,14.427861,1066,111,893,51.497585,5.362319,0.039027686467027166,2562,47783,0.3902768646702717,0.020927889844637757
2020-04-16,1809,0,1020,87,702,56.384743,4.809287,0.034106804260315045,2932,60965,0.3410680426031505,0.016402940689040406
2020-04-15,1809,6.725664,940,87,782,51.96241,4.809287,0.034106804260315045,2932,60965,0.3410680426031505,0.016402940689040406
2020-04-14,1695,4.565083,909,79,707,53.628319,4.660767,0.0319574534114063,3129,67138,0.31957453411406306,0.014894624303841288
2020-04-13,1621,0,842,70,709,51.943245,4.318322,0.03056226075509712,3272,75770,0.3056226075509712,0.01319776837049228
2020-04-12,1621,13.594954,842,70,709,51.943245,4.318322,0.03056226075509712,3272,75770,0.3056226075509712,0.01319776837049228
2020-04-11,1427,6.811377,0,64,1363,0,4.484933,0.02690459352098926,3717,82874,0.2690459352098926,0.012066531081592941
2020-04-10,1336,7.741935,0,57,1279,0,4.266467,0.025188883632825263,3970,93051,0.25188883632825265,0.010746754244543714
2020-04-09,1240,7.45234,0,50,1190,0,4.032258,0.023378903970586323,4277,106079,0.23378903970586323,0.009426977407494486
2020-04-08,1154,7.951356,0,39,1115,0,3.379549,0.02175746385649727,4596,135998,0.21757463856497272,0.007353042377845699
2020-04-07,1069,8.41785,0,34,1035,0,3.180543,0.020154877697223208,4962,155998,0.20154877697223209,0.00641034463709625
2020-04-06,986,5.454545,0,30,956,0,3.042596,0.018589999447579122,5379,176798,0.18589999447579125,0.005656186444496691
2020-04-05,935,8.092486,0,29,906,0,3.101604,0.017628447752014685,5673,182894,0.17628447752014687,0.005467646896346801
2020-04-04,865,9.771574,0,24,841,0,2.774566,0.01630867091496546,6132,220997,0.1630867091496546,0.004524949155597353
2020-04-03,788,6.199461,0,22,766,0,2.791878,0.014856916394211307,6731,241088,0.14856916394211309,0.0041478700592975735
2020-04-02,742,7.692308,0,18,724,0,2.425876,0.013989634472721816,7148,294663,0.13989634472721815,0.0033937118666980148
2020-04-01,689,9.538951,0,17,672,0,2.467344,0.0129903748675274,7698,311996,0.12990374867527402,0.003205172318548125
2020-03-31,629,9.201389,0,12,617,0,1.90779,0.011859137578628063,8432,441994,0.11859137578628062,0.0022624745777986765
2020-03-30,576,14.512922,0,10,566,0,1.736111,0.010859877973433647,9208,530393,0.10859877973433647,0.001885395481498897
2020-03-29,503,14.058957,0,9,494,0,1.789264,0.009483539271939451,10545,589325,0.09483539271939452,0.0016968559333490074
2020-03-28,441,11.363636,0,5,436,0,1.133787,0.008314594073410135,12027,1060785,0.08314594073410136,0.0009426977407494485
2020-03-27,396,15.116279,0,4,392,0,1.010101,0.007466166106735632,13394,1325982,0.07466166106735632,0.0007541581925995588
2020-03-26,344,20.27972,0,2,342,0,0.581395,0.0064857604563562056,15418,2651964,0.06485760456356206,0.0003770790962997794
2020-03-25,286,9.578544,0,1,285,0,0.34965,0.0053922310770868455,18545,5303927,0.053922310770868453,0.0001885395481498897
2020-03-24,261,11.538462,0,1,260,0,0.383142,0.004920882206712121,20322,5303927,0.04920882206712121,0.0001885395481498897
2020-03-23,234,40.11976,0,1,233,0,0.42735,0.004411825426707419,22666,5303927,0.04411825426707419,0.0001885395481498897
2020-03-22,167,21.014493,0,1,166,0,0.598802,0.003148610454103158,31760,5303927,0.03148610454103158,0.0001885395481498897
2020-03-21,138,20,0,1,137,0,0.724638,0.002601845764468478,38434,5303927,0.02601845764468478,0.0001885395481498897
2020-03-20,115,29.213483,0,0,115,0,0,0.0021682048037237316,46121,,0.021682048037237316,0
2020-03-19,89,15.584416,0,0,89,0,0,0.0016780019785340183,59595,,0.016780019785340185,0
2020-03-18,77,28.333333,0,0,77,0,0,0.0014517545207541507,68882,,0.014517545207541508,0
2020-03-17,60,11.111111,0,0,60,0,0,0.0011312372888993383,88399,,0.011312372888993382,0
2020-03-16,54,54.285714,0,0,54,0,0,0.0010181135600094043,98221,,0.010181135600094045,0
2020-03-15,35,66.666667,0,0,35,0,0,0.0006598884185246139,151541,,0.00659888418524614,0
2020-03-14,21,50,0,0,21,0,0,0.00039593305111476835,252568,,0.003959330511147684,0
2020-03-13,14,55.555556,0,0,14,0,0,0.00026395536740984557,378852,,0.002639553674098456,0
2020-03-12,9,80,0,0,9,0,0,0.00016968559333490073,589325,,0.0016968559333490074,0
2020-03-11,5,66.666667,0,0,5,0,0,9.426977407494485e-05,1060785,,0.0009426977407494485,0
2020-03-10,3,,0,0,3,0,0,5.656186444496691e-05,1767976,,0.0005656186444496691,0

