"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-01,81555,0,74991,961,5603,91.951444,1.178346,8.242816151492763,12,1030,82.42816151492762,0.9712888629249641
2020-12-31,81555,0.313653,74991,961,5603,91.951444,1.178346,8.242816151492763,12,1030,82.42816151492762,0.9712888629249641
2020-12-30,81300,1.086713,74970,950,5380,92.214022,1.168512,8.217043137960415,12,1041,82.17043137960414,0.9601710923815983
2020-12-29,80426,0.533757,74096,939,5391,92.129411,1.167533,8.128707397461307,12,1054,81.28707397461308,0.9490533218382323
2020-12-28,79999,0.274505,73481,927,5591,91.852398,1.158764,8.085550233624787,12,1067,80.85550233624787,0.9369248448818333
2020-12-27,79780,0.436846,72729,924,6127,91.161945,1.158185,8.063415763179359,12,1071,80.63415763179358,0.9338927256427334
2020-12-26,79433,0.638549,72284,919,6230,90.999962,1.15695,8.028344250647105,12,1077,80.28344250647105,0.9288391935775672
2020-12-25,78929,0,70176,916,7837,88.910286,1.160537,7.9774046474302285,13,1080,79.77404647430228,0.9258070743384673
2020-12-24,78929,0.518326,70176,916,7837,88.910286,1.160537,7.9774046474302285,13,1080,79.77404647430228,0.9258070743384673
2020-12-23,78522,0.737681,69555,914,8053,88.58027,1.164005,7.936268896419775,13,1083,79.36268896419774,0.9237856615124008
2020-12-22,77947,0.805701,69101,895,7951,88.651263,1.148216,7.8781532776703624,13,1105,78.78153277670361,0.9045822396647688
2020-12-21,77324,0.199559,68440,881,8003,88.510682,1.139362,7.81518626813839,13,1123,78.1518626813839,0.8904323498823032
2020-12-20,77170,0.719143,67435,865,8870,87.384994,1.120902,7.799621389377678,13,1144,77.99621389377677,0.8742610472737711
2020-12-19,76619,0.825087,67271,864,8484,87.799371,1.127658,7.743931466019545,13,1145,77.43931466019545,0.8732503408607377
2020-12-18,75992,0.674324,65873,854,9265,86.684125,1.123803,7.68056017392236,13,1159,76.80560173922359,0.8631432767304051
2020-12-17,75483,1.124002,65393,849,9241,86.632752,1.124757,7.629115217498967,13,1165,76.29115217498966,0.8580897446652388
2020-12-16,74644,0.815775,64737,836,9071,86.727667,1.119983,7.544316949445476,13,1184,75.44316949445475,0.8449505612958065
2020-12-15,74040,1.005416,64298,826,8916,86.842247,1.115613,7.483270282098267,13,1198,74.83270282098266,0.8348434971654738
