"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-11,83906,2.284474,55318,1513,27075,65.928539,1.803208,0.87990972079703,114,6303,8.7990972079703,0.1586660557726392
2020-07-10,82032,2.982826,55318,1497,25217,67.43466,1.824898,0.8602573620053627,116,6370,8.602573620053628,0.15698815961113077
2020-07-09,79656,2.53453,55318,1477,22861,69.446118,1.854223,0.8353406040069629,120,6456,8.353406040069629,0.15489078940924528
2020-07-08,77687,1.831171,55318,1462,20907,71.206251,1.881911,0.8146919943694,123,6522,8.146919943694,0.15331776175783113
2020-07-07,76290,2.026078,55318,1446,19526,72.510159,1.895399,0.8000418635092297,125,6595,8.000418635092297,0.15163986559632273
2020-07-06,74775,2.442733,55318,1432,18025,73.979271,1.915079,0.7841542842299468,128,6659,7.841542842299469,0.15017170645500286
2020-07-05,72992,1.844565,45538,1423,26031,62.387659,1.949529,0.7654562288801375,131,6701,7.654562288801375,0.1492278898641544
2020-07-04,71670,2.003928,45538,1422,24710,63.53844,1.984094,0.7515926118456743,133,6706,7.5159261184567425,0.1491230213540601
2020-07-03,70262,2.999296,45538,1419,23305,64.811705,2.019584,0.7368271256244002,136,6720,7.368271256244002,0.14880841582377727
2020-07-02,68216,2.194724,45538,1409,21269,66.7556,2.065498,0.7153710284591114,140,6768,7.153710284591114,0.14775973072283452
2020-07-01,66751,2.179803,45538,1398,19815,68.220701,2.094351,0.7000077917303,143,6821,7.000077917303,0.1466061771117975
2020-06-30,65327,2.496234,45538,1380,18409,69.707778,2.11245,0.6850745158928752,146,6910,6.850745158928751,0.14471854393010053
2020-06-29,63736,2.390438,45538,1357,16841,71.447847,2.129095,0.6683899359368759,150,7027,6.683899359368758,0.14230656819793217
2020-06-28,62248,2.361376,36921,1352,23975,59.312749,2.171957,0.6527855016348476,153,7053,6.527855016348476,0.1417822256474608
2020-06-27,60812,2.795902,36921,1353,22538,60.713346,2.22489,0.6377263835853096,157,7048,6.377263835853096,0.14188709415755507
2020-06-26,59158,2.933602,36921,1348,20889,62.410832,2.278644,0.6203811320157164,161,7074,6.203811320157164,0.1413627516070837
2020-06-25,57472,1.671767,36921,1336,19215,64.241718,2.32461,0.6027003012138216,166,7138,6.027003012138215,0.1401043294859524
2020-06-24,56527,3.455407,36921,1325,18281,65.31569,2.344013,0.5927902270099125,169,7197,5.927902270099125,0.13895077587491536
2020-06-23,54639,1.250834,36921,1296,16422,67.572613,2.371932,0.5729910523041132,175,7358,5.7299105230411325,0.13590958908218137
2020-06-22,53964,2.20261,36921,1278,15765,68.417834,2.368245,0.5659124278727496,177,7461,5.659124278727496,0.1340219559004844
2020-06-21,52801,2.74567,29219,1223,22359,55.337967,2.316244,0.5537162201487853,181,7797,5.537162201487853,0.12825418784529924
2020-06-20,51390,3.223863,29219,1215,20956,56.857365,2.364273,0.5389192733744831,186,7848,5.389192733744831,0.12741523976454502
2020-06-19,49785,3.359146,29219,1202,19364,58.690369,2.414382,0.5220878775043518,192,7933,5.220878775043517,0.12605194913331944
2020-06-18,48167,2.627093,29219,1188,17760,60.661864,2.466419,0.505120152571098,198,8027,5.0512015257109795,0.12458378999199958
2020-06-17,46934,2.237132,29219,1181,16534,62.255508,2.516299,0.4921898652764738,203,8074,4.921898652764738,0.12384971042133965
2020-06-16,45907,1.757769,29219,1169,15519,63.648245,2.546453,0.48141986928979164,208,8157,4.814198692897916,0.12259128830020834
2020-06-15,45114,1.920296,29219,1140,14755,64.767035,2.526932,0.4731037964393156,211,8365,4.731037964393156,0.11955010150747435
2020-06-14,44264,3.311938,23653,1132,19479,53.436201,2.557383,0.46418997308130217,215,8424,4.641899730813021,0.11871115342672013
2020-06-13,42845,3.44786,23653,1127,18065,55.205975,2.630412,0.44930913149892443,223,8461,4.493091314989244,0.11818681087624876
2020-06-12,41417,4.630659,23653,1121,16643,57.1094,2.706618,0.4343339082574618,230,8506,4.3433390825746185,0.1175575998156831
2020-06-11,39584,2.887739,23653,1106,14825,59.753941,2.794058,0.4151115103571811,241,8622,4.151115103571811,0.11598457216426897
2020-06-10,38473,3.347033,23653,1090,13730,61.479479,2.833156,0.40346061888570706,248,8748,4.034606188857071,0.11430667600276055
2020-06-09,37227,1.9443,23653,1068,12506,63.537218,2.868885,0.3903940025279603,256,8929,3.903940025279603,0.1119995687806865
2020-06-08,36517,2.50386,23653,1041,11823,64.772572,2.850727,0.38294833831126673,261,9160,3.829483383112667,0.10916811900814105
2020-06-07,35625,2.612478,18860,1032,15733,52.940351,2.896842,0.3735940672108573,268,9240,3.735940672108573,0.10822430241729257
2020-06-06,34718,4.273915,18860,1028,14830,54.323406,2.961,0.3640824933453065,275,9276,3.6408249334530653,0.10780482837691546
2020-06-05,33295,3.803585,18860,1015,13420,56.645142,3.048506,0.3491597043588911,286,9395,3.4915970435889108,0.10644153774568987
2020-06-04,32075,2.554675,18860,1006,12209,58.799688,3.136399,0.33636574612738945,297,9479,3.3636574612738945,0.10549772115484139
2020-06-03,31276,4.173467,18860,999,11417,60.301829,3.194142,0.3279867521708568,305,9545,3.279867521708568,0.10476364158418146
2020-06-02,30023,1.456475,18860,961,10202,62.818506,3.200879,0.31484672785604406,318,9923,3.1484672785604406,0.10077863820059899
2020-06-01,29592,2.803544,18860,948,9784,63.733441,3.203569,0.31032689507098077,322,10059,3.1032689507098077,0.0994153475693734
2020-05-31,28785,3.565518,14954,937,12894,51.950669,3.255168,0.3018640063063727,331,10177,3.018640063063727,0.09826179395833637
2020-05-30,27794,3.381068,14954,929,11911,53.802979,3.342448,0.29147153695603,343,10265,2.9147153695603,0.09742284587758217
2020-05-29,26885,4.205426,14954,919,11012,55.622094,3.418263,0.28193898938846035,355,10376,2.8193898938846034,0.0963741607766394
