"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,1474,18.014412,0,28,1446,0,1.899593,0.08070941053109967,1239,65225,0.8070941053109968,0.015331502678906315
2020-04-18,1249,17.166979,0,24,1225,0,1.921537,0.06838945302126424,1462,76096,0.6838945302126425,0.013141288010491128
2020-04-17,1066,11.97479,0,24,1042,0,2.251407,0.05836922091326476,1713,76096,0.5836922091326476,0.013141288010491128
2020-04-16,952,5.660377,0,21,931,0,2.205882,0.05212710910828148,1918,86967,0.5212710910828148,0.011498627009179738
2020-04-15,901,0.445931,0,20,881,0,2.219756,0.04933458540605211,2027,91315,0.4933458540605211,0.01095107334207594
2020-04-14,897,10.19656,0,20,877,0,2.229654,0.04911556393921059,2036,91315,0.4911556393921059,0.01095107334207594
2020-04-13,814,2.907712,0,17,797,0,2.088452,0.044570868502249075,2244,107430,0.4457086850224907,0.009308412340764549
2020-04-12,791,13.16166,0,17,774,0,2.149178,0.04331149506791034,2309,107430,0.43311495067910344,0.009308412340764549
2020-04-11,699,10.07874,0,17,682,0,2.432046,0.03827400133055541,2613,107430,0.38274001330555407,0.009308412340764549
2020-04-10,635,11.795775,0,15,620,0,2.362205,0.03476965786109111,2876,121754,0.3476965786109111,0.008213305006556955
2020-04-09,568,9.441233,0,14,554,0,2.464789,0.03110104829149567,3215,130450,0.3110104829149567,0.007665751339453158
2020-04-08,519,16.107383,0,12,507,0,2.312139,0.028418035322687066,3519,152192,0.28418035322687063,0.006570644005245564
2020-04-07,447,7.194245,0,10,437,0,2.237136,0.024475648919539725,4086,182631,0.24475648919539725,0.00547553667103797
2020-04-06,417,14.56044,0,9,408,0,2.158273,0.022832987918228336,4380,202923,0.22832987918228334,0.004927983003934173
2020-04-05,364,13.395639,0,8,356,0,2.197802,0.01993095348257821,5017,228288,0.1993095348257821,0.004380429336830376
2020-04-04,321,15.053763,0,6,315,0,1.869159,0.017576472714031885,5689,304384,0.17576472714031882,0.003285322002622782
2020-04-03,279,13.414634,0,6,273,0,2.150538,0.015276747312195936,6546,304384,0.15276747312195937,0.003285322002622782
2020-04-02,246,17.142857,0,5,241,0,2.03252,0.013469820210753406,7424,365261,0.13469820210753405,0.002737768335518985
2020-04-01,210,22.093023,0,4,206,0,1.904762,0.011498627009179738,8697,456576,0.11498627009179736,0.002190214668415188
2020-03-31,172,18.62069,0,3,169,0,1.744186,0.009417923074185309,10618,608768,0.09417923074185308,0.001642661001311391
2020-03-30,145,34.259259,0,2,143,0,1.37931,0.007939528173005056,12595,913153,0.07939528173005056,0.001095107334207594
2020-03-29,108,12.5,0,2,106,0,1.851852,0.005913579604721008,16910,913153,0.059135796047210074,0.001095107334207594
2020-03-28,96,17.073171,0,2,94,0,2.083333,0.005256515204196451,19024,913153,0.05256515204196451,0.001095107334207594
2020-03-27,82,10.810811,0,0,82,0,0,0.004489940070251135,22272,,0.044899400702511354,0
2020-03-26,74,4.225352,0,0,74,0,0,0.004051897136568098,24680,,0.04051897136568098,0
2020-03-25,71,7.575758,0,0,71,0,0,0.003887631036436959,25723,,0.03887631036436959,0
2020-03-24,66,29.411765,0,0,66,0,0,0.0036138542028850604,27671,,0.0361385420288506,0
2020-03-23,51,0,0,0,51,0,0,0.002792523702229365,35810,,0.027925237022293648,0
2020-03-22,51,34.210526,0,0,51,0,0,0.002792523702229365,35810,,0.027925237022293648,0
2020-03-21,38,2.702703,0,0,38,0,0,0.002080703934994429,48061,,0.020807039349944285,0
2020-03-20,37,27.586207,0,0,37,0,0,0.002025948568284049,49360,,0.02025948568284049,0
2020-03-19,29,20.833333,0,0,29,0,0,0.0015879056346010114,62976,,0.015879056346010112,0
2020-03-18,24,14.285714,0,0,24,0,0,0.0013141288010491128,76096,,0.013141288010491128,0
2020-03-17,21,16.666667,0,0,21,0,0,0.0011498627009179738,86967,,0.011498627009179738,0
2020-03-16,18,5.882353,0,0,18,0,0,0.0009855966007868346,101461,,0.009855966007868346,0
2020-03-15,17,21.428571,0,0,17,0,0,0.0009308412340764549,107430,,0.009308412340764549,0
2020-03-14,14,7.692308,0,0,14,0,0,0.0007665751339453158,130450,,0.007665751339453158,0
2020-03-13,13,30,0,0,13,0,0,0.0007118197672349361,140485,,0.007118197672349361,0
2020-03-12,10,100,0,0,10,0,0,0.000547553667103797,182631,,0.00547553667103797,0
2020-03-11,5,66.666667,0,0,5,0,0,0.0002737768335518985,365261,,0.002737768335518985,0
2020-03-10,3,,0,0,3,0,0,0.0001642661001311391,608768,,0.001642661001311391,0

