"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,715,15.136876,0,9,706,0,1.258741,0.05431223992792804,1841,146274
2020-04-05,621,15,0,9,612,0,1.449275,0.0471718895038368,2120,146274
2020-04-04,540,12.734864,0,7,533,0,1.296296,0.041019034351162435,2438,188066
2020-04-03,479,51.582278,0,5,474,0,1.043841,0.03638540269297556,2748,263292
2020-04-02,316,-13.896458,0,3,313,0,0.949367,0.02400373121290246,4166,438821
2020-04-01,367,2.80112,0,3,364,0,0.817439,0.02787775112384558,3587,438821
2020-03-31,357,13.694268,0,3,354,0,0.840336,0.027118139376601832,3688,438821
2020-03-30,314,46.728972,0,3,311,0,0.955414,0.02385180886345371,4193,438821
2020-03-29,214,14.438503,0,2,212,0,0.934579,0.016255691391016222,6152,658231
2020-03-28,187,18.35443,0,2,185,0,1.069519,0.014204739673458103,7040,658231
2020-03-27,158,15.328467,0,1,157,0,0.632911,0.01200186560645123,8332,1316462
2020-03-26,137,26.851852,0,1,136,0,0.729927,0.010406680937239359,9609,1316462
2020-03-25,108,6.930693,0,1,107,0,0.925926,0.008203806870232486,12189,1316462
2020-03-24,101,0,0,1,100,0,0.990099,0.007672078647161863,13034,1316462
2020-03-23,101,36.486486,0,1,100,0,0.990099,0.007672078647161863,13034,1316462
2020-03-22,74,34.545455,0,0,74,0,0,0.005621126929603741,17790,
2020-03-21,55,25,0,0,55,0,0,0.004177864609840618,23936,
2020-03-20,44,0,0,0,44,0,0,0.0033422916878724945,29920,
2020-03-19,44,69.230769,0,0,44,0,0,0.0033422916878724945,29920,
2020-03-18,26,0,0,0,26,0,0,0.001974990542833747,50633,
2020-03-17,26,52.941176,0,0,26,0,0,0.001974990542833747,50633,
2020-03-16,17,30.769231,0,0,17,0,0,0.001291339970314373,77439,
2020-03-15,13,85.714286,0,0,13,0,0,0.0009874952714168735,101266,
2020-03-14,7,16.666667,0,0,7,0,0,0.0005317282230706241,188066,
2020-03-13,6,0,0,0,6,0,0,0.00045576704834624925,219410,
2020-03-12,6,20,0,0,6,0,0,0.00045576704834624925,219410,
2020-03-11,5,25,0,0,5,0,0,0.00037980587362187437,263292,
2020-03-10,4,,0,0,4,0,0,0.0003038446988974995,329116,

