"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-08,135840,1.3799434,15642,8960,111238,11.515018,6.595995,1.5450448124415235,65,981,15.450448124415235,1.0191108303501215
2020-05-07,133991,1.592994,15642,8807,109542,11.673918,6.5728295,1.524014277560749,66,998,15.240142775607493,1.001708603001509
2020-05-06,131890,0.993162,15642,8549,107699,11.859883,6.481917,1.500117493469615,67,1028,15.001174934696152,0.972363670609731
2020-05-05,130593,1.8118174,15642,8244,106707,11.977671,6.312743,1.485365409240105,67,1066,14.853654092401051,0.9376729559605359
2020-05-04,128269,1.203213,15642,7910,104717,12.1946846,6.1667277,1.4589322220778986,69,1112,14.589322220778989,0.8996837799184667
2020-05-03,126744,2.446713,15642,7871,103231,12.341413,6.210156,1.4415868647533012,69,1117,14.415868647533014,0.8952479180452909
2020-05-02,123717,2.085156,15642,7742,100333,12.643372,6.2578304,1.4071577522145755,71,1136,14.071577522145757,0.8805754518494019
2020-05-01,121190,2.139028,15642,7538,98010,12.907006,6.219985,1.3784156420773572,73,1166,13.784156420773575,0.8573724820512518
2020-04-30,118652,1.965368,15642,7228,95782,13.18309,6.091764,1.3495484178873058,74,1216,13.49548417887306,0.8221130671619061
2020-04-29,116365,2.203661,15642,6771,93952,13.442186,5.81876,1.3235360689028113,76,1298,13.235360689028113,0.7701338652121287
2020-04-28,113856,2.39954,15642,6442,91772,13.738406,5.658024,1.2949986908520472,77,1365,12.949986908520472,0.7327133894102101
2020-04-27,111188,1.97179,0,6044,105144,0,5.435838,1.2646528460376039,79,1455,12.64652846037604,0.6874448502942114
2020-04-26,109038,3.355514,0,5938,103100,0,5.445808,1.2401987357111222,81,1481,12.401987357111222,0.6753884052030158
2020-04-25,105498,3.231046,0,5914,99584,0,5.605793,1.19993475870845,83,1487,11.9993475870845,0.6726586440502923
2020-04-24,102196,2.170457,0,5683,96513,0,5.560883,1.1623777948488951,86,1547,11.623777948488954,0.6463846929553282
2020-04-23,100025,4.286131,0,5426,94599,0,5.424644,1.13768483042155,88,1620,11.376848304215503,0.6171535006115803
2020-04-22,95914,3.817637,0,5150,90764,0,5.369393,1.0909262966763567,92,1707,10.909262966763567,0.5857612473552596
2020-04-21,92387,4.130881,0,4753,87634,0,5.144663,1.0508101817361235,95,1850,10.508101817361236,0.540606448287291
2020-04-20,88722,4.010504,0,4496,84226,0,5.067514,1.0091244541330744,99,1956,10.091244541330745,0.5113752559435432
2020-04-19,85301,4.766642,0,4362,80939,0,5.113656,0.970213983701961,103,2016,9.702139837019612,0.4961340895075034
2020-04-18,81420,3.763365,0,4070,77350,0,4.998772,0.9260714710614608,108,2160,9.260714710614609,0.4629219954827003
2020-04-17,78467,4.182323,0,3840,74627,0,4.893777,0.8924840348781582,112,2290,8.924840348781583,0.43676178443576635
2020-04-16,75317,6.035478,0,3518,71799,0,4.670924,0.8566559197486618,117,2499,8.566559197486619,0.4001374889700589
2020-04-15,71030,3.205277,0,3156,67874,0,4.443193,0.8078955611581375,124,2786,8.078955611581376,0.3589635915831455
2020-04-14,68824,6.565094,0,2805,66019,0,4.075613,0.7828045065626871,128,3134,7.828045065626871,0.31904083472456374
2020-04-13,64584,4.420372,0,2443,62141,0,3.782671,0.7345787261979045,136,3599,7.345787261979046,0.27786693733765033
2020-04-12,61850,6.361026,0,2350,59500,0,3.799515,0.7034821970664622,142,3741,7.0348219706646224,0.2672891128708466
2020-04-11,58151,6.527076,0,2183,55968,0,3.75402,0.6614097533001106,151,4027,6.6140975330011065,0.248294524849812
2020-04-10,54588,6.978658,0,1932,52656,0,3.539239,0.6208841741869691,161,4551,6.2088417418696915,0.21974577279424495
2020-04-09,51027,7.567932,0,1709,49318,0,3.349207,0.5803813430834336,172,5145,5.803813430834336,0.19438174208352207
2020-04-08,47437,6.801603,0,1504,45933,0,3.170521,0.5395486658406106,185,5846,5.3954866584061065,0.17106503223734182
2020-04-07,44416,8.094427,0,1232,43184,0,2.773775,0.5051877973307031,198,7136,5.051877973307031,0.14012773917314172
2020-04-06,41090,9.558726,0,1003,40087,0,2.440983,0.467357857355876,214,8766,4.6735785735587605,0.11408126817423793
2020-04-05,37505,9.907983,0,917,36588,0,2.445007,0.4265820501370681,234,9588,4.265820501370682,0.10429962404364525
2020-04-04,34124,14.146178,0,846,33278,0,2.479194,0.3881265398980753,258,10392,3.881265398980753,0.09622408063350478
2020-04-03,29895,16.822978,0,646,29249,0,2.160896,0.3400258735861259,294,13610,3.4002587358612595,0.07347607102747528
2020-04-02,25590,14.985397,0,537,25053,0,2.098476,0.2910607829091474,344,16372,2.9106078290914743,0.061078405792189205
2020-04-01,22255,19.036157,0,355,21900,0,1.595147,0.25312847689109325,395,24766,2.5312847689109326,0.04037771705070236
2020-03-31,18696,12.382784,0,267,18429,0,1.428113,0.21264839379716374,470,32929,2.1264839379716376,0.03036859282404938
2020-03-30,16636,24.279098,0,198,16438,0,1.19019,0.18921794390295335,528,44404,1.8921794390295337,0.022520529509969203
2020-03-29,13386,20.334412,0,161,13225,0,1.202749,0.1522524282931554,657,54609,1.5225242829315544,0.018312147732853747
2020-03-28,11124,26.050992,0,140,10984,0,1.25854,0.12652442942873607,790,62800,1.2652442942873607,0.01592360672422065
2020-03-27,8825,28.344968,0,108,8717,0,1.223796,0.10037559238660515,996,81407,1.0037559238660516,0.012283925187255929
2020-03-26,6876,56.201726,0,81,6795,0,1.17801,0.07820765702552941,1279,108543,0.7820765702552942,0.009212943890441947
2020-03-25,4402,19.782313,0,62,4340,0,1.408451,0.050068369142870925,1997,141806,0.5006836914287093,0.007051882977869145
2020-03-24,3675,29.219409,0,44,3631,0,1.197279,0.0417994676510792,2392,199818,0.41799467651079203,0.005004562113326489
2020-03-23,2844,48.589342,0,27,2817,0,0.949367,0.032347669659773946,3091,325629,0.3234766965977395,0.0030709812968139822
2020-03-22,1914,44.235117,0,20,1894,0,1.044932,0.02176984519297023,4594,439599,0.2176984519297023,0.00227480096060295
2020-03-21,1327,49.101124,0,16,1311,0,1.205727,0.01509330437360057,6625,549499,0.15093304373600572,0.0018198407684823599
2020-03-20,890,19.946092,0,11,879,0,1.235955,0.010122864274683126,9879,799271,0.10122864274683127,0.0012511405283316224
2020-03-19,742,177.902622,0,9,733,0,1.212938,0.008439511563836943,11849,976886,0.08439511563836943,0.0010236604322713275
2020-03-18,267,0,0,3,264,0,1.123596,0.003036859282404938,32929,2930659,0.03036859282404938,0.0003412201440904425
2020-03-17,267,50,1,3,263,0.374532,1.123596,0.003036859282404938,32929,2930659,0.03036859282404938,0.0003412201440904425
2020-03-16,178,81.632653,1,2,175,0.561798,1.123596,0.002024572854936625,49393,4395989,0.020245728549366255,0.00022748009606029498
2020-03-15,98,42.028986,0,2,96,0,2.040816,0.0011146524706954453,89714,4395989,0.011146524706954455,0.00022748009606029498
2020-03-14,69,137.931034,0,1,68,0,1.449275,0.0007848063314080177,127420,8791978,0.007848063314080177,0.00011374004803014749
2020-03-13,29,0,0,1,28,0,3.448276,0.0003298461392874277,303172,8791978,0.0032984613928742773,0.00011374004803014749
2020-03-12,29,26.086957,0,1,28,0,3.448276,0.0003298461392874277,303172,8791978,0.0032984613928742773,0.00011374004803014749
2020-03-11,23,53.333333,0,1,22,0,4.347826,0.00026160211046933924,382260,8791978,0.0026160211046933925,0.00011374004803014749
2020-03-10,15,,0,1,14,0,6.666667,0.0001706100720452212,586132,8791978,0.0017061007204522123,0.00011374004803014749

