"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,3513,2.990325,760,131,2622,21.633931,3.729007,0.17060031594809438,586,15719,1.7060031594809437,0.06361696951096033
2020-04-30,3411,6.162465,734,123,2554,21.518616,3.605981,0.16564693358922572,604,16741,1.656469335892257,0.05973196373929863
2020-04-29,3213,8.036315,705,112,2396,21.94211,3.485839,0.156031544304363,641,18386,1.5603154430436301,0.05439008080326379
2020-04-28,2974,5.274336,666,105,2203,22.394082,3.530599,0.14442508956152367,692,19611,1.4442508956152367,0.0509907007530598
2020-04-27,2825,3.631695,650,99,2076,23.00885,3.504425,0.13718926631180375,729,20800,1.3718926631180377,0.04807694642431353
2020-04-26,2726,2.481203,614,99,2013,22.523844,3.631695,0.13238157166937242,755,20800,1.323815716693724,0.04807694642431353
2020-04-25,2660,5.513685,614,93,1953,23.082707,3.496241,0.12917644190775152,774,22142,1.291764419077515,0.04516319209556725
2020-04-24,2521,5.968894,614,84,1823,24.355415,3.332011,0.1224262443794893,817,24514,1.224262443794893,0.04079256060244785
2020-04-23,2379,7.647059,547,78,1754,22.992854,3.278689,0.11553035913478979,866,26400,1.155303591347898,0.03787880627370157
2020-04-22,2210,12.125824,529,71,1610,23.936652,3.21267,0.10732328444215444,932,29003,1.0732328444215444,0.03447942622349758
2020-04-21,1971,0,501,58,1412,25.418569,2.942669,0.09571682969931512,1045,35503,0.9571682969931512,0.02816629184454732
2020-04-20,1971,6.829268,487,58,1426,24.70827,2.942669,0.09571682969931512,1045,35503,0.9571682969931512,0.02816629184454732
2020-04-19,1845,2.614016,465,55,1325,25.203252,2.98103,0.08959794560894795,1116,37440,0.8959794560894794,0.02670941468017418
2020-04-18,1798,12.586099,382,53,1363,21.245829,2.94772,0.0873155047180967,1145,38853,0.8731550471809669,0.02573816323725876
2020-04-17,1597,7.614555,353,44,1200,22.103945,2.755166,0.07755442771679667,1289,46800,0.7755442771679667,0.021367531744139346
2020-04-16,1484,0,353,36,1095,23.787062,2.425876,0.07206685706432453,1388,57200,0.7206685706432452,0.017482525972477646
2020-04-15,1484,10.334572,340,36,1108,22.911051,2.425876,0.07206685706432453,1388,57200,0.7206685706432452,0.017482525972477646
2020-04-14,1345,6.576862,304,31,1010,22.60223,2.304833,0.06531665953606232,1531,66426,0.6531665953606232,0.015054397365189084
2020-04-13,1262,1.365462,295,26,941,23.375594,2.060222,0.06128596604796331,1632,79200,0.612859660479633,0.012626268757900523
2020-04-12,1245,14.11549,235,26,984,18.875502,2.088353,0.060460402321485196,1654,79200,0.604604023214852,0.012626268757900523
2020-04-11,1091,0.925069,0,19,1072,0,1.741522,0.052981766211036424,1887,108379,0.5298176621103643,0.009226888707696536
2020-04-10,1081,24.971098,0,17,1064,0,1.572618,0.052496140489578715,1905,121129,0.5249614048957871,0.008255637264781112
2020-04-09,865,-4.101996,0,16,849,0,1.849711,0.042006624906092124,2381,128700,0.42006624906092127,0.007770011543323399
2020-04-08,902,2.968037,0,13,889,0,1.441242,0.043803440075485665,2283,158400,0.4380344007548566,0.0063131343789502616
2020-04-07,876,15.719947,0,13,863,0,1.484018,0.04254081319969561,2351,158400,0.4254081319969561,0.0063131343789502616
2020-04-06,757,12.985075,0,12,745,0,1.585205,0.03676186711434883,2720,171600,0.3676186711434883,0.0058275086574925495
2020-04-05,670,25.468165,0,12,658,0,1.791045,0.03253692333766673,3073,171600,0.32536923337666734,0.0058275086574925495
2020-04-04,534,0,0,10,524,0,1.872659,0.025932413525841844,3856,205920,0.2593241352584184,0.004856257214577124
2020-04-03,534,37.628866,0,10,524,0,1.872659,0.025932413525841844,3856,205920,0.2593241352584184,0.004856257214577124
2020-04-02,388,14.117647,0,6,382,0,1.546392,0.018842277992559244,5307,343200,0.18842277992559242,0.0029137543287462747
2020-04-01,340,7.936508,0,5,335,0,1.470588,0.016511274529562223,6056,411840,0.16511274529562223,0.002428128607288562
2020-03-31,315,32.911392,0,4,311,0,1.269841,0.015297210225917943,6537,514800,0.15297210225917943,0.0019425028858308497
2020-03-30,237,0,0,2,235,0,0.843882,0.011509329598547785,8689,1029600,0.11509329598547785,0.0009712514429154248
2020-03-29,237,13.942308,0,2,235,0,0.843882,0.011509329598547785,8689,1029600,0.11509329598547785,0.0009712514429154248
2020-03-28,208,52.941176,0,1,207,0,0.480769,0.01010101500632042,9900,2059199,0.10101015006320418,0.0004856257214577124
2020-03-27,136,20.353982,0,1,135,0,0.735294,0.006604509811824889,15141,2059199,0.0660450981182489,0.0004856257214577124
2020-03-26,113,0,0,1,112,0,0.884956,0.005487570652472151,18223,2059199,0.054875706524721506,0.0004856257214577124
2020-03-25,113,13,0,1,112,0,0.884956,0.005487570652472151,18223,2059199,0.054875706524721506,0.0004856257214577124
2020-03-24,100,20.481928,0,0,100,0,0,0.004856257214577124,20592,,0.04856257214577124,0
2020-03-23,83,45.614035,0,0,83,0,0,0.004030693488099014,24810,,0.04030693488099013,0
2020-03-22,57,32.55814,0,0,57,0,0,0.002768066612308961,36126,,0.027680666123089608,0
2020-03-21,43,0,0,0,43,0,0,0.0020881906022681635,47888,,0.020881906022681633,0
2020-03-20,43,22.857143,0,0,43,0,0,0.0020881906022681635,47888,,0.020881906022681633,0
2020-03-19,35,52.173913,0,0,35,0,0,0.0016996900251019936,58834,,0.016996900251019936,0
2020-03-18,23,0,0,0,23,0,0,0.0011169391593527386,89530,,0.011169391593527386,0
2020-03-17,23,35.294118,0,0,23,0,0,0.0011169391593527386,89530,,0.011169391593527386,0
2020-03-16,17,30.769231,0,0,17,0,0,0.0008255637264781111,121129,,0.008255637264781112,0
2020-03-15,13,30,0,0,13,0,0,0.0006313134378950262,158400,,0.0063131343789502616,0
2020-03-14,10,0,0,0,10,0,0,0.0004856257214577124,205920,,0.004856257214577124,0
2020-03-13,10,100,0,0,10,0,0,0.0004856257214577124,205920,,0.004856257214577124,0
2020-03-12,5,66.666667,0,0,5,0,0,0.0002428128607288562,411840,,0.002428128607288562,0
2020-03-11,3,,0,0,3,0,0,0.00014568771643731372,686400,,0.0014568771643731374,0

