"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-07-11,26838,3.589625,764,592,25482,2.84671,2.205828,0.9937508261817315,101,4562,9.937508261817314,0.21920429581175385
2020-07-10,25908,4.031481,764,579,24565,2.948896,2.234831,0.9593150161977904,104,4664,9.593150161977903,0.21439068796453628
2020-07-09,24904,2.481379,759,571,23574,3.047703,2.292804,0.9221391525162024,108,4730,9.221391525162023,0.21142846775086394
2020-07-08,24301,2.169435,754,553,22994,3.102753,2.275627,0.8998114176556471,111,4884,8.99811417655647,0.20476347227010117
2020-07-07,23785,3.823825,743,548,22494,3.123818,2.303973,0.8807050972774604,114,4928,8.807050972774604,0.20291208463655594
2020-07-06,22909,2.190204,742,537,21630,3.238902,2.344057,0.8482687859377482,118,5029,8.482687859377481,0.19883903184275645
2020-07-05,22418,3.9073,727,534,21157,3.24293,2.382014,0.8300881593763342,120,5057,8.300881593763341,0.19772819926262933
2020-07-04,21575,4.1365,727,530,20318,3.369641,2.456547,0.7988737638747617,125,5096,7.988737638747617,0.19624708915579314
2020-07-03,20718,4.991638,727,528,19463,3.509026,2.548509,0.7671409798357968,130,5115,7.671409798357967,0.19550653410237506
2020-07-02,19733,3.308727,727,525,18481,3.684184,2.660518,0.730668643454956,137,5144,7.306686434549559,0.19439570152224794
2020-07-01,19101,3.494798,714,511,17876,3.738024,2.675253,0.7072671037669443,141,5285,7.072671037669443,0.18921181614832133
2020-06-30,18456,3.140718,689,507,17260,3.733203,2.747074,0.683384203294211,146,5327,6.83384203294211,0.18773070604148515
2020-06-29,17894,4.277389,689,504,16701,3.850453,2.816587,0.6625746062931628,151,5358,6.625746062931627,0.18661987346135803
2020-06-28,17160,5.024787,684,500,15976,3.986014,2.913753,0.635396235832719,157,5401,6.353962358327189,0.18513876335452184
2020-06-27,16339,7.211286,684,500,15155,4.186303,3.060163,0.6049964508899065,165,5401,6.049964508899064,0.18513876335452184
2020-06-26,15240,2.564103,684,498,14058,4.488189,3.267717,0.5643029507045826,177,5423,5.643029507045826,0.18439820830110376
2020-06-25,14859,9.838853,682,495,13682,4.589811,3.331314,0.5501953769369681,182,5456,5.50195376936968,0.18328737572097661
2020-06-24,13528,0,666,489,12373,4.923122,3.614725,0.5009114381319943,200,5523,5.009114381319943,0.18106571056072235
2020-06-23,13528,0,658,489,12381,4.863986,3.614725,0.5009114381319943,200,5523,5.009114381319943,0.18106571056072235
2020-06-22,13528,2.175227,653,489,12386,4.827025,3.614725,0.5009114381319943,200,5523,5.009114381319943,0.18106571056072235
2020-06-21,13240,2.034525,652,487,12101,4.924471,3.678248,0.49024744536277387,204,5546,4.902474453627739,0.18032515550730427
2020-06-20,12976,3.609071,652,486,11838,5.024661,3.745376,0.4804721186576551,208,5557,4.8047211865765505,0.17995487798059523
2020-06-19,12524,2.917249,652,479,11393,5.206004,3.824657,0.4637355744504063,216,5638,4.637355744504063,0.17736293529363192
2020-06-18,12169,2.657331,641,475,11053,5.267483,3.903361,0.4505907222522353,222,5686,4.505907222522352,0.17588182518679574
2020-06-17,11854,1.463665,640,473,10741,5.399021,3.990214,0.43892698016090037,228,5710,4.389269801609004,0.17514127013337766
2020-06-16,11683,3.25232,640,467,10576,5.478045,3.997261,0.43259523445417575,231,5783,4.325952344541757,0.1729196049731234
2020-06-15,11315,1.017766,636,465,10214,5.620857,4.109589,0.41896902147128295,239,5808,4.189690214712829,0.1721790499197053
2020-06-14,11201,1.855051,627,463,10111,5.597714,4.13356,0.41474785766679984,241,5833,4.147478576667998,0.17143849486628723
2020-06-13,10997,2.737294,627,462,9908,5.701555,4.201146,0.40719419612193536,246,5846,4.071941961219354,0.17106821733957817
2020-06-12,10704,2.205672,604,461,9639,5.64275,4.306801,0.39634506458936036,252,5858,3.9634506458936034,0.17069793981286913
2020-06-11,10473,2.495596,560,459,9454,5.347083,4.382698,0.38779165372238145,258,5884,3.8779165372238142,0.16995738475945105
2020-06-10,10218,1.72225,557,449,9212,5.451165,4.394206,0.3783495767913008,264,6015,3.783495767913008,0.16625460949236062
2020-06-09,10045,2.332926,557,446,9042,5.545047,4.44002,0.3719437755792344,269,6055,3.719437755792344,0.16514377691223348
2020-06-08,9816,1.520323,522,442,8852,5.317848,4.502852,0.3634644202175973,275,6110,3.6346442021759726,0.16366266680539732
2020-06-07,9669,1.875461,522,438,8709,5.398697,4.529941,0.35802134057497437,279,6166,3.5802134057497432,0.16218155669856113
2020-06-06,9491,1.955097,522,437,8532,5.499947,4.604362,0.3514304005995534,285,6180,3.5143040059955335,0.1618112791718521
2020-06-05,9309,1.971738,522,436,8351,5.607477,4.683639,0.34469134961344877,290,6194,3.4469134961344876,0.16144100164514305
2020-06-04,9129,1.988605,512,430,8187,5.6085,4.710264,0.338026354132686,296,6281,3.3802635413268596,0.15921933648488878
2020-06-03,8951,1.049898,501,431,8019,5.59714,4.815104,0.331435414157265,302,6266,3.31435414157265,0.15958961401159782
2020-06-02,8858,1.792691,464,417,7977,5.238203,4.707609,0.3279918331588709,305,6476,3.279918331588709,0.1544057286376712
2020-06-01,8702,0.857673,459,417,7826,5.27465,4.792002,0.3222155037422098,310,6476,3.222155037422098,0.1544057286376712
2020-05-31,8628,1.303276,428,417,7783,4.960593,4.833102,0.3194754500445629,313,6476,3.194754500445629,0.1544057286376712
2020-05-30,8517,1.683381,428,417,7672,5.025244,4.89609,0.3153653694980925,317,6476,3.153653694980925,0.1544057286376712
2020-05-29,8376,1.551891,428,406,7542,5.109838,4.847182,0.310144456371495,322,6652,3.1014445637149497,0.15033267584387172
2020-05-28,8248,1.202454,406,406,7436,4.922405,4.922405,0.30540490402961923,327,6652,3.054049040296192,0.15033267584387172
2020-05-27,8150,1.154276,401,402,7347,4.920245,4.932515,0.3017761842678706,331,6718,3.017761842678706,0.14885156573703556
2020-05-26,8057,1.269482,374,394,7289,4.641926,4.890158,0.2983326032694765,335,6855,2.983326032694765,0.14588934552336322
2020-05-25,7956,0.951656,359,394,7203,4.512318,4.952237,0.2945928002497152,339,6855,2.9459280024971517,0.14588934552336322
2020-05-24,7881,4.716981,359,380,7142,4.555259,4.821723,0.29181571879939733,343,7107,2.918157187993973,0.1407054601494366
2020-05-23,7526,0.013289,359,387,6780,4.77013,5.142174,0.2786708666012263,359,6978,2.7867086660122626,0.1432974028363999
2020-05-22,7525,1.689189,339,386,6800,4.504983,5.129568,0.27863383884855536,359,6997,2.7863383884855537,0.14292712530969087
2020-05-21,7400,0.162426,339,383,6678,4.581081,5.175676,0.2740053697646923,365,7051,2.7400536976469234,0.14181629272956373
2020-05-20,7388,4.114994,336,377,6675,4.547916,5.10287,0.2735610367326415,366,7164,2.7356103673264145,0.13959462756930946
2020-05-19,7096,0.49568,334,358,6404,4.706877,5.045096,0.2627489329527374,381,7544,2.627489329527374,0.13255935456183765
2020-05-18,7061,1.611743,355,358,6348,5.027616,5.070103,0.26145296160925574,382,7544,2.6145296160925575,0.13255935456183765
2020-05-17,6949,1.996184,272,350,6327,3.914232,5.036696,0.25730585331011446,389,7716,2.5730585331011446,0.12959713434816528
2020-05-16,6813,1.188178,272,347,6194,3.992368,5.093204,0.2522700789468715,396,7783,2.522700789468715,0.12848630176803816
2020-05-15,6733,3.52091,272,343,6118,4.039804,5.094312,0.24930785873319913,401,7874,2.493078587331991,0.12700519166120197
2020-05-14,6504,0.432366,244,333,5927,3.751538,5.119926,0.24082850337156203,415,8110,2.40828503371562,0.12330241639411155
2020-05-13,6476,2.581974,198,331,5947,3.057443,5.11118,0.2397917262967767,417,8159,2.3979172629677667,0.12256186134069345
2020-05-12,6313,2.617035,185,321,5807,2.930461,5.084746,0.23375620261141927,428,8413,2.3375620261141927,0.11885908607360302
2020-05-11,6152,0.522876,183,312,5657,2.974642,5.071521,0.2277947344314037,439,8656,2.2779473443140366,0.11552658833322163
2020-05-10,6120,-0.826446,182,310,5628,2.973856,5.065359,0.22660984634593473,441,8712,2.2660984634593473,0.11478603327980354
2020-05-09,6171,4.239865,205,313,5653,3.32199,5.072111,0.22849826173215088,438,8628,2.2849826173215084,0.11589686585993067
2020-05-08,5920,1.110162,205,294,5421,3.462838,4.966216,0.21920429581175388,456,9186,2.1920429581175385,0.10886159285245885
2020-05-07,5855,1.985717,205,297,5353,3.501281,5.072588,0.2167974918881451,461,9093,2.1679749188814506,0.10997242543258597
2020-05-06,5741,1.431095,203,289,5249,3.535969,5.033966,0.21257632808366198,470,9345,2.12576328083662,0.10701020521891362
2020-05-05,5660,0.53286,200,270,5190,3.533569,4.770318,0.20957708011731874,477,10003,2.0957708011731873,0.0999749322114418
2020-05-04,5630,2.887427,185,265,5180,3.285968,4.706927,0.2084662475371916,480,10191,2.084662475371916,0.09812354457789657
2020-05-03,5472,1.540174,182,258,5032,3.326023,4.714912,0.2026158626151887,494,10468,2.026158626151887,0.09553160189093327
2020-05-02,5389,2.686738,182,255,4952,3.37725,4.731861,0.19954255914350363,501,10591,1.9954255914350363,0.09442076931080613
2020-05-01,5248,3.859094,182,246,4820,3.467988,4.6875,0.19432164601690613,515,10978,1.9432164601690611,0.09108827157042475
2020-04-30,5053,2.411836,158,243,4652,3.126855,4.809024,0.18710123424607977,534,11114,1.8710123424607976,0.08997743899029761
2020-04-29,4934,2.343912,100,230,4604,2.026753,4.661532,0.18269493167824216,547,11742,1.8269493167824216,0.08516383114308004
2020-04-28,4821,2.574468,0,219,4602,0,4.542626,0.17851079562642996,560,12332,1.7851079562642995,0.08109077834928057
2020-04-27,4700,-0.718209,0,206,4494,0,4.382979,0.17403043755325054,575,13110,1.7403043755325054,0.076277170502063
2020-04-26,4734,4.2961,0,206,4528,0,4.3515,0.17528938114406128,570,13110,1.7528938114406127,0.076277170502063
2020-04-25,4539,3.206003,0,205,4334,0,4.516413,0.16806896937323493,595,13174,1.6806896937323492,0.07590689297535395
2020-04-24,4398,4.515209,0,197,4201,0,4.479309,0.16284805624663742,614,13709,1.628480562466374,0.07294467276168161
2020-04-23,4208,3.111982,0,195,4013,0,4.63403,0.1558127832391656,642,13850,1.5581278323916559,0.07220411770826352
2020-04-22,4081,3.657607,0,172,3909,0,4.214653,0.15111025864996072,662,15702,1.5111025864996073,0.0636877345939555
