"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,308314,1.295126,56187,24039,228088,18.2239535,7.7969213,1.5910398849342848,63,806,15.910398849342847,1.240521280056542
2020-04-30,304372,1.5619421,54771,23587,226014,17.994756,7.749399,1.570697379480718,64,822,15.70697379480718,1.2171960328089213
2020-04-29,299691,1.553679,53238,23477,222976,17.764297,7.8337354,1.546541299311224,65,825,15.46541299311224,1.2115195345849428
2020-04-28,295106,1.065083,51630,22912,220564,17.4954084,7.7639899,1.5228806226230953,66,846,15.228806226230954,1.1823629755254166
2020-04-27,291996,1.371661,23887,22668,245441,8.180592,7.76312,1.506831614008029,66,855,15.068316140080288,1.169771470374046
2020-04-26,288045,2.091847,23887,22269,241889,8.292801,7.731084,1.4864426644780842,67,870,14.864426644780842,1.1491812631797969
2020-04-25,282143,3.885636,23887,22009,236247,8.4662742,7.8006543,1.455985671279974,69,880,14.55985671279974,1.135764085559484
2020-04-24,271590,3.085857,23887,21411,226292,8.795243,7.883575,1.4015274115002965,71,905,14.015274115002963,1.1049045770327643
2020-04-23,263460,0.063807,23887,20973,218600,9.066651,7.960601,1.3595729291721643,74,924,13.595729291721643,1.082301793195468
2020-04-22,263292,1.9085698,23887,19413,219992,9.072437,7.373183,1.3587059730797748,74,998,13.587059730797748,1.0017987274735909
2020-04-21,258361,2.09476,23887,19104,215370,9.2455905,7.3943049,1.3332597796775585,75,1014,13.332597796775584,0.9858529279171421
2020-04-20,253060,2.116498,23887,18611,210562,9.439263,7.354382,1.3059042186909129,77,1041,13.059042186909128,0.9604118949678565
2020-04-19,247815,2.524906,23887,18298,205630,9.639045,7.383734,1.278837643068397,78,1059,12.78837643068397,0.9442596772941723
2020-04-18,241712,4.8200974,23887,17671,200154,9.882422,7.310767,1.247343398831178,80,1097,12.47343398831178,0.9119036374174947
2020-04-17,230597,3.0872945,23887,17131,189579,10.3587644,7.4289778,1.1899849645043405,84,1131,11.899849645043405,0.884037191590691
2020-04-16,223691,4.3072174,23887,14832,184972,10.67857,6.6305752,1.1543468765636173,87,1307,11.543468765636172,0.76539837870954
2020-04-15,214454,5.631957,23887,11617,178950,11.1385192,5.4170125,1.1066797728409903,90,1668,11.066797728409904,0.5994898169814405
2020-04-14,203020,3.7144506,23887,10842,168291,11.765836,5.340361,1.047675154029199,95,1787,10.47675154029199,0.5594963067670464
