"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-16,97622,1.592224,5870,1262,90490,6.012989,1.292741,2.548159408876716,39,3036,25.481594088767157,0.32941111368363846
2020-12-15,96092,1.138827,5870,1213,89009,6.108729,1.262332,2.508222879246291,40,3158,25.082228792462907,0.3166209832791232
2020-12-14,95010,1.232779,5870,1161,87979,6.178297,1.221977,2.479980183128565,40,3300,24.79980183128565,0.3030477836661682
2020-12-13,93853,1.092213,5870,1155,86828,6.254462,1.230648,2.4497798139897404,41,3317,24.4977981398974,0.3014816452492888
2020-12-12,92839,1.552177,5870,1150,85819,6.322774,1.238704,2.423312074744478,41,3331,24.23312074744478,0.30017652990188926
2020-12-11,91420,1.760947,5870,1138,84412,6.420914,1.244804,2.3862729011852797,42,3367,23.862729011852796,0.2970442530681304
2020-12-10,89838,1.756771,5870,1123,82845,6.533983,1.250028,2.3449790515935587,43,3411,23.44979051593559,0.29312890702593186
2020-12-09,88287,1.383753,5870,1110,81307,6.64877,1.257263,2.3044943735172256,43,3451,23.044943735172257,0.2897356071226931
2020-12-08,87082,1.508369,5870,1080,80132,6.740773,1.24021,2.2730410936448973,44,3547,22.730410936448973,0.281904915038296
2020-12-07,85788,1.529066,5870,1045,78873,6.842449,1.218119,2.239264708454198,45,3666,22.392647084541977,0.27276910760649936
2020-12-06,84496,1.505232,5870,1033,77593,6.947074,1.222543,2.2055405278773943,45,3709,22.055405278773943,0.26963683077274053
2020-12-05,83243,2.217665,5870,1027,76346,7.051644,1.233737,2.1728343372715626,46,3730,21.728343372715624,0.2680706923558611
2020-12-04,81437,2.703896,5870,1003,74564,7.208026,1.231627,2.1256935709234916,47,3820,21.256935709234916,0.2618061386883434
2020-12-03,79293,1.449591,5870,973,72450,7.402923,1.227094,2.0697302248270004,48,3937,20.697302248270002,0.2539754466039463
2020-12-02,78160,1.964672,5870,953,71337,7.510235,1.219294,2.0401563110549272,49,4020,20.401563110549272,0.24875498521434822
2020-12-01,76654,1.621349,5870,936,69848,7.657787,1.221071,2.000846236791254,50,4093,20.00846236791254,0.24431759303318987
2020-11-30,75431,1.770126,5870,912,68649,7.781946,1.209052,1.9689231153938616,51,4201,19.689231153938614,0.23805303936567215
2020-11-29,74119,2.224643,5870,905,67344,7.919697,1.221009,1.9346768886780983,52,4233,19.346768886780982,0.23622587787931285
2020-11-28,72506,2.363339,5870,896,65740,8.095882,1.23576,1.8925738675709898,53,4276,18.925738675709898,0.2338766702539937
2020-11-27,70832,3.399851,5870,885,64077,8.287215,1.249435,1.848878605740054,54,4329,18.48878605740054,0.23100541648971476
2020-11-26,68503,0,5870,867,61766,8.568968,1.265638,1.7880863328581844,56,4419,17.880863328581842,0.2263070012390765
2020-11-25,68503,1.737632,5870,867,61766,8.568968,1.265638,1.7880863328581844,56,4419,17.880863328581842,0.2263070012390765
2020-11-24,67333,1.507545,5870,847,60616,8.717865,1.257927,1.7575466337290355,57,4523,17.575466337290354,0.22108653984947843
2020-11-23,66333,1.784563,5870,826,59637,8.849291,1.245232,1.7314443267810453,58,4638,17.31444326781045,0.21560505539040045
2020-11-22,65170,2.359113,5870,820,58480,9.007212,1.258248,1.7010873438005325,59,4672,17.010873438005323,0.21403891697352104
2020-11-21,63668,2.401287,5870,819,56979,9.219702,1.28636,1.6618816787646509,60,4678,16.61881678764651,0.21377789390404112
2020-11-20,62175,2.138879,5870,812,55493,9.441094,1.305991,1.6229109344913013,62,4718,16.229109344913013,0.2119507324176818
2020-11-19,60873,2.017798,5870,808,54195,9.643027,1.327354,1.5889257308450178,63,4741,15.889257308450178,0.21090664013976218
2020-11-18,59669,1.876387,5870,788,53011,9.837604,1.320619,1.5574985532796375,64,4862,15.574985532796374,0.20568617875016412
2020-11-17,58570,1.602887,5870,778,51922,10.022196,1.328325,1.528812117943796,65,4924,15.28812117943796,0.20307594805536508
2020-11-16,57646,1.346695,5870,765,51011,10.18284,1.327065,1.5046935863238529,66,5008,15.046935863238529,0.19968264815212633
2020-11-15,56880,1.538791,5870,761,50249,10.319972,1.337904,1.4846992192016923,67,5034,14.846992192016922,0.1986385558742067
2020-11-14,56018,1.967708,5870,759,49389,10.478775,1.354922,1.4621990306125245,68,5048,14.621990306125245,0.19811650973524692
2020-11-13,54937,1.963659,5870,753,48314,10.684966,1.370661,1.433982436801747,70,5088,14.339824368017469,0.19655037131836747
2020-11-12,53879,2.101573,5870,746,47263,10.894783,1.384584,1.4063661960507732,71,5135,14.063661960507732,0.19472320983200817
2020-11-11,52770,1.658672,5870,742,46158,11.123745,1.406102,1.3774187376454519,73,5163,13.774187376454519,0.19367911755408854
2020-11-10,51909,1.473952,5870,737,45302,11.308251,1.419792,1.3549446513632322,74,5198,13.54944651363232,0.19237400220668902
2020-11-09,51155,1.401443,5870,734,44551,11.474929,1.434855,1.3352635119244474,75,5219,13.352635119244473,0.1915909329982493
2020-11-08,50448,1.736342,5870,730,43848,11.635744,1.447035,1.3168091809122182,76,5248,13.168091809122181,0.1905468407203297
2020-11-07,49587,2.014072,5870,729,42988,11.83778,1.470143,1.2943350946299985,77,5255,12.943350946299985,0.1902858176508498
2020-11-06,48608,1.607475,5870,716,42022,12.076201,1.473009,1.2687809361279159,79,5351,12.68780936127916,0.18689251774761104
2020-11-05,47839,1.679101,5870,710,41259,12.270323,1.484145,1.2487082620849113,80,5396,12.487082620849113,0.18532637933073162
2020-11-04,47049,1.267757,5870,705,40474,12.476354,1.498438,1.2280874395959989,81,5434,12.280874395959989,0.1840212639833321
2020-11-03,46460,1.048327,5870,701,39889,12.634524,1.508825,1.2127131808036327,82,5465,12.127131808036326,0.1829771717054125
2020-11-02,45978,1.208479,5870,692,39416,12.766976,1.505068,1.2001318688547014,83,5536,12.001318688547013,0.18062796408009335
2020-11-01,45429,1.130874,5870,691,38868,12.921262,1.521055,1.1858017023402545,84,5544,11.858017023402544,0.18036694101061346
2020-10-31,44921,1.200775,5870,689,38362,13.067385,1.533804,1.1725417304106753,85,5560,11.725417304106754,0.17984489487165364
2020-10-30,44388,1.358665,5870,675,37843,13.224295,1.520681,1.1586292008073966,86,5676,11.586292008073965,0.176190571898935
2020-10-29,43793,1.307023,5870,673,37250,13.403969,1.536775,1.1430983281733422,87,5693,11.430983281733422,0.17566852575997519
