"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,32902,3.949198,0,1276,31626,0,3.878184,0.25901237421344536,386,9955,2.590123742134453,0.1004497567006128
2020-04-18,31652,5.902034,0,1042,30610,0,3.292051,0.24917207673101854,401,12191,2.491720767310185,0.08202871981350983
2020-04-17,29888,5.768278,0,921,28967,0,3.081504,0.23528544892381784,425,13792,2.352854489238178,0.07250331185052068
2020-04-16,28258,5.625537,0,841,27417,0,2.976148,0.22245370100673328,450,15104,2.224537010067333,0.06620552146176753
2020-04-15,26753,5.057923,0,779,25974,0,2.911823,0.21060598283789142,475,16307,2.106059828378914,0.061324733910483833
2020-04-14,25465,4.82875,0,691,24774,0,2.713528,0.20046654031199884,499,18383,2.004665403119988,0.054397164482855365
2020-04-13,24292,5.902869,0,589,23703,0,2.424667,0.19123240515448953,523,21567,1.9123240515448952,0.04636748173719509
2020-04-12,22938,5.612597,0,557,22381,0,2.428285,0.1805733949215248,554,22806,1.805733949215248,0.04384836558169383
2020-04-11,21719,8.318787,0,503,21216,0,2.315945,0.17097713681666218,585,25254,1.7097713681666218,0.03959735706928545
2020-04-10,20051,9.568306,0,418,19633,0,2.084684,0.15784624385611187,634,30390,1.5784624385611186,0.03290595478123523
2020-04-09,18300,10.035476,0,345,17955,0,1.885246,0.1440619551427284,694,36820,1.440619551427284,0.027159221051497977
2020-04-08,16631,11.970646,0,318,16313,0,1.912092,0.13092318994419214,764,39946,1.3092318994419212,0.025033716795293787
2020-04-07,14853,13.148473,0,247,14606,0,1.662964,0.11692635080518825,855,51429,1.1692635080518825,0.019444427825275362
2020-04-06,13127,13.271205,0,179,12948,0,1.363602,0.10333886804145331,968,70966,1.0333886804145331,0.014091305994835181
2020-04-05,11589,10.963232,0,151,11438,0,1.30296,0.09123136601907537,1096,84125,0.9123136601907538,0.011887079358771578
2020-04-04,10444,21.866978,0,136,10308,0,1.302183,0.08221765352517242,1216,93403,0.8221765352517242,0.010706243660880362
2020-04-03,8570,17.914144,0,102,8468,0,1.190198,0.06746507953951816,1482,124538,0.6746507953951816,0.008029682745660271
2020-04-02,7268,20.951905,0,90,7178,0,1.238305,0.057215425681822404,1748,141143,0.5721542568182241,0.007085014187347298
2020-04-01,6009,21.075962,0,74,5935,0,1.231486,0.04730427805752213,2114,171660,0.47304278057522126,0.005825456109596667
2020-03-31,4963,19.44645,0,63,4900,0,1.269394,0.03906991712422738,2560,201633,0.39069917124227377,0.004959509931143109
2020-03-30,4155,21.066434,0,50,4105,0,1.203369,0.032709148831586696,3057,254057,0.32709148831586693,0.003936118992970721
2020-03-29,3432,20.632689,0,41,3391,0,1.194639,0.02701752076775103,3701,309826,0.2701752076775103,0.003227617574235991
2020-03-28,2845,21.321962,0,34,2811,0,1.195079,0.022396517070003404,4465,373614,0.22396517070003402,0.0026765609152200904
2020-03-27,2345,30.640669,0,22,2323,0,0.938166,0.01846039807703268,5417,577403,0.18460398077032683,0.0017318923569071172
2020-03-26,1795,42.460317,0,18,1777,0,1.002786,0.014130667184764889,7077,705715,0.1413066718476489,0.0014170028374694596
2020-03-25,1260,33.192389,0,15,1245,0,1.190476,0.009919019862286218,10082,846858,0.09919019862286217,0.0011808356978912163
2020-03-24,946,35.530086,0,8,938,0,0.845666,0.007447137134700604,13428,1587859,0.07447137134700604,0.0006297790388753154
2020-03-23,698,37.131631,0,6,692,0,0.859599,0.005494822114187127,18199,2117145,0.05494822114187127,0.00047233427915648654
2020-03-22,509,28.535354,0,4,505,0,0.785855,0.004006969134844194,24957,3175717,0.04006969134844194,0.0003148895194376577
2020-03-21,396,30.693069,0,2,394,0,0.505051,0.0031174062424328113,32078,6351434,0.03117406242432811,0.00015744475971882885
2020-03-20,303,47.087379,0,1,302,0,0.330033,0.002385288109740257,41924,12702868,0.02385288109740257,7.872237985941443e-05
2020-03-19,206,35.526316,0,1,205,0,0.485437,0.0016216810251039372,61664,12702868,0.01621681025103937,7.872237985941443e-05
2020-03-18,152,35.714286,0,0,152,0,0,0.0011965801738630993,83572,,0.011965801738630993,0
2020-03-17,112,45.454545,0,0,112,0,0,0.0008816906544254415,113418,,0.008816906544254415,0
2020-03-16,77,16.666667,0,0,77,0,0,0.0006061623249174911,164972,,0.00606162324917491,0
2020-03-15,66,40.425532,0,0,66,0,0,0.0005195677070721352,192468,,0.005195677070721352,0
2020-03-14,47,14.634146,0,0,47,0,0,0.00036999518533924777,270274,,0.0036999518533924777,0
2020-03-13,41,86.363636,0,0,41,0,0,0.0003227617574235991,309826,,0.003227617574235991,0
2020-03-12,22,37.5,0,0,22,0,0,0.00017318923569071174,577403,,0.0017318923569071172,0
2020-03-11,16,33.333333,0,0,16,0,0,0.0001259558077750631,793929,,0.0012595580777506308,0
2020-03-10,12,,0,0,12,0,0,9.446685583129731e-05,1058572,,0.0009446685583129731,0

