"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-02,34003,1.74142,0,443,33560,0,1.302826,0.9125487734413767,110,8411,9.125487734413767,0.11888924701777193
2020-09-01,33421,0.668695,0,435,32986,0,1.301577,0.8969294637880261,111,8566,8.96929463788026,0.11674226287298146
2020-08-31,33199,1.068558,0,434,32765,0,1.307268,0.8909715827862326,112,8586,8.909715827862325,0.11647388985488265
2020-08-30,32848,0.915515,0,434,32414,0,1.321237,0.8815516898509644,113,8586,8.815516898509644,0.11647388985488265
2020-08-29,32550,1.756909,0,428,32122,0,1.3149,0.8735541739116199,114,8706,8.735541739116199,0.1148636517462898
2020-08-28,31988,1.927795,0,424,31564,0,1.325497,0.858471610294467,116,8788,8.584716102944668,0.11379015967389457
2020-08-27,31383,2.078454,0,412,30971,0,1.312813,0.842235042699489,119,9044,8.42235042699489,0.11056968345670888
2020-08-26,30744,0.078125,0,404,30340,0,1.314078,0.8250860068429752,121,9223,8.250860068429752,0.10842269931191842
2020-08-25,30720,0.333137,0,395,30325,0,1.285807,0.8244419115995381,121,9433,8.244419115995381,0.10600734214902914
2020-08-24,30618,2.415039,0,390,30228,0,1.273761,0.8217045068149302,122,9554,8.217045068149302,0.1046654770585351
2020-08-23,29896,1.078541,0,390,29506,0,1.304522,0.8023279749081963,125,9554,8.023279749081963,0.1046654770585351
2020-08-22,29577,2.534147,0,381,29196,0,1.288163,0.7937668756308444,126,9780,7.937668756308443,0.10225011989564584
2020-08-21,28846,2.497957,0,374,28472,0,1.29654,0.7741488080078215,129,9963,7.741488080078215,0.10037150876895418
2020-08-20,28143,0.748192,0,367,27776,0,1.304054,0.7552821848354753,132,10153,7.5528218483547525,0.09849289764226252
2020-08-19,27934,0.79746,0,356,27578,0,1.274433,0.7496731887572102,133,10467,7.496731887572102,0.09554079444317563
2020-08-18,27713,3.561286,0,346,27367,0,1.248512,0.7437421450572265,134,10769,7.437421450572265,0.09285706426218755
2020-08-17,26760,2.899331,0,335,26425,0,1.251868,0.7181661964324101,139,11123,7.181661964324101,0.08990496106310067
2020-08-16,26006,1.210352,0,335,25671,0,1.288164,0.69793087086776,143,11123,6.9793087086776,0.08990496106310067
2020-08-15,25695,2.256447,0,329,25366,0,1.280405,0.6895844700048871,145,11326,6.895844700048871,0.08829472295450781
2020-08-14,25128,2.789822,0,317,24811,0,1.261541,0.6743677198786847,148,11754,6.7436771987868465,0.08507424673732213
