"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,3802,4.651803,0,65,3737,0,1.709627,0.059909149869939476,1669,97635
2020-04-05,3633,9.36183,0,53,3580,0,1.458849,0.05724617082522097,1747,119741
2020-04-04,3322,8.314314,0,50,3272,0,1.505117,0.05234565909204075,1910,126926
2020-04-03,3067,7.803163,0,41,3026,0,1.336811,0.048327554616282055,2069,154787
2020-04-02,2845,-3.000341,0,36,2809,0,1.265378,0.044829440131503896,2231,176285
2020-04-01,2933,22.66834,0,24,2909,0,0.818275,0.04621608010745199,2164,264428
2020-03-31,2391,24.726135,0,23,2368,0,0.961941,0.03767563843740802,2654,275925
2020-03-30,1917,11.453488,0,14,1903,0,0.730308,0.030206691294233028,3311,453305
2020-03-29,1720,13.831899,0,8,1712,0,0.465116,0.02710250862080376,3690,793285
2020-03-28,1511,14.643399,0,7,1504,0,0.463269,0.023809238677927023,4200,906611
2020-03-27,1318,20.145852,0,6,1312,0,0.455235,0.02076808509431358,4815,1057713
2020-03-26,1097,19.759825,0,3,1094,0,0.273473,0.017285727881989375,5785,2115425
2020-03-25,916,18.65285,0,3,913,0,0.327511,0.014433661567823398,6928,2115425
2020-03-24,772,25.732899,0,2,770,0,0.259067,0.012164614334453781,8221,3173138
2020-03-23,614,21.584158,0,2,612,0,0.325733,0.009674965286728784,10336,3173138
2020-03-22,505,36.118598,0,2,503,0,0.39604,0.007957422589247615,12567,3173138
2020-03-21,371,59.227468,0,1,370,0,0.269542,0.0058459480804175555,17106,6346276
2020-03-20,233,51.298701,0,0,233,0,0,0.003671444481771672,27237,
2020-03-19,154,94.936709,0,0,154,0,0,0.002426619957909174,41210,
2020-03-18,79,6.756757,0,0,79,0,0,0.0012448245238624984,80333,
2020-03-17,74,42.307692,0,0,74,0,0,0.00116603816159272,85760,
2020-03-16,52,33.333333,0,0,52,0,0,0.000819378167605695,122044,
2020-03-15,39,21.875,0,0,39,0,0,0.0006145336257042713,162725,
2020-03-14,32,23.076923,0,0,32,0,0,0.0005042327185265816,198321,
2020-03-13,26,44.444444,0,0,26,0,0,0.0004096890838028475,244088,
2020-03-12,18,100,0,0,18,0,0,0.00028363090417120215,352571,
2020-03-11,9,28.571429,0,0,9,0,0,0.00014181545208560107,705142,
2020-03-10,7,,0,0,7,0,0,0.00011030090717768972,906611,

