"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,4828,3.339041,2062,46,2720,42.709196,0.952775,0.17468127361028346,572,60085,1.7468127361028347,0.01664320336800547
2020-04-30,4672,3.891483,1939,46,2687,41.502568,0.984589,0.1690370568159164,592,60085,1.6903705681591639,0.01664320336800547
2020-04-29,4497,3.498274,1790,45,2662,39.804314,1.000667,0.16270540336069694,615,61420,1.6270540336069692,0.016281394599135784
2020-04-28,4345,2.573182,1704,41,2600,39.217491,0.943613,0.15720591007387774,636,67412,1.5720591007387772,0.014834159523657046
2020-04-27,4236,2.740723,1641,41,2554,38.739377,0.967894,0.15326219449319817,652,67412,1.5326219449319818,0.014834159523657046
2020-04-26,4123,4.432624,1568,41,2514,38.03056,0.994422,0.14917375540497074,670,67412,1.4917375540497073,0.014834159523657046
2020-04-25,3948,4.389212,1399,41,2508,35.435664,1.038501,0.14284210194975128,700,67412,1.4284210194975127,0.014834159523657046
2020-04-24,3782,4.706534,1252,39,2491,33.104178,1.0312,0.13683607638651452,731,70869,1.3683607638651452,0.014110541985917678
2020-04-23,3612,4.847605,1050,35,2527,29.069767,0.968992,0.13068532731572988,765,78968,1.3068532731572988,0.012663306910438942
2020-04-22,3445,4.488929,970,32,2443,28.156749,0.928882,0.12464312087560617,802,86372,1.2464312087560616,0.011577880603829891
2020-04-21,3297,2.614379,888,32,2377,26.933576,0.970579,0.11928835109633484,838,86372,1.1928835109633484,0.011577880603829891
2020-04-20,3213,4.692082,776,28,2409,24.151883,0.87146,0.1162491574378295,860,98710,1.1624915743782949,0.010130645528351153
2020-04-19,3069,5.210833,679,27,2363,22.124471,0.879765,0.11103911116610604,901,102366,1.1103911116610603,0.00976883675948147
2020-04-18,2917,4.439671,565,25,2327,19.369215,0.857045,0.10553961787928684,948,110556,1.0553961787928685,0.009045219221742102
2020-04-17,2793,4.099888,443,23,2327,15.861081,0.823487,0.10105318914530276,990,120169,1.0105318914530277,0.008321601684002734
2020-04-16,2683,5.298273,357,20,2306,13.306001,0.745434,0.09707329268773623,1030,138195,0.9707329268773623,0.0072361753773936815
