"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,595865,0.1900006,0,10060,585805,0,1.6883019,7.447335968071187,13,795,74.47335968071187,1.2573351319308255
2021-03-14,594735,0.19762,0,10019,584716,0,1.6846158,7.433212819968982,13,799,74.33212819968982,1.2522108038583442
2021-03-13,593562,0.2276204,0,9985,583577,0,1.6822169,7.418552242337223,13,801,74.18552242337223,1.24796136106653
2021-03-12,592214,0.269037,0,9961,582253,0,1.681993,7.401704451503797,14,803,74.01704451503797,1.2449617543899556
2021-03-11,590625,0.212089,0,9902,580723,0,1.676529,7.381844555632643,14,808,73.81844555632642,1.2375877213100432
2021-03-10,589375,0.2118583,0,9849,579526,0,1.671092,7.36622160419215,14,812,73.6622160419215,1.2309635898992746
2021-03-09,588129,0.262022,0,9790,578339,0,1.6646008,7.350648646196268,14,817,73.50648646196268,1.223589556819362
2021-03-08,586592,0.152296,0,9683,576909,0,1.650721,7.331438665105038,14,826,73.31438665105038,1.2102163103863006
2021-03-07,585700,0.1989609,0,9596,576104,0,1.638381,7.320290126957103,14,834,73.20290126957103,1.199342736183718
2021-03-06,584537,0.253319,0,9519,575018,0,1.6284683,7.305754532936868,14,841,73.0575453293687,1.1897189980963747
2021-03-05,583060,0.284138,0,9428,573632,0,1.616986,7.287294453514783,14,849,72.87294453514782,1.1783454894476961
2021-03-04,581408,0.2240962,0,9357,572051,0,1.609369,7.266647160891028,14,855,72.66647160891029,1.1694716530294964
2021-03-03,580108,0.2677341,0,9326,570782,0,1.6076317,7.250399291392916,14,858,72.50399291392917,1.1655971610722544
2021-03-02,578559,0.2399623,0,8943,569616,0,1.5457369,7.231039329967858,14,895,72.31039329967858,1.1177284378585859
2021-03-01,577174,0.195122,0,8783,568391,0,1.5217248,7.213729099771792,14,911,72.13729099771793,1.0977310600147556
2021-02-28,576050,0.3022737,0,8552,567498,0,1.484593,7.199680941836502,14,936,71.99680941836502,1.0688598457527256
2021-02-27,574314,0.2925054,0,8382,565932,0,1.45948,7.177983786875946,14,955,71.77983786875946,1.047612631793656
2021-02-26,572639,0.2902018,0,8197,564442,0,1.4314428,7.157049031945686,14,976,71.57049031945687,1.0244906636617273
2021-02-25,570982,0.3578547,0,7963,563019,0,1.3946149,7.13633924751617,14,1005,71.36339247516169,0.9952444985651256
2021-02-24,568946,0.3363084,0,7807,561139,0,1.3721865,7.110892584209895,14,1025,71.10892584209896,0.9757470551673911
2021-02-23,567039,0.312948,0,7658,559381,0,1.3505244,7.08705820949228,14,1045,70.87058209492281,0.9571244970503243
2021-02-22,565270,0.2047455,45892,7486,511892,8.118598,1.324323,7.064948608613696,14,1069,70.64948608613696,0.9356273158682068
2021-02-21,564115,0.4099236,45746,7331,511038,8.109339,1.2995577,7.05051300148268,14,1091,70.5051300148268,0.9162548560819963
2021-02-20,561812,0.336113,45667,7197,508948,8.1285199,1.2810335,7.021729275748718,14,1112,70.21729275748717,0.8995070521377885
2021-02-19,559930,0.364584,45524,7098,507308,8.130302,1.267658,6.998207360059912,14,1127,69.98207360059912,0.8871336745969185
2021-02-18,557896,0.414693,45305,7090,505501,8.1206892,1.270846,6.972785693475943,14,1128,69.72785693475943,0.886133805704727
2021-02-17,555592,0.41279,44595,7075,503922,8.0265735,1.2734165,6.943989469380828,14,1131,69.43989469380827,0.8842590515318679
2021-02-16,553308,0.320921,43305,7037,502966,7.826563,1.2718052,6.91544321250876,14,1137,69.1544321250876,0.8795096742939582
2021-02-15,551538,0.279819,43135,7016,501387,7.8208573,1.2720792,6.893321113269023,15,1140,68.93321113269023,0.8768850184519555
2021-02-14,549999,0.4703849,42994,7012,499993,7.8171051,1.2749114,6.874086135455489,15,1141,68.74086135455488,0.8763850840058597
2021-02-13,547424,0.5907657,42887,6996,497541,7.8343295,1.277986,6.841902855488074,15,1144,68.41902855488074,0.8743853462214767
2021-02-12,544209,0.589814,42712,6966,494531,7.8484553,1.2800229,6.801720624383128,15,1149,68.01720624383128,0.8706358378757585
2021-02-11,541018,0.6884179,42518,6958,491542,7.8588882,1.286094,6.761838353945839,15,1150,67.61838353945839,0.869635968983567
2021-02-10,537319,0.5996825,42338,6932,488049,7.8794906,1.2901089,6.715606916043134,15,1154,67.15606916043134,0.8663863950839447
