"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,51,0,0,1,50,0,1.960784,0.0475444680613044,2103,107268,0.47544468061304396,0.009322444717902823
2020-04-11,51,2,0,1,50,0,1.960784,0.0475444680613044,2103,107268,0.47544468061304396,0.009322444717902823
2020-04-10,50,11.111111,0,1,49,0,2,0.04661222358951411,2145,107268,0.4661222358951411,0.009322444717902823
2020-04-09,45,0,0,1,44,0,2.222222,0.0419510012305627,2384,107268,0.419510012305627,0.009322444717902823
2020-04-08,45,4.651163,0,1,44,0,2.222222,0.0419510012305627,2384,107268,0.419510012305627,0.009322444717902823
2020-04-07,43,0,0,1,42,0,2.325581,0.04008651228698214,2495,107268,0.4008651228698214,0.009322444717902823
2020-04-06,43,2.380952,0,1,42,0,2.325581,0.04008651228698214,2495,107268,0.4008651228698214,0.009322444717902823
2020-04-05,42,5,0,1,41,0,2.380952,0.03915426781519186,2554,107268,0.39154267815191857,0.009322444717902823
2020-04-04,40,8.108108,0,0,40,0,0,0.03728977887161129,2682,,0.3728977887161129,0
2020-04-03,37,23.333333,0,0,37,0,0,0.03449304545624044,2899,,0.34493045456240445,0
2020-04-02,30,0,0,0,30,0,0,0.02796733415370847,3576,,0.2796733415370847,0
2020-04-01,30,0,0,0,30,0,0,0.02796733415370847,3576,,0.2796733415370847,0
2020-03-31,30,0,0,0,30,0,0,0.02796733415370847,3576,,0.2796733415370847,0
2020-03-30,30,30.434783,0,0,30,0,0,0.02796733415370847,3576,,0.2796733415370847,0
2020-03-29,23,4.545455,0,0,23,0,0,0.02144162285117649,4664,,0.21441622851176492,0
2020-03-28,22,15.789474,0,0,22,0,0,0.02050937837938621,4876,,0.2050937837938621,0
2020-03-27,19,11.764706,0,0,19,0,0,0.017712644964015364,5646,,0.17712644964015364,0
2020-03-26,17,0,0,0,17,0,0,0.0158481560204348,6310,,0.15848156020434798,0
2020-03-25,17,0,0,0,17,0,0,0.0158481560204348,6310,,0.15848156020434798,0
2020-03-24,17,142.857143,0,0,17,0,0,0.0158481560204348,6310,,0.15848156020434798,0
2020-03-23,7,16.666667,0,0,7,0,0,0.006525711302531976,15324,,0.06525711302531977,0
2020-03-22,6,0,0,0,6,0,0,0.005593466830741693,17878,,0.05593466830741694,0
2020-03-21,6,100,0,0,6,0,0,0.005593466830741693,17878,,0.05593466830741694,0
2020-03-20,3,-40,0,0,3,0,0,0.0027967334153708467,35756,,0.02796733415370847,0
2020-03-19,5,25,0,0,5,0,0,0.004661222358951412,21454,,0.04661222358951411,0
2020-03-18,4,100,0,0,4,0,0,0.003728977887161129,26817,,0.03728977887161129,0
2020-03-17,2,100,0,0,2,0,0,0.0018644889435805645,53634,,0.018644889435805646,0
2020-03-16,1,,0,0,1,0,0,0.0009322444717902822,107268,,0.009322444717902823,0

