"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,14637,2.163747,0,824,13813,0,5.629569,0.2176654462610082,459,8161,2.176654462610082,0.12253626270347116
2020-04-30,14327,1.826581,0,814,13513,0,5.68158,0.21305546550396012,469,8261,2.1305546550396013,0.12104917213668147
2020-04-29,14070,1.647161,0,801,13269,0,5.692964,0.2092336427473106,478,8395,2.0923364274731058,0.11911595439985485
2020-04-28,13842,1.139851,0,786,13056,0,5.67837,0.2058430762550301,486,8555,2.0584307625503007,0.11688531854967031
2020-04-27,13686,1.220324,0,764,12922,0,5.582347,0.20352321497083817,491,8802,2.0352321497083814,0.11361371930273298
2020-04-26,13521,1.51663,0,749,12772,0,5.539531,0.20106951553563515,497,8978,2.0106951553563515,0.11138308345254842
2020-04-25,13319,2.635432,0,737,12582,0,5.533448,0.19806559259071996,505,9124,1.9806559259071996,0.10959857477240079
2020-04-24,12977,1.756449,0,722,12255,0,5.56369,0.19297974285229919,518,9314,1.929797428522992,0.10736793892221624
2020-04-23,12753,1.246427,0,711,12042,0,5.575159,0.18964865998269026,527,9458,1.8964865998269027,0.10573213929874757
2020-04-22,12596,1.646223,0,686,11910,0,5.446173,0.18731392779283043,534,9803,1.8731392779283045,0.10201441288177332
2020-04-21,12392,2.294865,0,664,11728,0,5.358296,0.18428026303657946,543,10127,1.8428026303657945,0.09874281363483599
2020-04-20,12114,-1.150551,0,643,11471,0,5.307908,0.18014615126090408,555,10458,1.801461512609041,0.09561992344457762
2020-04-19,12255,4.067595,0,636,11619,0,5.189718,0.18224294896007756,549,10573,1.8224294896007758,0.09457896004782483
2020-04-18,11776,2.24885,0,613,11163,0,5.205503,0.17511978514515492,571,10970,1.7511978514515492,0.09115865174420852
2020-04-17,11517,4.16026,0,603,10914,0,5.235738,0.1712682205771696,584,11152,1.712682205771696,0.08967156117741883
2020-04-16,11057,1.050996,0,579,10478,0,5.236502,0.16442760396993697,608,11614,1.6442760396993699,0.08610254381712355
2020-04-15,10942,1.324197,0,552,10390,0,5.044782,0.16271744981812883,615,12182,1.6271744981812883,0.08208739928679136
2020-04-14,10799,1.542078,0,530,10269,0,4.907862,0.16059091030761954,623,12688,1.6059091030761956,0.07881580003985403
2020-04-13,10635,0.245075,0,513,10122,0,4.823695,0.15815208177808446,632,13108,1.5815208177808444,0.07628774607631154
2020-04-12,10609,1.677209,0,506,10103,0,4.769535,0.15776543823071912,634,13290,1.5776543823071913,0.07524678267955875
2020-04-11,10434,3.112956,0,495,9939,0,4.744106,0.15516302973883717,644,13585,1.5516302973883715,0.07361098305609008
2020-04-10,10119,4.97977,0,483,9636,0,4.773199,0.1504786944534496,665,13922,1.5047869445344961,0.07182647437594245
2020-04-09,9639,3.913325,0,456,9183,0,4.730781,0.14334065973285906,698,14747,1.4334065973285905,0.06781132984561025
2020-04-08,9276,6.718822,0,426,8850,0,4.592497,0.13794252097541246,725,15785,1.3794252097541244,0.06335005814524117
2020-04-07,8692,4.584286,0,400,8292,0,4.601933,0.1292579120653606,774,16811,1.2925791206536061,0.059483622671587945
2020-04-06,8311,6.210863,0,381,7930,0,4.584286,0.12359209700589185,809,17650,1.2359209700589184,0.05665815059468752
2020-04-05,7825,7.975714,0,336,7489,0,4.29393,0.11636483685129392,859,20014,1.1636483685129393,0.04996624304413388
2020-04-04,7247,5.857435,0,315,6932,0,4.346626,0.10776945337524946,928,21348,1.0776945337524946,0.04684335285387551
2020-04-03,6846,7.152919,0,291,6555,0,4.250657,0.10180622020242276,982,23108,1.0180622020242276,0.04327433549358023
2020-04-02,6389,13.926534,0,271,6118,0,4.241665,0.09501021631219385,1053,24814,0.9501021631219384,0.04030015436000083
2020-04-01,5608,3.240059,0,234,5374,0,4.172611,0.0833960389855663,1199,28737,0.833960389855663,0.03479791926287895
2020-03-31,5432,10.339224,0,225,5207,0,4.142121,0.08077875958801643,1238,29887,0.8077875958801642,0.03345953775276822
2020-03-30,4923,10.257559,0,205,4718,0,4.164128,0.07320946860305687,1366,32803,0.7320946860305686,0.030485356619188823
2020-03-29,4465,10.794045,0,198,4267,0,4.43449,0.06639859380716004,1506,33962,0.6639859380716004,0.029444393222436034
2020-03-28,4030,15.904515,0,188,3842,0,4.665012,0.05992974984162486,1669,35769,0.5992974984162486,0.027957302655646336
2020-03-27,3477,8.419083,0,157,3320,0,4.515387,0.05170613900727782,1934,42831,0.5170613900727782,0.02334732189859827
2020-03-26,3207,23.774604,0,150,3057,0,4.677268,0.047690994476945636,2097,44830,0.47690994476945636,0.02230635850184548
2020-03-25,2591,11.297251,0,133,2458,0,5.133153,0.03853051658552109,2595,50560,0.3853051658552109,0.019778304538302992
2020-03-24,2328,4.81765,0,116,2212,0,4.982818,0.034619468394864183,2889,57970,0.34619468394864183,0.017250250574760505
2020-03-23,2221,11.216825,0,109,2112,0,4.907699,0.03302828148839921,3028,61693,0.3302828148839921,0.016209287178007716
2020-03-22,1997,11.377579,0,97,1900,0,4.857286,0.02969719861879028,3367,69325,0.2969719861879028,0.014424778497860077
2020-03-21,1793,17.650919,0,94,1699,0,5.24261,0.026663533862539297,3750,71538,0.26663533862539296,0.013978651327823168
2020-03-20,1524,10.755814,0,83,1441,0,5.446194,0.022663260237875005,4412,81019,0.22663260237875008,0.012342851704354499
2020-03-19,1376,35.700197,0,74,1302,0,5.377907,0.020462366199026253,4887,90872,0.20462366199026252,0.01100447019424377
2020-03-18,1014,-5.762082,0,55,959,0,5.424063,0.015079098347247544,6632,122264,0.15079098347247544,0.008178998117343343
2020-03-17,1076,19.026549,1,55,1020,0.092937,5.111524,0.016001094498657158,6250,122264,0.16001094498657156,0.008178998117343343
2020-03-16,904,40.59098,1,48,855,0.110619,5.309735,0.013443298723778875,7439,140095,0.13443298723778876,0.007138034720590553
2020-03-15,643,12.412587,1,40,602,0.155521,6.22084,0.009561992344457763,10458,168114,0.09561992344457762,0.005948362267158795
