"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-12,3341,3.983816,0,144,3197,0,4.310087,0.058745077835909404,1702,39495,0.587450778359094,0.02531963845666254
2020-04-11,3213,4.726206,0,137,3076,0,4.263928,0.056494443306428284,1770,41513,0.5649444330642829,0.024088822698352552
2020-04-10,3068,6.306306,0,128,2940,0,4.172099,0.05394489637850046,1854,44432,0.5394489637850046,0.022506345294811145
2020-04-09,2886,6.494465,0,111,2775,0,3.846154,0.0507447754068945,1971,51237,0.507447754068945,0.01951722131034404
2020-04-08,2710,5.120248,0,100,2610,0,3.690037,0.04765015292885797,2099,56873,0.4765015292885797,0.017583082261571206
2020-04-07,2578,5.267456,0,92,2486,0,3.568658,0.04532918607033057,2206,61818,0.45329186070330574,0.01617643568064551
2020-04-06,2449,5.560345,0,78,2371,0,3.184973,0.04306096845858789,2322,72914,0.43060968458587884,0.013714804164025542
2020-04-05,2320,14.285714,0,74,2246,0,3.189655,0.0407927508468452,2451,76855,0.407927508468452,0.013011480873562693
2020-04-04,2030,0.894632,0,54,1976,0,2.660099,0.03569365699098955,2802,105320,0.35693656990989553,0.009494864421248451
2020-04-03,2012,15.102975,0,51,1961,0,2.534791,0.035377161510281266,2827,111515,0.3537716151028127,0.008967371953401316
2020-04-02,1748,12.339332,0,38,1710,0,2.173913,0.030735227793226468,3254,149665,0.3073522779322647,0.006681571259397058
2020-04-01,1556,10.1983,0,27,1529,0,1.735219,0.027359275999004798,3655,210640,0.273592759990048,0.004747432210624226
2020-03-31,1412,14.796748,0,25,1387,0,1.770538,0.024827312153338544,4028,227491,0.24827312153338543,0.004395770565392801
2020-03-30,1230,5.670103,0,20,1210,0,1.626016,0.021627191181732584,4624,284364,0.21627191181732586,0.0035166164523142414
2020-03-29,1164,10.331754,0,18,1146,0,1.546392,0.020466707752468883,4886,315960,0.20466707752468885,0.0031649548070828174
2020-03-28,1055,13.930886,0,17,1038,0,1.611374,0.018550151785957623,5391,334546,0.18550151785957625,0.0029891239844671053
2020-03-27,926,27.197802,0,14,912,0,1.511879,0.01628193417421494,6142,406235,0.16281934174214938,0.002461631516619969
2020-03-26,728,17.230274,0,10,718,0,1.373626,0.012800483886423838,7812,568729,0.12800483886423838,0.0017583082261571207
2020-03-25,621,29.106029,0,7,614,0,1.127214,0.01091909408443572,9158,812469,0.1091909408443572,0.0012308157583099846
2020-03-24,481,13.176471,0,5,476,0,1.039501,0.00845746256781575,11824,1137457,0.0845746256781575,0.0008791541130785603
2020-03-23,425,11.548556,0,5,420,0,1.176471,0.007472809961167763,13382,1137457,0.07472809961167763,0.0008791541130785603
2020-03-22,381,35.106383,0,4,377,0,1.049869,0.00669915434165863,14927,1421821,0.0669915434165863,0.0007033232904628483
2020-03-21,282,36.231884,0,4,278,0,1.41844,0.0049584291977630805,20168,1421821,0.049584291977630805,0.0007033232904628483
2020-03-20,207,30.188679,0,3,204,0,1.449275,0.00363969802814524,27475,1895762,0.0363969802814524,0.0005274924678471362
2020-03-19,159,72.826087,0,0,159,0,0,0.002795710079589822,35769,,0.02795710079589822,0
2020-03-18,92,27.777778,0,0,92,0,0,0.0016176435680645511,61818,,0.01617643568064551,0
2020-03-17,72,53.191489,1,0,71,1.388889,0,0.001265981922833127,78990,,0.01265981922833127,0
2020-03-16,47,46.875,1,0,46,2.12766,0,0.0008264048662938468,121006,,0.008264048662938468,0
2020-03-15,32,18.518519,1,0,31,3.125,0,0.0005626586323702786,177728,,0.005626586323702786,0
2020-03-14,27,42.105263,1,0,26,3.703704,0,0.00047474322106242256,210640,,0.004747432210624226,0
2020-03-13,19,137.5,1,0,18,5.263158,0,0.00033407856296985294,299331,,0.003340785629698529,0
2020-03-12,8,33.333333,1,0,7,12.5,0,0.00014066465809256965,710911,,0.0014066465809256965,0
2020-03-11,6,100,1,0,5,16.666667,0,0.00010549849356942724,947881,,0.0010549849356942724,0
2020-03-10,3,,1,0,2,33.333333,0,5.274924678471362e-05,1895762,,0.0005274924678471362,0

