"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-19,313,1.294498,0,2,311,0,0.638978,0.05551860227927808,1801,281888,0.5551860227927808,0.003547514522637577
2020-04-18,309,1.311475,206,2,101,66.666667,0.647249,0.054809099374750564,1825,281888,0.5480909937475057,0.003547514522637577
2020-04-17,305,3.040541,148,2,155,48.52459,0.655738,0.05409959647022305,1848,281888,0.5409959647022305,0.003547514522637577
2020-04-16,296,3.135889,148,2,146,50,0.675676,0.05250321493503614,1905,281888,0.5250321493503615,0.003547514522637577
2020-04-15,287,1.77305,129,1,157,44.947735,0.348432,0.05090683339984923,1964,563775,0.5090683339984923,0.0017737572613187886
2020-04-14,282,2.545455,140,1,141,49.64539,0.35461,0.050019954769189835,1999,563775,0.5001995476918983,0.0017737572613187886
2020-04-13,275,1.851852,138,1,136,50.181818,0.363636,0.04877832468626669,2050,563775,0.4877832468626669,0.0017737572613187886
2020-04-12,270,3.448276,137,0,133,50.740741,0,0.04789144605560729,2088,,0.4789144605560729,0
2020-04-11,261,9.205021,0,0,261,0,0,0.04629506452042038,2160,,0.4629506452042038,0
2020-04-10,239,3.913043,0,0,239,0,0,0.04239279854551905,2359,,0.42392798545519045,0
2020-04-09,230,4.072398,0,0,230,0,0,0.04079641701033214,2451,,0.40796417010332137,0
2020-04-08,221,2.314815,0,0,221,0,0,0.03920003547514522,2551,,0.3920003547514523,0
2020-04-07,216,2.857143,0,0,216,0,0,0.03831315684448583,2610,,0.38313156844485835,0
2020-04-06,210,6.598985,0,0,210,0,0,0.03724890248769456,2685,,0.37248902487694563,0
2020-04-05,197,5.347594,0,0,197,0,0,0.03494301804798013,2862,,0.34943018047980134,0
2020-04-04,187,15.432099,0,0,187,0,0,0.033169260786661346,3015,,0.3316926078666135,0
2020-04-03,162,8,0,0,162,0,0,0.028734867633364376,3480,,0.28734867633364375,0
2020-04-02,150,15.384615,0,0,150,0,0,0.026606358919781827,3759,,0.2660635891978183,0
2020-04-01,130,19.266055,0,0,130,0,0,0.02305884439714425,4337,,0.23058844397144251,0
2020-03-31,109,15.957447,0,0,109,0,0,0.019333954148374796,5172,,0.19333954148374796,0
2020-03-30,94,9.302326,0,0,94,0,0,0.016673318256396612,5998,,0.16673318256396613,0
2020-03-29,86,4.878049,0,0,86,0,0,0.015254312447341581,6556,,0.1525431244734158,0
2020-03-28,82,17.142857,0,0,82,0,0,0.014544809542814065,6875,,0.14544809542814066,0
2020-03-27,70,32.075472,0,0,70,0,0,0.01241630082923152,8054,,0.1241630082923152,0
2020-03-26,53,20.454545,0,0,53,0,0,0.009400913484989578,10637,,0.0940091348498958,0
2020-03-25,44,51.724138,0,0,44,0,0,0.00780453194980267,12813,,0.0780453194980267,0
2020-03-24,29,11.538462,0,0,29,0,0,0.005143896057824487,19441,,0.05143896057824487,0
2020-03-23,26,0,0,0,26,0,0,0.0046117688794288505,21684,,0.04611768879428851,0
2020-03-22,26,13.043478,0,0,26,0,0,0.0046117688794288505,21684,,0.04611768879428851,0
2020-03-21,23,21.052632,0,0,23,0,0,0.004079641701033213,24512,,0.04079641701033214,0
2020-03-20,19,5.555556,0,0,19,0,0,0.003370138796505698,29672,,0.033701387965056985,0
2020-03-19,18,20,0,0,18,0,0,0.0031927630703738196,31321,,0.0319276307037382,0
2020-03-18,15,36.363636,0,0,15,0,0,0.002660635891978183,37585,,0.02660635891978183,0
2020-03-17,11,266.666667,0,0,11,0,0,0.0019511329874506674,51252,,0.019511329874506676,0
2020-03-16,3,0,0,0,3,0,0,0.0005321271783956366,187925,,0.005321271783956366,0
2020-03-15,3,50,0,0,3,0,0,0.0005321271783956366,187925,,0.005321271783956366,0
2020-03-14,2,100,0,0,2,0,0,0.0003547514522637577,281888,,0.003547514522637577,0
2020-03-13,1,0,0,0,1,0,0,0.00017737572613187884,563775,,0.0017737572613187886,0
2020-03-12,1,,0,0,1,0,0,0.00017737572613187884,563775,,0.0017737572613187886,0

