"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-01,20128541,0.80431953,8345191,347785,11435565,41.459492767,1.727820213,6.116890923340654,16,946,61.16890923340654,1.0568887778672231
2020-12-31,19967935,1.1515089,7919313,345734,11702888,39.66015014,1.73144594,6.068084137809897,16,952,60.68084137809897,1.0506559648263913
2020-12-30,19740620,1.17545374,7807570,342315,11590735,39.5507841,1.7340641,5.999005059488265,17,961,59.990050594882646,1.0402659171488664
2020-12-29,19511274,1.046888236,7702010,338565,11470699,39.47466475,1.73522754,5.9293087776909665,17,972,59.29308777690966,1.0288699888684572
2020-12-28,19309129,0.870724444,7603260,334833,11371036,39.37650424,1.734065788,5.867878646431144,17,983,58.67878646431144,1.017528761043794
2020-12-27,19142451,0.7923189,7530424,333115,11278912,39.338870451,1.740189906,5.817226632193224,17,988,58.172266321932234,1.0123079064342626
2020-12-26,18991974,1.207527032,7473612,331906,11186456,39.35142287,1.74761191,5.771497962863861,17,991,57.7149796286386,1.0086338591566586
2020-12-25,18765377,0.536753147,7362280,330243,11072854,39.233317828,1.759852733,5.702637078582371,18,996,57.0263707858237,1.0035801448285733
2020-12-24,18665191,1.07687331,7337694,329020,10998477,39.312182768,1.762746494,5.672191412697009,18,1000,56.721914126970084,0.9998635527520559
2020-12-23,18466332,1.2430422,7234883,326121,10905328,39.17877681,1.7660302,5.611759868645972,18,1009,56.11759868645972,0.9910537404627475
2020-12-22,18239606,1.07903088,7127027,322762,10789817,39.07445698,1.769567,5.542859782371198,18,1020,55.428597823711975,0.9808460276377091
2020-12-21,18044896,1.071589063,7043814,319361,10681721,39.03493819,1.76981347,5.483689083825106,18,1030,54.83689083825105,0.97051068041593
2020-12-20,17853579,1.0667738,6935156,317665,10600758,38.844626055,1.779279101,5.425549488869825,18,1036,54.255494888698244,0.96535668191897706
2020-12-19,17665132,1.124543462,6882996,316156,10465980,38.96373942,1.78971773,5.368282062292272,19,1041,53.682820622922705,0.9607709603789404
2020-12-18,17468689,1.4499311,6756160,313607,10398922,38.675827362,1.79525206,5.308584719913914,19,1049,53.08584719913913,0.9530247680624703
2020-12-17,17219025,1.3957127,6681651,310786,10226588,38.803887,1.8048989,5.232713972228579,19,1059,52.327139722285786,0.9444519910813945
2020-12-16,16982005,1.474880971,6597661,307440,10076904,38.8508954,1.81038694,5.160685627667977,19,1070,51.606856276679764,0.9342837841410615
2020-12-15,16735181,1.193079811,6490879,303758,9940544,38.785830879,1.815086434,5.085677931617744,20,1083,50.856779316177445,0.9230945020268038
2020-12-14,16537871,1.184599581,6399531,300774,9837566,38.69622033,1.818698429,5.025717115377544,20,1094,50.25717115377544,0.9140263820298062
2020-12-13,16344257,1.18706584,6298082,299290,9746885,38.53391439,1.831163081,4.96687948182866,20,1099,49.6687948182866,0.9095166333449723
2020-12-12,16152516,1.37603912,6246605,297901,9608010,38.67264394,1.84430091,4.908611036910956,20,1105,49.086110369109555,0.9052955815099087
2020-12-11,15933268,1.49493091,6135314,295547,9502407,38.5063127,1.8549051,4.841983450681005,21,1113,48.41983450681005,0.8981419774640199
2020-12-10,15698585,1.471167213,5985047,292264,9421274,38.12475456,1.8617219,4.770665300370839,21,1126,47.70665300370838,0.8881652221187978
2020-12-09,15470981,1.4553626,5889896,289344,9291741,38.0706046,1.870236929,4.701498397428592,21,1137,47.01498397428592,0.8792915926311192
2020-12-08,15249052,1.45714154,5786915,286280,9175857,37.94934269,1.87736261,4.634056078299448,22,1149,46.34056078299447,0.8699803594974729
2020-12-07,15030043,1.279814708,5714557,283760,9031726,38.020895882,1.887952017,4.567501122119071,22,1160,45.67501122119071,0.862322295693038
2020-12-06,14840117,1.237447491,5624444,282341,8933332,37.900267228,1.902552386,4.509784240130139,22,1165,45.09784240130138,0.8580100764317312
2020-12-05,14658723,1.49617424,5576026,281219,8801478,38.038961511,1.918441327,4.454660159743565,22,1170,44.54660159743564,0.8546004146902327
2020-12-04,14442636,1.6192721,5470389,278962,8693285,37.876666,1.93151721,4.388993174294797,23,1180,43.889931742947965,0.8477415853225305
2020-12-03,14212497,1.571429153,5404018,276368,8532111,38.023001869,1.944542187,4.319055906600795,23,1191,43.19055906600795,0.8398586418666956
2020-12-02,13992613,1.456083339,5322128,273525,8396960,38.035269038,1.954781426,4.252235045427209,24,1203,42.522350454272086,0.8312190087730413
2020-12-01,13791793,1.35275477,5226581,270750,8294462,37.896312684,1.963124012,4.191207570299962,24,1215,41.912075702999616,0.8227860218455386
2020-11-30,13607714,1.1705263,5146319,268162,8193233,37.81912965,1.97066164,4.135267541448511,24,1227,41.352675414485105,0.8149213118749523
2020-11-29,13450275,1.03879277,5065030,267009,8118236,37.6574457,1.9851564,4.087423180047462,24,1232,40.87423180047462,0.8114174437930025
2020-11-28,13311991,1.18566389,5023063,266167,8022761,37.733371364,1.99945297,4.045399858812046,25,1236,40.453998588120456,0.8088586780297746
2020-11-27,13156005,1.576818134,4947446,264955,7943604,37.60599057,2.01394724,3.9979970516454353,25,1242,39.97997051645435,0.8051755140095463
2020-11-26,12951779,0.89107691,4871203,263527,7817049,37.610300485,2.034678016,3.9359345223389064,25,1249,39.35934522338906,0.8008359445203665
2020-11-25,12837388,1.44969821,4835956,262284,7739148,37.670872,2.04312591,3.9011720788209256,26,1255,39.01172078820925,0.797058574159687
2020-11-24,12653944,1.396357584,4696664,259993,7697287,37.11620662,2.05464004,3.845425021021689,26,1266,38.45425021021689,0.790096421708909
2020-11-23,12479683,1.36799915,4633600,257868,7588215,37.129148232,2.066302485,3.792468598139759,26,1276,37.92468598139759,0.7836387290166772
2020-11-22,12311265,1.20718476,4526513,256952,7527800,36.76724528,2.08712915,3.7412878128296274,27,1281,37.41287812829627,0.7808550836020492
2020-11-21,12164418,1.5071339,4529700,256036,7378682,37.237293,2.10479449,3.6966622693578075,27,1285,36.966622693578074,0.7780714381874213
2020-11-20,11983806,1.673145918,4457930,254587,7271289,37.19961755,2.12442525,3.6417758320623075,27,1293,36.41775832062307,0.7736680514998713
2020-11-19,11786599,1.63613268,4410709,252682,7123208,37.421388477,2.143807556,3.58184631663845,28,1302,35.818463166384504,0.7678789199334234
2020-11-18,11596859,1.50571116,4350789,250705,6995365,37.516960411,2.1618354,3.5241859584537885,28,1313,35.24185958453788,0.7618709865439918
2020-11-17,11424834,1.4245811,4293640,248827,6882367,37.58164014,2.17794849,3.4719090367887917,29,1322,34.719090367887915,0.7561639056611629
2020-11-16,11264364,1.43614313,4244811,247143,6772410,37.683539,2.1940253,3.423143580491265,29,1331,34.23143580491264,0.7510463741347071
2020-11-15,11104882,1.24365545,4174884,246416,6683582,37.59503253,2.21898801,3.374678368917499,30,1335,33.74678368917499,0.7488370835054118
2020-11-14,10968472,1.557114298,4148444,245772,6574256,37.82153066,2.2407132,3.333224540204683,30,1339,33.33224540204683,0.7468800227553896
2020-11-13,10800299,1.68801193,4095146,244495,6460658,37.91696878,2.263779919,3.28211820829265,30,1346,32.8211820829265,0.7429993293116343
2020-11-12,10621015,1.55046624,4051256,243332,6326427,38.14377439,2.29104281,3.227635338803987,31,1352,32.276353388039865,0.7394650720876034
2020-11-11,10458854,1.41144124,3997175,241975,6219704,38.2180973,2.31359,3.1783560021138686,31,1360,31.783560021138683,0.7353412655071992
2020-11-10,10313288,1.4163076,3961873,240493,6110922,38.41522704,2.33187515,3.134119743552108,32,1368,31.341197435521075,0.7308375946507816
2020-11-09,10169260,0.785260535,3928845,239074,6001341,38.6345221,2.3509479,3.090350869995554,32,1376,30.903508699955538,0.7265253753894748
2020-11-08,10090027,1.198705,3881491,238393,5970143,38.4685888,2.362659684,3.066272641050443,33,1380,30.66272641050443,0.7244558748137525
2020-11-07,9970510,1.3104039,3851465,237914,5881131,38.6285656,2.3861768,3.0299524501093855,33,1383,30.299524501093856,0.7230002349080682
2020-11-06,9841546,1.30862148,3810791,236878,5793877,38.72146714,2.40691859,2.9907613969159277,33,1389,29.90761396915927,0.7198519197884672
2020-11-05,9714421,1.33522198,3781751,235656,5697014,38.92924756,2.4258368,2.9521292000453405,34,1396,29.521292000453403,0.7161383666261579
2020-11-04,9586421,1.0845178,3743527,234499,5608395,39.05030876,2.44615796,2.913231098181544,34,1403,29.13231098181544,0.7126223428873757
2020-11-03,9483570,1.35312124,3705130,233378,5545062,39.0689371,2.4608665,2.881975561659721,35,1410,28.81975561659721,0.7092157200600854
2020-11-02,9356959,0.90559855,3674981,231798,5450180,39.27537782,2.47727921,2.8434995649794312,35,1420,28.43499564979431,0.704414235611273
2020-11-01,9272983,1.13842837,3630579,231304,5411100,39.15222318,2.49438611,2.8179799790254143,35,1423,28.17979979025414,0.7029130119924671
2020-10-31,9168605,0.98309944,3612478,230890,5325237,39.40051949,2.5182675,2.786260400304013,36,1425,27.86260400304013,0.70165490151031
2020-10-30,9079346,1.10147299,3578452,229978,5270916,39.4131031,2.5329798,2.759135355973852,36,1431,27.59135355973852,0.6988834117525144
2020-10-29,8980429,1.02122177,3554336,228967,5197126,39.57868828,2.54962207,2.7290753283014992,37,1437,27.29075328301499,0.6958110694881161
2020-10-28,8889646,0.8835435,3518140,227992,5143514,39.57570414,2.56469155,2.7014871534460223,37,1443,27.014871534460223,0.6928481281352098
2020-10-27,8811790,0.88370369,3487666,226989,5097135,39.579541,2.5759692,2.6778273829873682,37,1450,26.77827382987368,0.6898000971844763
2020-10-26,8734602,0.77379573,3460455,226009,5048138,39.61777537,2.58751343,2.6543706119978157,38,1456,26.543706119978154,0.6868219612605294
2020-10-25,8667533,0.72692781,3422878,225549,5019106,39.49079859,2.60222834,2.6339889182954486,38,1459,26.339889182954487,0.6854240607247992
2020-10-24,8604981,0.9723761,3406656,225194,4973131,39.5893495,2.61701914,2.6149799021408846,38,1461,26.149799021408846,0.6843452461809205
2020-10-23,8522114,0.97302236,3375427,224263,4922424,39.60786021,2.63154189,2.589797331772547,39,1467,25.89797331772547,0.6815160170531709
2020-10-22,8439991,0.90719732,3353056,223315,4863620,39.72819402,2.64591514,2.564840856621293,39,1474,25.648408566212925,0.6786351263838835
2020-10-21,8364112,0.74793863,3323354,222470,4818288,39.73349472,2.65981613,2.5417818795015816,39,1479,25.417818795015815,0.6760672438780313
2020-10-20,8302018,0.74840295,3295148,221294,4785576,39.69092816,2.66554469,2.522912045617749,40,1487,25.229120456177487,0.672493480769295
2020-10-19,8240347,0.82554782,3272603,220379,4747365,39.71438339,2.6743898,2.5041707578049195,40,1493,25.04170757804919,0.6697128742688752
2020-10-18,8172876,0.6104177,3234138,219931,4718807,39.5716025,2.69098662,2.483666899751386,40,1496,24.83666899751386,0.6683514407036423
2020-10-17,8123290,0.70293669,3220573,219527,4683190,39.6461655,2.7024395,2.468598139759057,41,1499,24.685981397590563,0.6671237193635662
2020-10-16,8066587,0.85907776,3197539,218802,4650246,39.6393047,2.71244828,2.451366584524816,41,1504,24.513665845248156,0.6649205065626871
2020-10-15,7997879,0.81645166,3177397,217914,4602568,39.72799538,2.72464737,2.4304868127837396,41,1510,24.304868127837395,0.6622219507458863
2020-10-14,7933109,0.75206772,3155794,217115,4560200,39.78004084,2.73682109,2.410803765457817,41,1516,24.10803765457817,0.659793858293607
2020-10-13,7873892,0.6626387,3124593,216117,4533182,39.68295476,2.74472904,2.3928082271916575,42,1523,23.928082271916573,0.6567610219139142
2020-10-12,7822060,0.53810998,3106728,215327,4500005,39.7175169,2.752817,2.3770569270681863,42,1528,23.77056927068186,0.654360279689508
2020-10-11,7780194,0.600407,3075077,214986,4490131,39.52442574,2.76324729,2.3643342088445167,42,1531,23.643342088445166,0.6533240099445428
2020-10-10,7733760,0.71222185,3062983,214582,4456195,39.6053537,2.7746142,2.350223314610583,43,1534,23.502233146105826,0.6520962886044668
2020-10-09,7679068,0.736991,3039089,213953,4426026,39.5762741,2.78618447,2.3336028850235926,43,1538,23.336028850235923,0.6501848115675661
2020-10-08,7622888,0.7762383,3021252,212999,4388637,39.633955,2.79420346,2.3165302650024358,43,1545,23.165302650024355,0.64728568741303
2020-10-07,7564172,0.6603456,2999895,212039,4352238,39.65926475,2.80320173,2.2986869763381024,44,1552,22.986869763381023,0.6443683297732453
2020-10-06,7514550,0.59959072,2952390,211130,4351030,39.288979,2.809616,2.283607276254623,44,1559,22.83607276254623,0.6416059567580741
2020-10-05,7469762,0.5306898,2935142,210418,4324202,39.29364818,2.81693045,2.269996587299344,44,1564,22.69996587299344,0.6394422498419005
2020-10-04,7430330,0.49141229,2911699,209968,4308663,39.1866714,2.8258233,2.2580135407939284,44,1567,22.580135407939284,0.6380747384482514
2020-10-03,7393995,0.66468142,2897322,209619,4287054,39.1847979,2.8349897,2.246971646018764,45,1570,22.46971646018764,0.6370141573896213
2020-10-02,7345173,0.7522705,2873369,208923,4262881,39.11914668,2.8443578,2.232135059071934,45,1575,22.321350590719337,0.6348990731007773
2020-10-01,7290330,0.62774238,2860650,208011,4221669,39.2389645,2.8532453,2.215468741880401,45,1582,22.15468741880401,0.6321275833429818
2020-09-30,7244851,0.5919147,2840688,207149,4197014,39.20975048,2.85925825,2.201648063953342,45,1589,22.016480639533416,0.6295080392955918
2020-09-29,7202220,0.60628732,2813305,206192,4182723,39.0616366,2.8628951,2.188692868792752,46,1596,21.886928687927515,0.6265997983984314
2020-09-28,7158817,0.45732475,2794608,205295,4158914,39.03728786,2.86772242,2.1755030694552957,46,1603,21.755030694552957,0.6238738923537576
2020-09-27,7126227,0.53953274,2766280,204974,4154973,38.81829754,2.87633274,2.1655992480510684,46,1605,21.655992480510683,0.6228984008929545
2020-09-26,7087985,0.6394338,2750459,204698,4132828,38.80452625,2.88795758,2.1539778323364174,46,1608,21.539778323364175,0.6220596605715164
2020-09-25,7042950,0.7525812,2727335,203949,4111666,38.7243272,2.895789,2.1402920822001983,47,1613,21.40292082200198,0.6197835138296427
2020-09-24,6990342,0.67361612,2710183,203023,4077136,38.77039206,2.90433572,2.1243049623341776,47,1621,21.243049623341776,0.6169694792729337
2020-09-23,6943569,0.5398852,2670256,202106,4071207,38.45653438,2.91069333,2.1100910489085893,47,1628,21.10091048908589,0.6141827949440977
2020-09-22,6906283,0.57936349,2646959,201028,4058296,38.32682501,2.91079876,2.0987601533922335,48,1637,20.987601533922334,0.610906845427756
2020-09-21,6866501,0.75958911,2615949,200014,4050538,38.0972638,2.91289552,2.086670744889534,48,1645,20.866707448895337,0.6078253864207334
2020-09-20,6814737,0.58207,2590671,199593,4024473,38.01571506,2.9288438,2.070940109382678,48,1649,20.709401093826777,0.6065460035391195
2020-09-19,6775300,0.63738147,2577446,199354,3998500,38.041799,2.942364,2.0589555434201583,49,1651,20.58955543420158,0.6058197030433814
2020-09-18,6732389,0.73623579,2556465,198644,3977280,37.97262755,2.95057223,2.0459152586617413,49,1657,20.45915258661741,0.6036620739556239
2020-09-17,6683185,0.68214294,2540334,197718,3945133,38.01082867,2.95843973,2.030962585192161,49,1664,20.30962585192161,0.6008480393989148
2020-09-16,6637905,0.5755982,2525573,196856,3915476,38.04774247,2.96563449,2.0172023816578433,50,1672,20.17202381657843,0.5982284953515249
2020-09-15,6599916,0.5989678,2495127,195865,3908924,37.8054357,2.96768929,2.0056578504726574,50,1680,20.056578504726573,0.5952169313712887
2020-09-14,6560620,0.52504047,2474570,194573,3891477,37.7185388,2.9657715,1.993716133200472,50,1691,19.93716133200472,0.5912906542144117
2020-09-13,6526354,0.52730071,2451406,194161,3880787,37.56164621,2.97503016,1.9833029897749654,50,1695,19.833029897749654,0.5900386215606708
2020-09-12,6492121,0.64440987,2434658,193773,3863690,37.5017348,2.98474104,1.9728998747663455,51,1698,19.728998747663454,0.5888595228479245
2020-09-11,6450553,0.74617623,2417878,193055,3839620,37.48326694,2.99284418,1.9602677161860775,51,1705,19.602677161860775,0.5866775824465021
2020-09-10,6402777,0.5472107,2403511,191853,3807413,37.53857115,2.99640297,1.9457489996654156,51,1715,19.457489996654154,0.5830248075683551
2020-09-09,6367931,0.5463319,2387479,190941,3789511,37.49222471,2.99847784,1.9351595992158386,52,1723,19.351595992158384,0.5802533178105596
2020-09-08,6333330,0.42521114,2359111,189758,3784461,37.2491407,2.9961805,1.9246446521643603,52,1734,19.246446521643602,0.5766582823023665
2020-09-07,6306514,0.38356257,2333551,189307,3783656,37.00223293,3.00176928,1.916495499823895,52,1738,19.164954998238947,0.5752877319945092
2020-09-06,6282417,0.50714182,2315995,189035,3777387,36.86471306,3.0089534,1.9091726282566144,52,1741,19.091726282566142,0.5744611473299036
2020-09-05,6250717,0.70227348,2302187,188630,3759900,36.83076677,3.01773381,1.8995392702169085,53,1744,18.995392702169084,0.5732303870756194
2020-09-04,6207126,0.82158094,2283454,187842,3735830,36.7876212,3.02623146,1.8862923392923403,53,1752,18.8629233929234,0.5708357226796295
2020-09-03,6156545,0.5963187,2266957,186883,3702705,36.82190254,3.03551749,1.8709212073363035,53,1761,18.709212073363034,0.5679214039540528
2020-09-02,6120050,0.65982635,2231757,185823,3702470,36.4663197,3.0362987,1.8598306899338095,54,1771,18.59830689933809,0.5647001548934572
2020-09-01,6079933,0.704492,2202663,184774,3692496,36.2284091,3.03907954,1.8476394778051382,54,1781,18.47639477805138,0.5615123338891507
2020-08-31,6037400,0.62224326,2184825,183723,3668852,36.188177,3.043081,1.8347140640037878,55,1791,18.347140640037875,0.5583184350564281
2020-08-30,6000065,0.58150568,2153939,183193,3662933,35.89859443,3.05318359,1.8233682778078124,55,1796,18.233682778078123,0.5567078105261302
2020-08-29,5965376,0.78849992,2140614,182758,3642004,35.8839745,3.0636459,1.8128265883113028,55,1801,18.128265883113027,0.5553858828456028
2020-08-28,5918707,0.8048608,2118367,181911,3618429,35.79104355,3.07349223,1.7986442795934783,56,1809,17.98644279593478,0.5528119225113344
2020-08-27,5871450,0.77972572,2101326,180948,3589176,35.788877,3.081828,1.7842832827202173,56,1819,17.84283282720217,0.5498854481289253
2020-08-26,5826023,0.76042168,2084465,179839,3561719,35.77852336,3.08682269,1.77047840714704,56,1830,17.7047840714704,0.5465152922721322
2020-08-25,5782055,0.69493122,2053699,178613,3549743,35.51849645,3.08909203,1.757116909156826,57,1842,17.571169091568258,0.5427895834529906
2020-08-24,5742151,0.64744296,2020774,177393,3543984,35.19193417,3.0893127,1.7449904259007873,57,1855,17.449904259007873,0.5390821081190974
2020-08-23,5705213,0.6109085,1997761,176938,3530514,35.01641394,3.10133907,1.733765284598874,58,1860,17.33765284598874,0.5376994021544078
2020-08-22,5670571,0.78066045,1985484,176484,3508603,35.01382841,3.11227917,1.7232378779991424,58,1865,17.23237877999142,0.5363197351039263
2020-08-21,5626646,0.88619404,1965056,175505,3486085,34.92410932,3.11917615,1.7098894473400232,58,1875,17.098894473400232,0.5333446380941874
2020-08-20,5577221,0.79390352,1947035,174408,3455778,34.91048678,3.1271488,1.694869613866444,59,1887,16.948696138664438,0.5300109492078918
2020-08-19,5533292,0.85522835,1925049,173329,3434914,34.79030205,3.13247521,1.6815199676416415,59,1898,16.815199676416412,0.5267319607773421
2020-08-18,5486371,0.82766453,1898159,171979,3416233,34.59771496,3.13465859,1.6672610782857729,60,1913,16.672610782857728,0.5226294265963948
2020-08-17,5441335,0.670553,1865580,170676,3405079,34.28533623,3.13665672,1.6535750242581326,60,1928,16.535750242581326,0.5186697213832286
2020-08-16,5405091,0.7763846,1833067,170228,3401796,33.91371209,3.14940118,1.642560783602262,61,1933,16.425607836022618,0.5173082878179958
2020-08-15,5363450,0.89042485,1818527,169656,3375267,33.9059188,3.1631879,1.6299064409482749,61,1940,16.29906440948275,0.5155700288909574
2020-08-14,5316114,1.23066119,1796326,168627,3351161,33.79020841,3.1719974,1.6155214366527697,62,1951,16.155214366527694,0.5124429861708131
2020-08-13,5251486,0.99495149,1774648,167288,3309550,33.79325395,3.18553644,1.5958815419086023,63,1967,15.95881541908602,0.508373880046155
2020-08-12,5199751,1.09229624,1753760,166221,3279770,33.72776889,3.19671077,1.5801597192529497,63,1980,15.801597192529497,0.5051313585861026
2020-08-11,5143568,0.9251992,1714960,164715,3263893,33.3418359,3.20234903,1.5630861875575304,64,1998,15.630861875575304,0.5005547537886903
2020-08-10,5096416,0.96547286,1670755,163667,3261994,32.78294001,3.21141367,1.5487570992834545,65,2011,15.487570992834543,0.49736997169859193
2020-08-09,5047682,0.95091433,1656864,163129,3227689,32.82425478,3.23176064,1.5339472547816555,65,2017,15.339472547816554,0.49573503585462925
