"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-01,1278,1.107595,1004,35,239,78.56025,2.738654,0.03691827714706647,2709,98906,0.3691827714706647,0.010110639281277985
2020-07-31,1264,1.689461,994,35,235,78.639241,2.768987,0.036513851575815354,2739,98906,0.36513851575815354,0.010110639281277985
2020-07-30,1243,0.485044,978,35,230,78.680611,2.815768,0.03590721321893867,2785,98906,0.3590721321893867,0.010110639281277985
2020-07-29,1237,1.559934,967,35,235,78.172999,2.829426,0.035733887974116765,2798,98906,0.3573388797411676,0.010110639281277985
2020-07-28,1218,1.331115,958,35,225,78.65353,2.873563,0.035185024698847385,2842,98906,0.3518502469884739,0.010110639281277985
2020-07-27,1202,0.838926,951,35,216,79.118136,2.911814,0.03472282404598896,2880,98906,0.34722824045988965,0.010110639281277985
2020-07-26,1192,1.53322,948,34,210,79.530201,2.852349,0.034433948637952454,2904,101815,0.34433948637952455,0.009821763873241471
2020-07-25,1174,0.686106,947,34,193,80.664395,2.896082,0.033913972903486723,2949,101815,0.3391397290348673,0.009821763873241471
2020-07-24,1166,2.19106,946,34,186,81.132075,2.915952,0.033682872577057515,2969,101815,0.33682872577057515,0.009821763873241471
2020-07-23,1141,2.148612,940,34,167,82.383874,2.979842,0.03296068405696623,3034,101815,0.32960684056966233,0.009821763873241471
2020-07-22,1117,1.916058,934,34,149,83.616831,3.043868,0.032267383077678596,3099,101815,0.32267383077678596,0.009821763873241471
2020-07-21,1096,3.007519,929,33,134,84.762774,3.010949,0.031660744720801916,3158,104900,0.3166074472080192,0.009532888465204958
2020-07-20,1064,0.948767,927,33,104,87.12406,3.101504,0.030736343415085073,3253,104900,0.30736343415085077,0.009532888465204958
2020-07-19,1054,0.957854,922,33,99,87.476281,3.13093,0.03044746800704856,3284,104900,0.3044746800704856,0.009532888465204958
2020-07-18,1044,0.675024,921,33,90,88.218391,3.16092,0.030158592599012046,3316,104900,0.30158592599012046,0.009532888465204958
2020-07-17,1037,1.072125,917,32,88,88.428158,3.085824,0.029956379813386485,3338,108178,0.29956379813386486,0.009244013057168444
2020-07-16,1026,1.684836,916,32,78,89.278752,3.118908,0.02963861686454632,3374,108178,0.29638616864546324,0.009244013057168444
2020-07-15,1009,1.203611,909,31,69,90.089197,3.072349,0.029147528670884246,3431,111668,0.2914752867088425,0.00895513764913193
2020-07-14,997,0.808898,905,31,61,90.772317,3.109328,0.02880087818124043,3472,111668,0.2880087818124043,0.00895513764913193
2020-07-13,989,0.202634,903,31,55,91.304348,3.134479,0.02856977785481122,3500,111668,0.28569777854811224,0.00895513764913193
2020-07-12,987,0.10142,896,31,60,90.780142,3.140831,0.028512002773203916,3507,111668,0.2851200277320392,0.00895513764913193
2020-07-11,986,0.101523,896,30,60,90.872211,3.042596,0.028483115232400266,3511,115390,0.2848311523240027,0.008666262241095415
2020-07-10,985,0.818833,886,29,70,89.949239,2.944162,0.028454227691596615,3514,119369,0.2845422769159662,0.008377386833058902
2020-07-09,977,0.308008,878,29,70,89.86694,2.96827,0.028223127365167404,3543,119369,0.28223127365167405,0.008377386833058902
2020-07-08,974,0.932642,871,29,74,89.425051,2.977413,0.02813646474275645,3554,119369,0.2813646474275645,0.008377386833058902
2020-07-07,965,0.520833,865,29,71,89.637306,3.005181,0.02787647687552359,3587,119369,0.27876476875523587,0.008377386833058902
2020-07-06,960,0.41841,858,29,73,89.375,3.020833,0.02773203917150533,3606,119369,0.2773203917150533,0.008377386833058902
2020-07-05,956,0.104712,849,28,79,88.807531,2.92887,0.027616489008290723,3621,123632,0.27616489008290723,0.008088511425022388
2020-07-04,955,0.315126,840,28,87,87.958115,2.931937,0.027587601467487073,3625,123632,0.2758760146748707,0.008088511425022388
2020-07-03,952,0.527983,837,28,87,87.920168,2.941176,0.02750093884507612,3636,123632,0.2750093884507612,0.008088511425022388
2020-07-02,947,0.424178,828,28,91,87.434002,2.956705,0.02735650114105786,3655,123632,0.27356501141057865,0.008088511425022388
2020-07-01,943,0.747863,825,28,90,87.486744,2.969247,0.027240950977843258,3671,123632,0.2724095097784326,0.008088511425022388
2020-06-30,936,0.429185,824,27,85,88.034188,2.884615,0.027038738192217696,3698,128211,0.270387381922177,0.007799636016985874
2020-06-29,932,0.322928,822,27,83,88.197425,2.896996,0.026923188029003092,3714,128211,0.2692318802900309,0.007799636016985874
2020-06-28,929,0.541126,818,27,84,88.051668,2.906351,0.02683652540659214,3726,128211,0.2683652540659214,0.007799636016985874
2020-06-27,924,0.54407,818,26,80,88.528139,2.813853,0.02669208770257388,3746,133142,0.2669208770257388,0.0075107606089493606
2020-06-26,919,1.323043,818,26,75,89.009793,2.829162,0.026547649998555623,3767,133142,0.2654764999855562,0.0075107606089493606
2020-06-25,907,0.554324,818,26,63,90.187431,2.866593,0.026200999508911808,3817,133142,0.2620099950891181,0.0075107606089493606
2020-06-24,902,1.920904,815,26,61,90.354767,2.882483,0.02605656180489355,3838,133142,0.2605656180489355,0.0075107606089493606
2020-06-23,885,0.340136,815,25,45,92.090395,2.824859,0.025565473611231477,3912,138468,0.25565473611231476,0.007221885200912847
2020-06-22,882,0.684932,815,25,42,92.403628,2.834467,0.025478810988820523,3925,138468,0.2547881098882052,0.007221885200912847
2020-06-21,876,1.979045,814,25,37,92.922374,2.853881,0.025305485743998612,3952,138468,0.2530548574399861,0.007221885200912847
2020-06-20,859,0.7034,815,25,19,94.877765,2.910361,0.02481439755033654,4030,138468,0.24814397550336542,0.007221885200912847
2020-06-19,853,0.352941,814,24,15,95.427902,2.813599,0.02464107230551463,4058,144238,0.24641072305514633,0.006933009792876333
2020-06-18,850,0.117786,814,24,12,95.764706,2.823529,0.024554409683103677,4073,144238,0.24554409683103678,0.006933009792876333
2020-06-17,849,0,810,24,15,95.40636,2.826855,0.024525522142300027,4077,144238,0.24525522142300027,0.006933009792876333
2020-06-16,849,0.117925,801,24,24,94.34629,2.826855,0.024525522142300027,4077,144238,0.24525522142300027,0.006933009792876333
2020-06-15,848,0,792,23,33,93.396226,2.712264,0.024496634601496373,4082,150509,0.24496634601496375,0.006644134384839819
2020-06-14,848,0.118064,788,23,37,92.924528,2.712264,0.024496634601496373,4082,150509,0.24496634601496375,0.006644134384839819
2020-06-13,847,0,784,23,40,92.561983,2.715466,0.024467747060692723,4087,150509,0.24467747060692724,0.006644134384839819
2020-06-12,847,0,780,23,44,92.089728,2.715466,0.024467747060692723,4087,150509,0.24467747060692724,0.006644134384839819
2020-06-11,847,0,772,23,52,91.145218,2.715466,0.024467747060692723,4087,150509,0.24467747060692724,0.006644134384839819
2020-06-10,847,0.118203,758,23,66,89.492326,2.715466,0.024467747060692723,4087,150509,0.24467747060692724,0.006644134384839819
2020-06-09,846,0.118343,754,23,69,89.125296,2.718676,0.024438859519889073,4092,150509,0.24438859519889072,0.006644134384839819
2020-06-08,845,0,738,23,84,87.337278,2.721893,0.02440997197908542,4097,150509,0.2440997197908542,0.006644134384839819
2020-06-07,845,0,730,23,92,86.390533,2.721893,0.02440997197908542,4097,150509,0.2440997197908542,0.006644134384839819
2020-06-06,845,1.318945,726,23,96,85.91716,2.721893,0.02440997197908542,4097,150509,0.2440997197908542,0.006644134384839819
2020-06-05,834,0.240385,721,23,90,86.450839,2.757794,0.024092209030245254,4151,150509,0.24092209030245257,0.006644134384839819
2020-06-04,832,0.483092,709,23,100,85.216346,2.764423,0.024034433948637954,4161,150509,0.24034433948637954,0.006644134384839819
2020-06-03,828,0.242131,698,23,107,84.299517,2.777778,0.023918883785423346,4181,150509,0.23918883785423348,0.006644134384839819
2020-06-02,826,0.121212,691,23,112,83.656174,2.784504,0.023861108703816043,4191,150509,0.23861108703816045,0.006644134384839819
2020-06-01,825,0.243013,689,23,113,83.515152,2.787879,0.023832221163012392,4196,150509,0.23832221163012393,0.006644134384839819
2020-05-31,823,0.243605,685,22,116,83.232078,2.673147,0.02377444608140509,4206,157350,0.2377444608140509,0.006355258976803305
2020-05-30,821,0.612745,682,22,117,83.069428,2.679659,0.02371667099979779,4216,157350,0.2371667099979779,0.006355258976803305
2020-05-29,816,0.616523,680,22,114,83.333333,2.696078,0.02357223329577953,4242,157350,0.23572233295779532,0.006355258976803305
2020-05-28,811,0.996264,654,22,135,80.641184,2.7127,0.023427795591761273,4268,157350,0.23427795591761275,0.006355258976803305
2020-05-27,803,1.774398,650,22,131,80.946451,2.739726,0.02319669526533206,4311,157350,0.23196695265332062,0.006355258976803305
2020-05-26,789,0.25413,638,22,129,80.86185,2.78834,0.022792269694080942,4387,157350,0.22792269694080944,0.006355258976803305
2020-05-25,787,2.340702,629,22,136,79.923761,2.795426,0.02273449461247364,4399,157350,0.2273449461247364,0.006355258976803305
2020-05-24,769,0.65445,618,22,129,80.364109,2.860858,0.022214518878007915,4502,157350,0.22214518878007916,0.006355258976803305
2020-05-23,764,1.460823,616,22,126,80.628272,2.879581,0.022070081173989658,4531,157350,0.22070081173989659,0.006355258976803305
2020-05-22,753,0.534045,603,20,130,80.079681,2.656042,0.021752318225149492,4597,173085,0.21752318225149495,0.005777508160730277
2020-05-21,749,0.402145,594,20,135,79.305741,2.670227,0.02163676806193489,4622,173085,0.21636768061934888,0.005777508160730277
2020-05-20,746,1.084011,588,20,138,78.820375,2.680965,0.021550105439523935,4640,173085,0.21550105439523934,0.005777508160730277
2020-05-19,738,0.135685,579,20,139,78.455285,2.710027,0.021319005113094723,4691,173085,0.21319005113094724,0.005777508160730277
2020-05-18,737,0.408719,569,20,148,77.204885,2.713704,0.02129011757229107,4697,173085,0.21290117572291073,0.005777508160730277
2020-05-17,734,0.136426,564,20,150,76.839237,2.724796,0.021203454949880116,4716,173085,0.21203454949880118,0.005777508160730277
2020-05-16,733,0.136612,558,19,156,76.125512,2.592087,0.021174567409076465,4723,182195,0.21174567409076467,0.0054886327526937635
2020-05-15,732,1.104972,553,19,160,75.546448,2.595628,0.021145679868272815,4729,182195,0.21145679868272815,0.0054886327526937635
2020-05-14,724,0.69541,547,19,158,75.552486,2.624309,0.020914579541843604,4781,182195,0.20914579541843603,0.0054886327526937635
2020-05-13,719,0.27894,545,19,155,75.799722,2.642559,0.020770141837825346,4815,182195,0.20770141837825348,0.0054886327526937635
2020-05-12,717,0.843882,532,19,166,74.198047,2.64993,0.020712366756218042,4828,182195,0.20712366756218045,0.0054886327526937635
2020-05-11,711,0.565771,523,19,169,73.558368,2.672293,0.020539041511396135,4869,182195,0.20539041511396136,0.0054886327526937635
2020-05-10,707,0.712251,517,19,171,73.125884,2.687412,0.02042349134818153,4896,182195,0.2042349134818153,0.0054886327526937635
2020-05-09,702,1.152738,513,18,171,73.076923,2.564103,0.020279053644163273,4931,192317,0.20279053644163272,0.00519975734465725
2020-05-08,694,1.461988,506,18,170,72.910663,2.59366,0.02004795331773406,4988,192317,0.20047953317734063,0.00519975734465725
2020-05-07,684,1.634473,492,17,175,71.929825,2.48538,0.019759077909697546,5061,203629,0.19759077909697548,0.004910881936620736
2020-05-06,673,0.447761,486,17,170,72.213967,2.526003,0.01944131496085738,5144,203629,0.19441314960857384,0.004910881936620736
2020-05-05,670,1.978691,468,17,185,69.850746,2.537313,0.019354652338446427,5167,203629,0.1935465233844643,0.004910881936620736
2020-05-04,657,0.305344,447,17,193,68.03653,2.587519,0.01897911430799896,5269,203629,0.18979114307998962,0.004910881936620736
2020-05-03,655,0.460123,442,17,196,67.480916,2.59542,0.018921339226391658,5285,203629,0.1892133922639166,0.004910881936620736
2020-05-02,652,0.617284,440,17,195,67.484663,2.607362,0.018834676603980704,5309,203629,0.18834676603980705,0.004910881936620736
2020-05-01,648,0.777605,435,17,196,67.12963,2.623457,0.018719126440766096,5342,203629,0.18719126440766098,0.004910881936620736
2020-04-30,643,2.063492,417,17,209,64.852255,2.643857,0.018574688736747842,5384,203629,0.1857468873674784,0.004910881936620736
2020-04-29,630,0.8,412,15,203,65.396825,2.380952,0.018199150706300373,5495,230780,0.18199150706300374,0.004333131120547708
2020-04-28,625,0.806452,394,15,216,63.04,2.4,0.018054713002282115,5539,230780,0.18054713002282116,0.004333131120547708
2020-04-27,620,2.310231,386,15,219,62.258065,2.419355,0.017910275298263858,5583,230780,0.17910275298263859,0.004333131120547708
2020-04-26,606,1.677852,375,15,216,61.881188,2.475248,0.01750584972701274,5712,230780,0.1750584972701274,0.004333131120547708
2020-04-25,596,5.861456,370,14,212,62.080537,2.348993,0.017216974318976227,5808,247264,0.17216974318976228,0.004044255712511194
2020-04-24,563,1.077199,369,12,182,65.541741,2.131439,0.01626368547245573,6149,288475,0.1626368547245573,0.0034665048964381663
