"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-08-01,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-31,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-30,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-29,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-28,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-27,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-26,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-25,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-24,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-23,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-22,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-21,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-20,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-19,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-18,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-17,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-16,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-15,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-14,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-13,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-12,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-11,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-10,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-09,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-08,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-07,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-06,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-05,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-04,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-03,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-02,12,0,12,0,0,100,0,1.5,67,,15,0
2020-07-01,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-30,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-29,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-28,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-27,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-26,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-25,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-24,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-23,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-22,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-21,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-20,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-19,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-18,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-17,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-16,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-15,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-14,12,0,12,0,0,100,0,1.5,67,,15,0
2020-06-13,12,0,12,0,0,100,0,1.5,67,,15,0
