"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-01-01,113884,0.287078,107901,1030,4953,94.746409,0.904429,0.3993715764593664,250,27685,3.993715764593664,0.03612032627525793
2020-12-31,113558,0.386312,107583,1028,4947,94.738372,0.905264,0.3982283505986155,251,27739,3.982283505986155,0.03605018971938364
2020-12-30,113121,0.2303719,107203,1025,4893,94.7684338,0.9061094,0.3966958668527623,252,27820,3.9669586685276235,0.03594498488557221
2020-12-29,112861,0.199759,106958,1021,4882,94.7696724,0.9046526,0.3957840916263966,253,27929,3.957840916263966,0.03580471177382363
2020-12-28,112636,0.28491,106737,1018,4881,94.762776,0.903796,0.3949950553728109,253,28012,3.9499505537281085,0.035699506940012206
2020-12-27,112316,0.3260355,106453,1014,4849,94.779907,0.90281,0.39387287047882225,254,28122,3.9387287047882227,0.03555923382826363
2020-12-26,111951,0.31182,106105,1013,4833,94.7780725,0.9048602,0.39259287833411655,255,28150,3.925928783341165,0.03552416555032649
2020-12-25,111603,0.321812,105804,1010,4789,94.803903,0.9049936,0.39137250226190395,256,28233,3.9137250226190394,0.035418960716515055
2020-12-24,111245,0.199056,105479,1006,4760,94.816846,0.90431,0.39011705791175416,256,28346,3.901170579117542,0.03527868760476648
2020-12-23,111024,0.176851,105249,1002,4773,94.798422,0.902508,0.3893420489693433,257,28459,3.8934204896934332,0.035138414493017904
2020-12-22,110828,0.2850343,104799,997,5032,94.560039,0.899592,0.3886547107217753,257,28602,3.886547107217753,0.03496307310333219
2020-12-21,110513,0.397911,104799,993,4721,94.8295676,0.8985368,0.3875500599667553,258,28717,3.8755005996675527,0.034822799991583615
2020-12-20,110075,0.267806,104462,988,4625,94.900749,0.89757,0.3860140693931084,259,28862,3.860140693931084,0.0346474586018979
2020-12-19,109781,0.35285,104208,984,4589,94.9235296,0.89633,0.38498306202175636,260,28979,3.849830620217564,0.03450718549014932
2020-12-18,109395,0.2878595,103975,979,4441,95.045477,0.894922,0.3836294264933826,261,29127,3.836294264933826,0.0343318441004636
2020-12-17,109081,0.334814,103741,975,4365,95.1045553,0.8938312,0.3825282825661563,261,29247,3.825282825661563,0.03419157098871503
