"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-09-07,63,0,10,1,52,15.873016,1.587302,0.21,476,30000,2.1,0.03333333333333333
2020-09-06,63,0,10,1,52,15.873016,1.587302,0.21,476,30000,2.1,0.03333333333333333
2020-09-05,63,0,10,1,52,15.873016,1.587302,0.21,476,30000,2.1,0.03333333333333333
2020-09-04,63,34.042553,10,1,52,15.873016,1.587302,0.21,476,30000,2.1,0.03333333333333333
2020-09-03,47,0,8,1,38,17.021277,2.12766,0.15666666666666668,638,30000,1.5666666666666667,0.03333333333333333
2020-09-02,47,0,8,1,38,17.021277,2.12766,0.15666666666666668,638,30000,1.5666666666666667,0.03333333333333333
2020-09-01,47,0,8,1,38,17.021277,2.12766,0.15666666666666668,638,30000,1.5666666666666667,0.03333333333333333
2020-08-31,47,0,8,1,38,17.021277,2.12766,0.15666666666666668,638,30000,1.5666666666666667,0.03333333333333333
2020-08-30,47,34.285714,8,1,38,17.021277,2.12766,0.15666666666666668,638,30000,1.5666666666666667,0.03333333333333333
2020-08-29,35,0,8,1,26,22.857143,2.857143,0.11666666666666667,857,30000,1.1666666666666667,0.03333333333333333
2020-08-28,35,34.615385,8,1,26,22.857143,2.857143,0.11666666666666667,857,30000,1.1666666666666667,0.03333333333333333
2020-08-27,26,0,8,1,17,30.769231,3.846154,0.08666666666666667,1154,30000,0.8666666666666667,0.03333333333333333
2020-08-26,26,0,8,1,17,30.769231,3.846154,0.08666666666666667,1154,30000,0.8666666666666667,0.03333333333333333
2020-08-25,26,23.809524,8,1,17,30.769231,3.846154,0.08666666666666667,1154,30000,0.8666666666666667,0.03333333333333333
2020-08-24,21,0,8,1,12,38.095238,4.761905,0.07,1429,30000,0.7,0.03333333333333333
2020-08-23,21,0,8,1,12,38.095238,4.761905,0.07,1429,30000,0.7,0.03333333333333333
2020-08-22,21,0,8,1,12,38.095238,4.761905,0.07,1429,30000,0.7,0.03333333333333333
2020-08-21,21,90.909091,8,1,12,38.095238,4.761905,0.07,1429,30000,0.7,0.03333333333333333
2020-08-20,11,0,8,1,2,72.727273,9.090909,0.03666666666666667,2727,30000,0.36666666666666664,0.03333333333333333
2020-08-19,11,0,8,1,2,72.727273,9.090909,0.03666666666666667,2727,30000,0.36666666666666664,0.03333333333333333
2020-08-18,11,22.222222,8,1,2,72.727273,9.090909,0.03666666666666667,2727,30000,0.36666666666666664,0.03333333333333333
2020-08-17,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-16,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-15,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-14,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-13,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-12,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-11,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-10,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-09,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-08,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-07,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-06,9,0,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-05,9,12.5,7,1,1,77.777778,11.111111,0.03,3333,30000,0.3,0.03333333333333333
2020-08-04,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-08-03,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-08-02,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-08-01,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-31,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-30,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-29,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-28,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-27,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-26,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-25,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-24,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-23,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-22,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-21,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-20,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-19,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-18,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-17,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-16,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-15,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-14,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-13,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-12,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-11,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-10,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
2020-07-09,8,0,7,1,0,87.5,12.5,0.02666666666666667,3750,30000,0.26666666666666666,0.03333333333333333
