"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-23,349,0,329,0,20,94.269341,0,0.00036180012668187816,276396,,0.0036180012668187815,0
2020-06-22,349,0,328,0,21,93.982808,0,0.00036180012668187816,276396,,0.0036180012668187815,0
2020-06-21,349,0,327,0,22,93.696275,0,0.00036180012668187816,276396,,0.0036180012668187815,0
2020-06-20,349,0,327,0,22,93.696275,0,0.00036180012668187816,276396,,0.0036180012668187815,0
2020-06-19,349,2.046784,326,0,23,93.409742,0,0.00036180012668187816,276396,,0.0036180012668187815,0
2020-06-18,342,2.089552,325,0,17,95.02924,0,0.0003545433906166256,282053,,0.003545433906166256,0
2020-06-17,335,0.299401,325,0,10,97.014925,0,0.00034728665455137305,287947,,0.00347286654551373,0
2020-06-16,334,0,325,0,9,97.305389,0,0.00034624997797062264,288809,,0.003462499779706226,0
2020-06-15,334,0,323,0,11,96.706587,0,0.00034624997797062264,288809,,0.003462499779706226,0
2020-06-14,334,0,323,0,11,96.706587,0,0.00034624997797062264,288809,,0.003462499779706226,0
2020-06-13,334,0.3003,323,0,11,96.706587,0,0.00034624997797062264,288809,,0.003462499779706226,0
2020-06-12,333,0.301205,323,0,10,96.996997,0,0.0003452133013898723,289676,,0.003452133013898723,0
2020-06-11,332,0,321,0,11,96.686747,0,0.00034417662480912194,290548,,0.003441766248091219,0
2020-06-10,332,0,320,0,12,96.385542,0,0.00034417662480912194,290548,,0.003441766248091219,0
2020-06-09,332,0,316,0,16,95.180723,0,0.00034417662480912194,290548,,0.003441766248091219,0
2020-06-08,332,0.302115,316,0,16,95.180723,0,0.00034417662480912194,290548,,0.003441766248091219,0
2020-06-07,331,0.607903,307,0,24,92.749245,0,0.00034313994822837154,291426,,0.0034313994822837155,0
2020-06-06,329,0.304878,307,0,22,93.31307,0,0.00034106659506687084,293198,,0.003410665950668708,0
2020-06-05,328,0,307,0,21,93.597561,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-06-04,328,0,302,0,26,92.073171,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-06-03,328,0,302,0,26,92.073171,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-06-02,328,0,298,0,30,90.853659,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-06-01,328,0,293,0,35,89.329268,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-05-31,328,0,279,0,49,85.060976,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-05-30,328,0,279,0,49,85.060976,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-05-29,328,0.30581,279,0,49,85.060976,0,0.00034002991848612043,294092,,0.0034002991848612043,0
2020-05-28,327,0,278,0,49,85.015291,0,0.0003389932419053701,294991,,0.0033899324190537006,0
2020-05-27,327,0,278,0,49,85.015291,0,0.0003389932419053701,294991,,0.0033899324190537006,0
2020-05-26,327,0.306748,272,0,55,83.180428,0,0.0003389932419053701,294991,,0.0033899324190537006,0
2020-05-25,326,0.307692,272,0,54,83.435583,0,0.00033795656532461973,295896,,0.003379565653246197,0
2020-05-24,325,0,267,0,58,82.153846,0,0.00033691988874386933,296806,,0.003369198887438693,0
2020-05-23,325,0.308642,267,0,58,82.153846,0,0.00033691988874386933,296806,,0.003369198887438693,0
2020-05-22,324,0,267,0,57,82.407407,0,0.000335883212163119,297723,,0.0033588321216311895,0
2020-05-21,324,0,266,0,58,82.098765,0,0.000335883212163119,297723,,0.0033588321216311895,0
2020-05-20,324,0,263,0,61,81.17284,0,0.000335883212163119,297723,,0.0033588321216311895,0
2020-05-19,324,0,263,0,61,81.17284,0,0.000335883212163119,297723,,0.0033588321216311895,0
2020-05-18,324,1.25,263,0,61,81.17284,0,0.000335883212163119,297723,,0.0033588321216311895,0
2020-05-17,320,0.628931,260,0,60,81.25,0,0.0003317365058401175,301444,,0.003317365058401175,0
2020-05-16,318,1.273885,260,0,58,81.761006,0,0.00032966315267861677,303340,,0.0032966315267861676,0
2020-05-15,314,0.641026,260,0,54,82.802548,0,0.0003255164463556153,307204,,0.003255164463556153,0
2020-05-14,312,8.333333,260,0,52,83.333333,0,0.00032344309319411456,309173,,0.0032344309319411457,0
2020-05-13,288,0,252,0,36,87.5,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-12,288,0,252,0,36,87.5,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-11,288,0,249,0,39,86.458333,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-10,288,0,241,0,47,83.680556,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-09,288,0,241,0,47,83.680556,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-08,288,0,241,0,47,83.680556,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-07,288,6.273063,233,0,55,80.902778,0,0.0002985628552561058,334938,,0.0029856285525610574,0
2020-05-06,271,0,232,0,39,85.608856,0,0.0002809393533833495,355949,,0.002809393533833495,0
2020-05-05,271,0,232,0,39,85.608856,0,0.0002809393533833495,355949,,0.002809393533833495,0
2020-05-04,271,0,219,0,52,80.811808,0,0.0002809393533833495,355949,,0.002809393533833495,0
2020-05-03,271,0.37037,219,0,52,80.811808,0,0.0002809393533833495,355949,,0.002809393533833495,0
2020-05-02,270,0,219,0,51,81.111111,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-05-01,270,0,219,0,51,81.111111,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-30,270,0,219,0,51,81.111111,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-29,270,0,222,0,48,82.222222,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-28,270,0,222,0,48,82.222222,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-27,270,0,225,0,45,83.333333,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-26,270,0,225,0,45,83.333333,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-25,270,0,225,0,45,83.333333,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-24,270,0.746269,220,0,50,81.481481,0,0.00027990267680259916,357267,,0.0027990267680259914,0
2020-04-23,268,0,224,0,44,83.58209,0,0.0002778293236410984,359933,,0.002778293236410984,0
2020-04-22,268,0,223,0,45,83.208955,0,0.0002778293236410984,359933,,0.002778293236410984,0
2020-04-21,268,0,216,0,52,80.597015,0,0.0002778293236410984,359933,,0.002778293236410984,0
2020-04-20,268,0,214,0,54,79.850746,0,0.0002778293236410984,359933,,0.002778293236410984,0
2020-04-19,268,0,202,0,66,75.373134,0,0.0002778293236410984,359933,,0.002778293236410984,0
2020-04-18,268,0,201,0,67,75,0,0.0002778293236410984,359933,,0.002778293236410984,0
2020-04-17,268,0,198,0,70,73.880597,0,0.0002778293236410984,359933,,0.002778293236410984,0
